user_id,event,event_time
U062,click,2026-08-01 11:00:00
U063,enter,2026-08-01 10:00:00
U063,click,2026-08-01 11:00:00
U064,enter,2026-08-01 10:00:00
U064,click,2026-08-01 11:00:00
U065,enter,2026-08-01 10:00:00
U065,click,2026-08-01 11:00:00
U066,enter,2026-08-01 10:00:00
U066,click,2026-08-01 11:00:00
U067,enter,2026-08-01 10:00:00
U067,click,2026-08-01 11:00:00
U068,enter,2026-08-01 10:00:00
U068,click,2026-08-01 11:00:00
U069,enter,2026-08-01 10:00:00
U069,click,2026-08-01 11:00:00
U070,enter,2026-08-01 10:00:00
U070,click,2026-08-01 08:00:00
U070,claim,2026-08-01 09:00:00
U071,enter,2026-08-01 10:00:00
U071,click,2026-08-01 08:00:00
U071,claim,2026-08-01 09:00:00
U072,enter,2026-08-01 10:00:00
U072,click,2026-08-01 08:00:00
U072,claim,2026-08-01 09:00:00
U073,enter,2026-08-01 10:00:00
U073,click,2026-08-01 08:00:00
U073,claim,2026-08-01 09:00:00
U074,enter,2026-08-01 10:00:00
U074,click,2026-08-01 08:00:00
U074,claim,2026-08-01 09:00:00
U075,enter,2026-08-01 10:00:00
U075,click,2026-08-01 08:00:00
U075,claim,2026-08-01 09:00:00
U076,enter,2026-08-01 10:00:00
U076,click,2026-08-01 08:00:00
U076,claim,2026-08-01 09:00:00
U077,enter,2026-08-01 10:00:00
U077,click,2026-08-01 08:00:00
U077,claim,2026-08-01 09:00:00
U078,enter,2026-08-01 10:00:00
U078,click,2026-08-01 08:00:00
U078,claim,2026-08-01 09:00:00
U079,enter,2026-08-01 10:00:00
U079,click,2026-08-01 08:00:00
U079,claim,2026-08-01 09:00:00
U080,enter,2026-08-01 10:00:00
U081,enter,2026-08-01 10:00:00
U082,enter,2026-08-01 10:00:00
U083,enter,2026-08-01 10:00:00
U084,enter,2026-08-01 10:00:00
U085,enter,2026-08-01 10:00:00
U086,enter,2026-08-01 10:00:00
U087,enter,2026-08-01 10:00:00
U088,enter,2026-08-01 10:00:00
U089,enter,2026-08-01 10:00:00
U090,enter,2026-08-01 10:00:00
U091,enter,2026-08-01 10:00:00
U092,enter,2026-08-01 10:00:00
U093,enter,2026-08-01 10:00:00
U094,enter,2026-08-01 10:00:00
U095,enter,2026-08-01 10:00:00
U096,enter,2026-08-01 10:00:00
U097,enter,2026-08-01 10:00:00
U098,enter,2026-08-01 10:00:00
U099,enter,2026-08-01 10:00:00
U100,claim,2026-08-01 13:00:00
U101,claim,2026-08-01 13:00:00
U102,claim,2026-08-01 13:00:00
U103,claim,2026-08-01 13:00:00
U104,claim,2026-08-01 13:00:00
U105,claim,2026-08-01 13:00:00
U106,claim,2026-08-01 13:00:00
U107,claim,2026-08-01 13:00:00
U108,claim,2026-08-01 13:00:00
U109,claim,2026-08-01 13:00:00
U110,claim,2026-08-01 13:00:00
U111,claim,2026-08-01 13:00:00
U112,claim,2026-08-01 13:00:00
U113,claim,2026-08-01 13:00:00
U114,claim,2026-08-01 13:00:00
U115,claim,2026-08-01 13:00:00
U116,claim,2026-08-01 13:00:00
U117,claim,2026-08-01 13:00:00
U118,claim,2026-08-01 13:00:00
U119,claim,2026-08-01 13:00:00
U000,enter,2026-08-01 10:00:00
U000,click,2026-08-01 11:00:00
U000,claim,2026-08-01 12:00:00
U001,enter,2026-08-01 10:00:00
U001,click,2026-08-01 11:00:00
U001,claim,2026-08-01 12:00:00
U002,enter,2026-08-01 10:00:00
U002,click,2026-08-01 11:00:00
U002,claim,2026-08-01 12:00:00
U003,enter,2026-08-01 10:00:00
