姓名,代表团,项目,小项,奖牌,性别,年龄,出生日期
SONG Sera,韩国,击剑,Women's Épée Individual,金,W,33.0,1993-09-06
HUNG Ho Wai Howard,中国香港,空手道,Men's Individual Kata Final,铜,M,33.8,1992-12-04
LUTSENKO Alexey,哈萨克斯坦,公路自行车,Men's Individual Time Trial,金,M,34.0,1992-09-07
LAU Mo Sheung Grace,中国香港,空手道,Women's Individual Kata Final,银,W,34.9,1991-10-19
CHIEN Hui-hsuan,中国台北,空手道,Women's Individual Kata Final,铜,W,35.0,1991-09-27
LI Jianming,中国,武术,Men's Nanquan & Nangun,金,M,35.4,1991-04-21
SUZUKI Satomi,日本,游泳,Women's 50m Breaststroke,银,W,35.6,1991-01-29
TARIYAL Suchika,印度,综合格斗,Women's Traditional -60kg Final,铜,W,36.1,1990-08-16
SAW Friday,缅甸,台克球,Men's Singles,铜,M,36.4,1990-04-13
TEO Hui Hoon,新加坡,综合格斗,Women's Traditional -60kg Final,金,W,36.9,1989-11-11
