代表团,代码,奖牌,项目,项目代码,小项,小项代码,姓名,类型,性别,出生日期,Bib,成员数,成员,时间
Japan,JPN,ME_BRONZE,Artistic Gymnastics,GAR,Women's All-Around,W.1AA---------------.----,NISHIYAMA Misa,A,W,2010-09-07,511,0,,2026-09-22T09:19
Japan,JPN,ME_GOLD,Karate,KTE,Men's Individual Kata Final,M.KATA--------------.FNL-,NISHIYAMA Kakeru,A,M,1995-08-20,,0,,2026-09-21T17:05
Japan,JPN,ME_GOLD,Karate,KTE,Women's Individual Kata Final,W.KATA--------------.FNL-,ONO Maho,A,W,1999-02-09,,0,,2026-09-20T11:40
Japan,JPN,ME_SILVER,Karate,KTE,Men's Kumite -67kg Final,M.67KG--------------.FNL-,KOZAKI Yugo,A,M,1999-09-21,,0,,2026-09-21T17:15
Japan,JPN,ME_BRONZE,Karate,KTE,Women's Kumite -61kg Final,W.61KG--------------.FNL-,SHIMADA Sarara,A,W,2001-07-05,,0,,2026-09-21T15:45
Japan,JPN,ME_BRONZE,Mixed Martial Arts,MMA,Men's Traditional  -65kg Final,M.T65KG-------------.FNL-,MURAYAMA Daisuke,A,M,1994-03-29,,0,,2026-09-21T12:50
Japan,JPN,ME_BRONZE,Modern Pentathlon,MPN,Women's Team,W.TEAM--------------.----,Japan,T,W,,,3,UCHIDA Misaki / SAITO Ayumu / YANO Yuho,2026-09-20T16:45
Japan,JPN,ME_GOLD,Shooting,SHO,10m Air Rifle Women Individual,W.ARW---------------.----,TAICHI Hinata,A,W,2005-07-13,1140,0,,2026-09-20T15:10
Japan,JPN,ME_BRONZE,Shooting,SHO,10m Air Rifle Women Team,W.ARTW--------------.----,Japan,T,W,,,3,TAICHI Hinata / NOBATA Misaki / HIRATA Shiori,2026-09-20T13:18
Japan,JPN,ME_BRONZE,Shooting,SHO,10m Air Rifle Mixed Team,X.ARMT--------------.----,Japan,T,X,,,2,HANAKAWA Naoki / NOBATA Misaki,2026-09-22T12:35
Japan,JPN,ME_GOLD,Swimming,SWM,Men's 100m Breaststroke,M.100MBR------------.----,OHASHI Shin,A,M,2009-03-05,,0,,2026-09-21T17:38
Japan,JPN,ME_GOLD,Swimming,SWM,Men's 200m Individual Medley,M.200MIM------------.----,MATSUSHITA Tomoyuki,A,M,2005-08-01,,0,,2026-09-20T17:09
Japan,JPN,ME_GOLD,Swimming,SWM,Men's 400m Individual Medley,M.400MIM------------.----,KOJIMA Yumeki,A,M,2008-12-20,,0,,2026-09-22T17:08
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 100m Backstroke,M.100MBA------------.----,TAKEHARA Hidekazu,A,M,2004-04-27,,0,,2026-09-20T18:13
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 1500m Freestyle,M.1500MFR-----------.----,TABUCHI Kaito,A,M,2002-07-01,,0,,2026-09-22T17:29
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 200m Individual Medley,M.200MIM------------.----,KOJIMA Yumeki,A,M,2008-12-20,,0,,2026-09-20T17:09
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 400m Individual Medley,M.400MIM------------.----,MATSUSHITA Tomoyuki,A,M,2005-08-01,,0,,2026-09-22T17:08
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 4 x 100m Medley Relay,M.4X100MMD----------.----,Japan,T,M,,,6,MURASA Tatsuya / MATSUMOTO Shuya / MITSUNAGA Shoon / OHASHI Shin / TAKEHARA Hidekazu / MATSUMOTO Katsuhiro,2026-09-22T18:25
Japan,JPN,ME_SILVER,Swimming,SWM,Men's 4 x 200m Freestyle Relay,M.4X200MFR----------.----,Japan,T,M,,,6,IMAFUKU Kazushi / KURODA Kazusa / MURASA Tatsuya / YANAGIMOTO Konosuke / MATSUMOTO Katsuhiro / MATSUSHITA Tomoyuki,2026-09-21T18:13
Japan,JPN,ME_SILVER,Swimming,SWM,Women's 50m Breaststroke,W.50MBR-------------.----,SUZUKI Satomi,A,W,1991-01-29,,0,,2026-09-20T18:01
Japan,JPN,ME_BRONZE,Swimming,SWM,Men's 1500m Freestyle,M.1500MFR-----------.----,IMAFUKU Kazushi,A,M,2007-05-21,,0,,2026-09-22T17:29
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 1500m Freestyle,W.1500MFR-----------.----,KAJIMOTO Ichika,A,W,2004-03-07,,0,,2026-09-20T17:18
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 200m Backstroke,W.200MBA------------.----,SHIRAI Rio,A,W,1999-09-10,,0,,2026-09-22T17:20
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 200m Butterfly,W.200MBF------------.----,OKUZONO Misa,A,W,2006-01-19,,0,,2026-09-20T17:00
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 200m Individual Medley,W.200MIM------------.----,NARITA Mio,A,W,2006-12-18,,0,,2026-09-21T17:52
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 400m Freestyle,W.400MFR------------.----,KAJIMOTO Ichika,A,W,2004-03-07,,0,,2026-09-22T18:02
Japan,JPN,ME_BRONZE,Swimming,SWM,Women's 4 x 100m Freestyle Relay,W.4X100MFR----------.----,Japan,T,W,,,7,MATSUMOTO Shiho / SUZUKI Rio / IKEMOTO Nagisa / SHIRAI Rio / MIZOGUCHI Ayu / FUKUOKA Yui / NAMBA Miyu,2026-09-20T18:33
Japan,JPN,ME_SILVER,Teqball,TEQ,Mixed Doubles,X.DOUBLES-----------.----,SAKAMOTO Yuina / WASE Akinori,D,X,,,2,SAKAMOTO Yuina / WASE Akinori,2026-09-20T16:20
Japan,JPN,ME_BRONZE,Teqball,TEQ,Women's Singles,W.SINGLES-----------.----,SAKAMOTO Yuina,A,W,1995-10-23,,0,,2026-09-20T10:00
Japan,JPN,ME_GOLD,Triathlon,TRI,Men's Individual,M.OLYMPIC-----------.----,HOJO Takumi,A,M,1996-04-07,1,0,,2026-09-20T00:00
Japan,JPN,ME_SILVER,Triathlon,TRI,Mixed Relay,X.TEAM4-------------.----,Japan,T,X,,1,4,HIRAIZUMI Mako / JOZUKA Kazushi / HAYASHI Manami / HOJO Takumi,2026-09-21T00:00
Japan,JPN,ME_BRONZE,Triathlon,TRI,Women's Individual,W.OLYMPIC-----------.----,HAYASHI Manami,A,W,2004-11-05,1,0,,2026-09-20T00:00
Japan,JPN,ME_GOLD,Soft Tennis,TST,Men's Team,M.TEAM--------------.----,Japan,T,M,,,5,KUROSAKA Takuya / MARUYAMA Kaito / UCHIMOTO Takafumi / UEMATSU Toshiki / HIROOKA Sora,2026-09-20T17:15
