投入,产出
1.38836584,2.70412891
2.60006818,3.78596241
2.60872415,3.94018099
2.66014808,3.83366062
2.6654975,2.22652486
0.479832231,2.0338655
1.35136884,3.31407865
2.55454477,3.94025392
0.26849301,1.63380225
1.21742693,2.4451003
2.27071869,3.84856456
1.64752073,2.2203742
2.64309719,4.18758408
2.2751743,2.07410602
3.27001659,4.28630905
2.95513981,4.14450994
2.66373057,2.69466305
2.39374499,3.19104365
2.82397095,3.48643129
0.859097558,2.3734667
2.00202457,3.36820281
1.92491331,3.29483954
1.88484574,3.16502226
2.56104983,4.18012324
1.98128742,2.78996579
2.39466524,3.32973347
2.2441978,2.79974362
1.94074688,3.74548208
2.72643739,3.44561568
2.85204513,2.30807778
1.86152532,3.60331096
1.87308001,3.39953815
3.47548469,3.59493736
2.38838339,2.86290802
3.11365977,3.76828648
1.98102833,2.8720725
1.65092877,3.83575339
3.22980671,3.27736753
2.18111775,3.09640142
2.22503833,1.75012411
3.00604932,2.98093592
2.28614544,3.31503434
2.23895331,3.34294444
3.04649652,3.90460501
0.527437804,2.5359784
2.12467884,2.84219037
0.759507445,2.77064531
1.19327819,2.63117078
1.98556294,2.98819725
1.18170655,2.62236188
1.5984162,2.63089678
0.743116714,1.83077988
3.04493545,3.17024913
2.9235945,4.24509274
2.17308203,3.00315738
2.82272205,3.19021968
0.389282456,1.76013341
2.23750672,2.30167596
2.1890309,3.39928164
1.89782985,2.76478847
1.4242662,3.25635021
1.47135103,2.28488011
1.64853021,2.94459592
1.81872045,2.52251156
1.05205168,2.99636811
2.38367748,3.92544013
2.15987636,2.82473723
2.08077714,3.05407728
2.64501079,2.59835337
1.33202591,3.04831024
3.48319491,3.70649497
2.11741254,3.22367877
0.295051992,1.36179761
2.13034204,3.09441721
2.06746425,3.21788176
3.26834372,4.26926328
1.62848319,2.76793762
1.32755076,2.15043388
2.67319717,3.67964435
1.11215832,3.04183998
4.07146206,4.56765608
2.14169955,2.93677097
1.80459119,2.20602983
1.58800676,2.14468656
3.13012311,4.04450935
2.90642994,2.91152069
0.634230495,2.10577306
3.51212135,3.9564478
2.36017613,2.94202641
1.93878444,2.99160027
1.82766882,3.97163679
3.3590254,4.16603336
2.30224534,4.84695281
2.66032787,2.23293163
2.00275913,2.77492598
2.43429084,2.93273844
3.05196118,3.7029462
3.12601288,3.33335714
2.60587859,2.94335256
2.52977572,2.50602779
2.96479465,2.50875241
2.93771089,3.03325415
1.31507711,2.28830639
2.53320006,2.8842085
2.63054296,4.08558391
2.16916608,2.65212285
1.99696968,2.67193579
2.64846186,4.30493068
2.38626731,3.98000308
1.00932475,2.8076825
3.70707049,4.17572715
1.93106046,3.91518208
1.74195545,2.61715648
3.02171798,4.52167127
1.28026463,3.19585683
1.6882583,4.42331488
2.42113595,2.8829932
3.48782193,4.51925916
2.31717651,3.7931227
1.92081202,4.23067943
1.75542216,2.67487858
1.82734409,2.37253607
1.85504362,4.21541323
2.00172455,3.29296016
2.36025247,2.96178939
2.17210474,3.7053577
1.86423908,3.0372876
0.785365455,2.48277479
3.31500124,2.48589393
1.60045457,3.20863759
2.11194411,3.42793588
2.70228556,3.92928375
1.52434349,2.99243996
2.19965784,2.17941834
2.25017123,3.10458765
0.985560343,2.6209387
2.17896786,2.29549709
1.6845015,2.8185974
1.45178115,2.19228893
2.57515611,2.60171972
2.29702491,2.9823877
1.95799638,3.94387845
1.31950257,2.93369893
1.34074281,2.24398086
1.65965883,1.83536219
0.775023981,2.4363328
2.63309515,3.649211
-0.0918192819,1.56034194
1.66640618,3.43080626
2.11986821,3.31697435
0.959593018,2.12828295
2.29978053,3.56505234
2.32098936,2.48094018
2.11071788,1.55794461
1.68502758,2.17131479
1.81484986,3.82324998
1.787543,2.59044446
1.97570798,2.8616681
1.8501732,3.23309912
1.12458111,2.13877377
2.81686199,3.89469958
2.59209828,3.59530942
3.25143342,3.18859536
2.87946361,3.69066331
1.31453293,3.89870172
0.70132052,2.47568968
0.289260287,0.917805956
0.578911544,1.89704231
1.38439496,2.97199885
2.34492717,3.34299525
1.3646562,2.75787477
1.18970738,3.06904306
2.99869587,3.72615341
1.38527531,2.3476796
2.14463127,3.44567159
1.68041444,4.2733075
1.96000869,2.75044793
1.69799484,2.62185355
3.41517466,3.06058089
2.89429997,4.44954423
3.14366258,3.8226535
2.15255729,2.26754213
3.09140973,4.41412272
3.05546834,3.4230731
2.94090062,3.48050888
0.427885653,1.52049096
2.20209854,2.25085177
2.24301332,2.47708182
2.0528754,2.86441634
2.10675017,4.05359273
2.50204411,2.62413931
2.89432686,2.03345673
2.80314595,3.86654051
1.08279823,1.95680662
1.7622839,3.01460375
1.91283476,3.38622365
2.4938739,3.40237291
2.73505778,3.2004697
1.48854573,2.25452176
2.53241989,3.36976158
1.34354609,2.44969419
2.75545005,3.13032653
1.90431724,2.66378777
3.41843121,4.54337754
2.04208572,2.26810079
2.03978521,3.67863996
2.67052088,2.13134341
1.41891984,2.41114612
1.43262096,2.17639264
1.47079105,2.44635067
0.889811452,3.08203616
1.90621319,2.03395649
2.47897194,1.70449615
1.1964936,2.92774192
3.03880346,3.00180532
3.63291706,4.03044581
0.352241001,2.29997139
1.54043225,2.38534403
2.68401973,4.07474588
1.91780916,2.66990934
3.6552333,4.1951103
2.12268319,3.91364169
2.84583389,3.47594835
3.40606071,3.76496533
1.22584911,2.21913783
2.65165731,3.57575795
1.89757986,1.89563879
3.20117488,3.44262412
1.53254497,2.31861419
2.49845015,3.74455495
0.809378652,2.74690198
1.83899317,2.40852888
1.70234409,3.00191466
1.92497954,2.71539577
0.614984175,3.09998033
2.53333224,3.14519314
2.59525526,4.02507079
1.84018769,4.4776093
1.90177684,2.76037232
2.00631603,3.04505314
1.77101046,4.36432326
2.29420895,3.46431232
1.51713587,1.63239737
0.0843059954,1.47208071
2.14395796,3.08659498
2.67147173,3.5716696
2.23979708,3.59975759
2.92380267,3.34880603
2.29267734,2.55784421
2.0254234,2.14695614
2.39993855,3.42110282
4.74352837,5.85303667
5.40592057,6.64125485
4.31500997,7.25166196
4.26381786,5.98722207
3.89525119,6.39098731
5.17093546,7.31445042
4.52257982,5.83903957
3.58163484,4.76716612
4.34510551,7.52514263
5.90357854,5.01041172
6.60631102,5.18643991
3.64042472,7.43784267
4.82467942,6.54311512
4.02153879,6.67431207
5.53240467,6.90179281
3.3518483,6.53784637
4.97280227,7.03950691
5.73298899,5.77740706
5.56628701,6.64804199
3.76342046,5.43749786
3.259174,6.65538623
4.7754931,5.75454985
5.89489233,5.15924589
5.51918498,4.78530327
5.22749672,5.51489127
4.27509634,7.73514065
6.29650259,4.91436506
5.36580013,6.15350349
6.17482841,5.69285455
5.06703411,5.77696426
5.99974047,5.07621905
4.38722652,6.61714108
6.3820098,4.77112353
3.80315384,6.77567445
5.62335029,5.84419374
6.22697884,6.14018849
5.4834356,5.57084078
4.44342029,6.86736681
4.73424333,6.98073196
5.53088219,6.51548924
6.70982293,5.00250325
5.09866238,5.9386868
6.27075242,4.68995354
4.3378149,4.89564604
3.3342655,6.20563223
5.32517205,6.88987607
3.53755924,5.78608256
4.87506975,6.93627665
4.05995911,6.65318689
5.18921321,5.270433
4.35654642,5.64748171
4.84584825,7.89980664
5.44034305,5.44414001
4.06786094,5.93503755
6.02824191,5.92565832
4.29790734,6.66477108
4.99982483,6.32963079
6.77585957,5.55302336
4.72212118,6.37897277
4.29009855,5.9892757
3.87148578,6.18570756
4.74324371,6.11547106
4.95595669,5.45052635
6.4596211,6.1977083
4.827457,6.63804171
4.1874056,6.4820179
5.29450397,5.0649798
4.42798711,5.62104327
2.85088221,6.16982636
4.57842778,6.34493478
4.43208653,6.3313591
6.44050992,4.99185773
3.45979179,7.33612876
4.61649992,5.38885887
4.94061198,5.68089345
5.60375959,5.08621036
5.70175356,6.24331283
4.87783811,5.86606296
4.25072955,7.16680182
5.06767838,4.45006101
6.20285,4.99771636
6.39328204,6.10273827
5.29717606,5.04990118
5.68349318,5.99365336
5.04223954,7.00694303
5.58816936,6.6744448
5.90761152,4.55738729
6.29247444,5.26909232
3.27118679,6.00846362
4.51437522,4.88176573
5.66385151,5.63282657
4.98331374,6.57503332
4.84839388,7.08099375
5.23507037,6.63764497
4.54192222,5.62386181
4.87139827,5.70715953
3.80604462,5.89956435
3.3961214,6.2810583
6.08221543,4.44213132
4.71973318,6.87975842
4.16720606,5.5311284
4.99610363,5.11199227
4.81724315,4.70558737
4.83146621,5.51730505
4.78495111,6.48585726
5.95237641,6.80602294
4.93881769,6.01784498
5.47213658,5.0909834
6.33615545,5.76540338
5.31186613,6.38263922
4.72282012,7.18258115
5.41840879,5.58195673
3.71716209,6.00034363
2.68587816,7.42160469
5.18997177,5.00918536
4.53296472,5.74302272
4.09288761,7.07189561
5.43206767,6.36560792
4.84727825,5.65070467
4.30563275,5.98442022
4.81533893,7.46326977
6.19813049,5.97303656
6.33339933,5.43774479
4.63976972,5.24062627
5.537008,7.37334375
4.50878667,7.36640257
5.11334273,5.30686669
4.59264257,5.65277523
5.19255261,6.50347871
4.90734585,5.06083078
4.60525443,5.11058842
5.98480211,6.7852357
5.96976199,6.21345373
5.25242165,5.30806283
6.00525888,5.23727161
4.30643161,7.24220556
4.07964422,6.20973464
3.39694256,5.84313932
5.15563179,5.84736592
5.02534499,5.3011299
4.39617474,7.78439717
4.14215832,5.47254844
4.93092321,6.08707646
5.20861453,7.08120482
4.26802243,6.06460663
5.51013333,6.62361047
4.51325775,6.8442886
4.45069981,4.78618062
4.07897498,6.05105233
5.42865762,5.22543427
4.12884051,5.73092861
3.85058332,7.01485852
3.86152014,5.25146559
6.60840011,5.40257795
5.0844508,5.88705382
6.35910119,6.45951611
5.44960277,5.47965261
4.13242727,5.53136339
6.08935413,4.99222677
4.48720562,5.61386592
3.58299516,6.42736048
5.47842858,6.31512286
6.14691453,4.13554685
5.06477883,6.22341418
4.98332052,5.75215757
4.17381016,5.06243436
5.25083515,6.01903245
5.39676938,5.04218564
5.22114912,5.10939914
4.61928553,6.21003046
3.39583603,7.77044599
4.4812731,4.70901207
3.07214874,7.08212435
6.56995759,5.58157138
5.19245512,4.63123612
5.44861705,5.68574896
4.31903954,6.63009415
5.14677034,6.42814358
4.00155746,6.92424992
3.36050321,6.59476728
5.88047185,4.63837047
5.74291993,6.15235356
4.79416605,6.80173813
4.70820775,6.52601565
5.37358191,6.04665789
3.46841332,5.83287626
4.63303613,5.1313714
5.03886411,5.9800783
5.96232327,6.33751279
4.146506,5.44723366
5.50037159,6.59606804
4.66381066,4.91247439
3.73089792,4.61932229
5.4736714,6.89990857
4.51692204,4.66262946
6.0112187,5.69200977
4.50429404,6.09977558
5.25028142,4.88690913
4.43279547,6.71872873
4.77290252,5.84638253
4.86704364,5.88585704
4.80389583,5.51991339
6.1424126,5.14405316
5.23455433,6.72764528
4.78986129,5.9946431
5.52155388,5.67348703
4.51171218,6.05270301
5.48863311,6.65038018
7.09936665,5.25021527
2.970702,6.57345924
4.02697261,7.82411972
6.12168084,7.46946635
4.61699453,6.67585643
6.30424768,4.31049932
4.05039358,5.77698901
4.02738267,8.32664979
5.80901677,5.72621967
6.43446549,5.8701834
5.79887849,5.23940692
4.54780878,7.43314622
5.22247589,6.31973723
5.31940013,5.92933137
5.69632849,7.45790142
3.72580503,6.03709289
4.72201225,6.46691463
4.19331601,7.05272597
5.24870235,5.13384745
4.50985852,6.56815613
6.29201145,3.51998479
5.35955167,5.23137183
4.44195612,6.97465423
4.59228739,5.66241196
4.91028652,6.11539928
5.42970223,7.50604407
4.59551513,5.88820358
5.23201835,5.18508406
5.55107141,5.65731725
3.79989822,5.5707672
5.28300014,6.20286176
5.00404907,5.74972387
5.79986516,6.03106421
5.39071204,5.54958283
6.69852006,5.39443256
6.06190195,6.15835734
5.38138687,5.74040297
3.47316815,6.92664339
4.81152315,5.65171838
5.30071022,5.21611369
3.91444722,7.05153359
4.69934079,6.03851481
5.072489,6.06558496
4.20605166,5.8403147
4.4049248,5.88833535
5.38580068,6.10312068
4.32649466,6.64854638
6.0787416,5.8454437
3.56717294,6.61697787
5.05061865,6.73155121
5.302177,6.97674112
4.63380497,5.35709631
5.52089687,5.71035205
6.06640235,6.02693994
4.21095533,7.35783992
4.7392945,4.95016941
5.57324572,5.72400105
5.26447913,6.4724311
5.06457564,6.1548358
5.5180552,5.7045896
5.22749497,4.43037126
5.11129391,6.06179706
4.55533309,4.00989424
6.00757473,6.0558666
5.09494843,6.35243825
3.49250947,7.17197616
4.67493784,5.26234971
4.09734047,6.51498489
5.40110355,6.12899535
4.99207494,6.61391348
5.03641494,6.56533028
3.8374174,6.4519638
6.07056851,5.9064962
4.37789302,6.03994627
3.94878594,6.31374086
6.57807708,5.55487218
5.27508131,5.61598548
5.41318732,6.27368625
4.751315,8.24674824
3.93834312,7.40802924
5.18124882,5.10319667
5.17389775,6.50305079
5.42075995,6.30348662
5.60904851,5.30032889
4.58983043,6.22945768
4.88669993,7.34952559
4.92391017,5.79898097
5.70334656,5.0361232
5.5348644,4.95671426
5.17424072,5.01019484
5.90658512,6.30945872
4.29143512,6.280159
6.03315359,4.42276227
4.56638626,6.80171885
5.24262543,5.13796031
4.06757843,7.55040725
4.031027,6.99723251
6.22819948,5.43944802
4.95290124,6.45974182
4.55929776,6.82538737
4.9709522,7.76544771
5.1200627,6.54889599
3.1144871,5.62779715
5.55498336,6.4882454
4.66362108,4.79890683
3.94956259,7.18836509
5.36071705,5.79586049
4.65888274,6.39123923
4.17162864,6.8961725
4.36783567,6.1266163
4.23173179,6.29052932
5.31579358,6.47061953
5.60863621,6.36202447
4.20935144,7.93214194
5.80094316,5.51674746
5.59169259,5.32060144
5.39725723,7.35985316
4.67612884,7.43840284
5.61276299,5.24175869
5.67057689,5.90405127
5.88325867,5.26333982
5.87944585,5.19818765
5.80510621,6.3094741
4.43892658,5.1925223
4.43894165,5.63276875
4.199993,6.27886493
5.76320361,5.93630452
5.57918004,6.09597508
5.34388595,5.07987272
5.1675657,7.07935659
5.93961105,5.64593866
4.4143633,5.40325533
4.88689393,6.1304549
5.03380937,6.36873962
5.45047087,5.92492146
5.00195825,5.44128646
2.07771008,7.57511728
6.10119247,5.73032312
4.3287788,6.19850791
4.72664502,5.26123936
4.74305628,6.31629792
4.78527003,6.31757339
