投入,产出,等待,经验
38.1319052,47.0215133,69.1635163,1.0898578
35.0991212,45.791432,62.9205639,2.96332396
63.9266965,87.6260301,43.9590198,2.49696901
55.1981636,88.3077208,45.4852918,6.02442626
47.3451172,74.4829889,40.4639385,9.15069856
47.5861442,81.4564444,45.2164645,8.86169399
61.9628126,92.0837501,45.3203036,7.02883619
26.1831942,32.3941734,71.3648169,8.08165224
47.9668551,64.6608335,59.4969184,6.23237319
44.1647566,54.8760748,60.5211472,3.84567381
51.8855289,73.123055,49.3726894,6.63626939
58.4074878,89.4372179,49.0562016,6.61618703
65.7811731,99.0244912,28.7691109,8.56387737
38.3956594,56.9826824,80.4534414,2.69157643
50.4700248,81.447291,60.9806156,6.11951111
49.1298212,62.0674068,54.5893741,6.66610738
44.9040849,66.9412522,56.7184272,4.72562923
54.272145,91.8448456,52.0799963,1.16431518
26.0185878,30.465484,60.4263115,7.57124727
49.5280651,77.2653613,60.8366825,7.54447165
65.6465836,86.318295,50.7516814,6.68556009
42.0746122,58.615288,54.421928,1.24507675
56.5727901,80.2242109,44.394433,8.34686629
41.5928293,56.612471,51.6027109,2.70583701
50.6102323,57.718672,49.7581755,5.13564293
36.7725904,56.5219,63.7787555,7.76601458
73.9480552,109.836549,43.8270841,3.9806397
61.74983,86.162107,36.4686199,7.56747569
56.3344467,83.1002721,63.5354559,1.81326146
46.9617413,62.7262986,56.4334511,4.0913277
48.6015157,71.3326432,58.2381032,4.55412397
37.9170928,64.4043402,70.0298232,2.75611371
51.869923,66.4382625,56.0007642,1.32281049
27.1482564,32.5233388,72.8725516,7.09641958
63.3174877,81.1071008,43.0518411,1.05109336
69.7991448,102.420266,36.3710149,3.78411925
36.1680635,55.0431371,65.3687714,4.32604908
69.035936,101.986994,40.9472314,5.92276678
54.1969826,81.61425,48.8063196,8.16484548
52.556862,79.6757078,49.9953933,7.25647052
48.8935137,78.097296,69.1157994,6.81432308
49.3822901,71.2274026,50.1547606,2.74639403
64.4819857,89.6910845,52.8491479,6.13871786
45.3352684,71.7985073,66.516315,8.34202019
47.9297668,70.8315621,58.1828928,7.39037499
43.4067396,73.6772051,57.1334619,9.04837137
33.920712,36.1052511,61.8574582,4.74802599
54.4444973,78.8270347,52.3485218,6.4687973
61.7294274,87.513136,45.4651094,4.47987521
46.8320982,73.9441351,47.3829375,1.50188771
45.3073164,68.2323853,57.0513404,4.54045396
50.2408108,72.2670601,59.4021813,4.46891792
54.1068976,58.9782144,45.1413443,3.19523011
55.2544332,71.8176747,43.4885951,5.53377803
44.9946433,53.8533635,57.6366581,4.72631721
40.6970477,52.1571503,45.8152197,6.34898356
59.927995,77.056277,58.2581511,9.37249956
38.6746538,64.5314381,58.255147,6.79638862
41.4739418,60.231979,48.9954103,5.67391723
40.2951941,45.1100312,50.9031483,3.69665967
45.0350919,66.5172919,63.7450162,1.02713439
64.7518439,95.8332714,52.2808468,4.38755596
44.4248252,63.3022808,66.6254524,3.8824509
60.1880941,85.5651022,54.810477,2.81256769
46.7125582,60.7393012,68.077237,5.83599606
45.1879994,65.172255,63.7942221,3.64434082
60.450811,85.6136813,56.1872441,9.39610813
49.8162597,84.6301471,63.1147574,6.36726916
52.5997828,74.7192135,52.1858715,5.5404735
40.4764554,53.6488237,48.3555187,9.87365219
33.5690842,68.6003091,72.5563361,9.23432842
75.5888686,104.611549,35.5598708,4.77223931
57.0060831,87.0146987,51.2578243,2.29484898
51.7600692,65.9015072,60.1777395,6.12296233
55.405634,80.3443435,43.3733271,1.84008302
62.5061864,95.9526047,40.3679653,8.8794716
33.9415545,42.3019493,79.2063338,5.20895127
30.3323168,31.8764751,70.8205404,9.45641545
57.3537728,83.9160433,44.4574912,9.35727958
53.3982511,68.1504002,45.8382759,1.08362814
