日期,读数
2025-05-06,40.8448434
2025-05-07,41.238555
2025-05-08,35.5272471
2025-05-09,43.9940649
2025-05-10,29.5176203
2025-05-11,39.6332553
2025-05-12,33.8905316
2025-05-13,40.3193554
2025-05-14,30.303478
2025-05-15,34.9395917
2025-05-16,38.2091004
2025-05-17,22.5160551
2025-05-18,26.4478834
2025-05-19,26.1887245
2025-05-20,34.3065307
2025-05-21,40.7123057
2025-05-22,31.4638439
2025-05-23,37.7836149
2025-05-24,24.0310611
2025-05-25,36.0578337
2025-05-26,27.8006773
2025-05-27,47.6153768
2025-05-28,40.1937065
2025-05-29,36.5007914
2025-05-30,35.3760927
2025-05-31,50.532507
2025-06-01,
2025-06-02,
2025-06-03,
2025-06-04,
2025-06-05,
2025-06-06,
2025-06-07,
2025-06-08,
2025-06-09,
2025-06-10,
2025-06-11,
2025-06-12,
2025-06-13,
2025-06-14,
2025-06-15,
2025-06-16,
2025-06-17,
2025-06-18,
2025-06-19,
2025-06-20,
2025-06-21,
2025-06-22,
2025-06-23,
2025-06-24,
2025-06-25,
2025-06-26,
2025-06-27,
2025-06-28,
2025-06-29,
2025-06-30,
2025-07-01,37.7251708
2025-07-02,34.9290459
2025-07-03,36.3171324
2025-07-04,33.0255466
2025-07-05,26.3691326
2025-07-06,28.851133
2025-07-07,32.9961462
2025-07-08,41.5050208
2025-07-09,26.2190806
2025-07-10,33.5284941
2025-07-11,34.7942854
2025-07-12,34.822841
2025-07-13,31.1882229
2025-07-14,30.624776
2025-07-15,27.2401385
2025-07-16,33.4349928
2025-07-17,34.8374324
2025-07-18,33.8208755
2025-07-19,35.5429291
2025-07-20,27.5077519
2025-07-21,35.9818231
2025-07-22,34.4933741
2025-07-23,36.3139387
2025-07-24,38.6662873
2025-07-25,30.8723685
2025-07-26,43.9890597
2025-07-27,34.4820641
2025-07-28,23.3966124
2025-07-29,29.4175605
2025-07-30,32.1240641
2025-07-31,31.601706
2025-08-01,36.0074939
2025-08-02,41.6664273
2025-08-03,40.4739739
2025-08-04,34.4396636
2025-08-05,46.613649
2025-08-06,32.72318
2025-08-07,41.1626619
2025-08-08,31.3646399
2025-08-09,33.5815231
2025-08-10,29.0889952
2025-08-11,34.7451388
2025-08-12,24.2488054
2025-08-13,40.7060317
2025-08-14,45.492964
2025-08-15,28.5501307
2025-08-16,26.9162488
2025-08-17,29.7930839
2025-08-18,37.0266023
2025-08-19,40.8342508
2025-08-20,33.1487446
2025-08-21,44.4635916
2025-08-22,33.9695575
2025-08-23,44.1971909
2025-08-24,40.7357321
2025-08-25,34.4317554
2025-08-26,41.028395
2025-08-27,44.3015942
2025-08-28,38.2659501
2025-08-29,35.2291455
2025-08-30,48.8369403
2025-08-31,42.6311057
2025-09-01,
2025-09-02,
2025-09-03,
2025-09-04,
2025-09-05,
2025-09-06,
2025-09-07,
2025-09-08,
2025-09-09,
2025-09-10,
2025-09-11,
2025-09-12,
2025-09-13,
2025-09-14,
2025-09-15,
2025-09-16,
2025-09-17,50.759181
2025-09-18,47.1153603
2025-09-19,39.1850993
2025-09-20,48.4723503
2025-09-21,46.4814988
2025-09-22,55.6383117
2025-09-23,54.0039873
2025-09-24,52.8626255
2025-09-25,38.7314102
2025-09-26,49.3565081
2025-09-27,46.9368807
2025-09-28,46.5027154
2025-09-29,39.1228818
2025-09-30,43.1862016
2025-10-01,49.5371219
2025-10-02,50.6340723
2025-10-03,53.0574308
2025-10-04,41.067703
2025-10-05,45.8722668
2025-10-06,44.641972
2025-10-07,43.9365607
2025-10-08,36.2371589
2025-10-09,50.0534983
2025-10-10,61.5525739
2025-10-11,54.3755968
2025-10-12,51.8606068
2025-10-13,53.3089167
2025-10-14,60.2221961
2025-10-15,62.5821066
2025-10-16,57.3831416
2025-10-17,57.8266428
2025-10-18,60.0535294
2025-10-19,54.6721679
2025-10-20,47.4682342
2025-10-21,55.3814365
2025-10-22,48.8883923
2025-10-23,54.9518983
2025-10-24,50.0141081
2025-10-25,51.4559136
2025-10-26,54.1702937
2025-10-27,63.2798213
2025-10-28,63.2378501
2025-10-29,50.3634514
2025-10-30,61.1414906
2025-10-31,58.9236419
2025-11-01,65.4640453
2025-11-02,66.9909511
2025-11-03,53.8445876
2025-11-04,57.8754497
2025-11-05,62.2588435
2025-11-06,59.1379071
2025-11-07,62.3774358
2025-11-08,60.2392497
2025-11-09,58.5792988
2025-11-10,53.7434658
2025-11-11,70.2633579
2025-11-12,51.0889974
2025-11-13,59.9903067
2025-11-14,58.2215932
2025-11-15,60.5005279
2025-11-16,63.6135501
2025-11-17,61.9122954
2025-11-18,60.3470026
2025-11-19,65.8526818
2025-11-20,58.8281884
2025-11-21,57.9139072
2025-11-22,58.545771
2025-11-23,72.5404
2025-11-24,71.4307317
2025-11-25,57.4456798
2025-11-26,60.0730303
2025-11-27,69.3587999
2025-11-28,68.2679191
2025-11-29,54.9824637
2025-11-30,74.4167409
2025-12-01,64.9825008
2025-12-02,65.856853
2025-12-03,54.8494154
2025-12-04,67.2445647
2025-12-05,65.6138422
2025-12-06,70.7289913
2025-12-07,73.1990946
2025-12-08,69.3859737
2025-12-09,65.1827045
2025-12-10,61.0981961
2025-12-11,68.5890045
2025-12-12,71.8156374
2025-12-13,80.7124916
2025-12-14,68.4967701
2025-12-15,56.5575712
2025-12-16,58.6240609
2025-12-17,59.6007765
2025-12-18,64.2420398
2025-12-19,68.0118741
2025-12-20,61.3201297
2025-12-21,69.1517312
2025-12-22,62.5296773
2025-12-23,76.410576
2025-12-24,60.5530186
2025-12-25,67.5448948
2025-12-26,69.4906811
2025-12-27,64.5641397
2025-12-28,73.6935206
2025-12-29,71.2378441
2025-12-30,72.323953
2025-12-31,64.8739046
