品牌,品种,日期,价格
周六福,黄金价格,2025-02-28,880.0
周六福,黄金价格,2025-03-01,880.0
周六福,黄金价格,2025-03-03,875.0
周六福,黄金价格,2025-03-04,882.0
周六福,黄金价格,2025-03-05,886.0
周六福,黄金价格,2025-03-06,886.0
周六福,黄金价格,2025-03-07,883.0
周六福,黄金价格,2025-03-08,883.0
周六福,黄金价格,2025-03-10,883.0
周六福,黄金价格,2025-03-11,880.0
周六福,黄金价格,2025-03-12,883.0
周六福,黄金价格,2025-03-13,890.0
周六福,黄金价格,2025-03-14,905.0
周六福,黄金价格,2025-03-15,905.0
周六福,黄金价格,2025-03-17,905.0
周六福,黄金价格,2025-03-18,905.0
周六福,黄金价格,2025-03-19,916.0
周六福,黄金价格,2025-03-20,923.0
周六福,黄金价格,2025-03-21,923.0
周六福,黄金价格,2025-03-22,923.0
周六福,黄金价格,2025-03-24,918.0
周六福,黄金价格,2025-03-25,918.0
周六福,黄金价格,2025-03-26,918.0
周六福,黄金价格,2025-03-27,921.0
周六福,黄金价格,2025-03-28,932.0
周六福,黄金价格,2025-03-29,932.0
周六福,黄金价格,2025-03-31,936.0
周六福,黄金价格,2025-04-01,953.0
周六福,黄金价格,2025-04-02,953.0
周六福,黄金价格,2025-04-03,962.0
周六福,黄金价格,2025-04-04,952.0
周六福,黄金价格,2025-04-06,932.0
周六福,黄金价格,2025-04-07,918.0
周六福,黄金价格,2025-04-08,923.0
周六福,黄金价格,2025-04-09,932.0
周六福,黄金价格,2025-04-10,960.0
周六福,黄金价格,2025-04-11,990.0
周六福,黄金价格,2025-04-12,990.0
周六福,黄金价格,2025-04-14,990.0
周六福,黄金价格,2025-04-15,990.0
周六福,黄金价格,2025-04-16,1006.0
周六福,黄金价格,2025-04-17,1028.0
周六福,黄金价格,2025-04-18,1028.0
周六福,黄金价格,2025-04-19,1028.0
周六福,黄金价格,2025-04-21,1039.0
周六福,黄金价格,2025-04-22,1061.0
周六福,黄金价格,2025-04-23,1055.0
周六福,黄金价格,2025-04-24,1038.0
周六福,黄金价格,2025-04-25,1038.0
周六福,黄金价格,2025-04-27,1028.0
周六福,黄金价格,2025-04-28,1028.0
周六福,黄金价格,2025-04-29,1028.0
周六福,黄金价格,2025-04-30,1022.0
周六福,黄金价格,2025-05-01,1022.0
周六福,黄金价格,2025-05-02,1009.0
周六福,黄金价格,2025-05-03,998.0
周六福,黄金价格,2025-05-04,998.0
周六福,黄金价格,2025-05-05,998.0
周六福,黄金价格,2025-05-06,1026.0
周六福,黄金价格,2025-05-07,1033.0
周六福,黄金价格,2025-05-08,1040.0
周六福,黄金价格,2025-05-09,1022.0
周六福,黄金价格,2025-05-10,1022.0
周六福,黄金价格,2025-05-12,1008.0
周六福,黄金价格,2025-05-13,992.0
周六福,黄金价格,2025-05-14,992.0
周六福,黄金价格,2025-05-15,976.0
周六福,黄金价格,2025-05-16,985.0
周六福,黄金价格,2025-05-17,976.0
周六福,黄金价格,2025-05-19,986.0
周六福,黄金价格,2025-05-20,982.0
周六福,黄金价格,2025-05-21,1008.0
周六福,黄金价格,2025-05-22,1012.0
周六福,黄金价格,2025-05-23,984.0
周六福,黄金价格,2025-05-24,996.0
周六福,黄金价格,2025-05-26,996.0
周六福,黄金价格,2025-05-27,996.0
周六福,黄金价格,2025-05-28,986.0
周六福,黄金价格,2025-05-29,970.0
周六福,黄金价格,2025-05-30,978.0
周六福,黄金价格,2025-05-31,978.0
周六福,黄金价格,2025-06-02,978.0
周六福,黄金价格,2025-06-03,1000.0
周六福,黄金价格,2025-06-04,1000.0
周六福,黄金价格,2025-06-05,1000.0
周六福,黄金价格,2025-06-06,1000.0
周六福,黄金价格,2025-06-07,985.0
周六福,黄金价格,2025-06-09,985.0
周六福,黄金价格,2025-06-10,978.0
周六福,黄金价格,2025-06-11,986.0
周六福,黄金价格,2025-06-12,997.0
周六福,黄金价格,2025-06-13,1010.0
周六福,黄金价格,2025-06-14,1010.0
周六福,黄金价格,2025-06-16,1010.0
周六福,黄金价格,2025-06-17,1005.0
周六福,黄金价格,2025-06-18,1005.0
周六福,黄金价格,2025-06-19,1005.0
周六福,黄金价格,2025-06-20,1005.0
周六福,黄金价格,2025-06-21,1005.0
周六福,黄金价格,2025-06-23,1005.0
周六福,黄金价格,2025-06-24,992.0
周六福,黄金价格,2025-06-25,978.0
周六福,黄金价格,2025-06-26,978.0
周六福,黄金价格,2025-06-27,978.0
周六福,黄金价格,2025-06-28,978.0
周六福,黄金价格,2025-06-30,969.0
周六福,黄金价格,2025-07-01,978.0
周六福,黄金价格,2025-07-02,978.0
周六福,黄金价格,2025-07-03,978.0
周六福,黄金价格,2025-07-04,985.0
周六福,黄金价格,2025-07-05,985.0
周六福,黄金价格,2025-07-07,985.0
周六福,黄金价格,2025-07-08,985.0
周六福,黄金价格,2025-07-09,978.0
周六福,黄金价格,2025-07-10,978.0
周六福,黄金价格,2025-07-11,978.0
周六福,黄金价格,2025-07-12,988.0
周六福,黄金价格,2025-07-14,988.0
周六福,黄金价格,2025-07-15,988.0
周六福,黄金价格,2025-07-16,988.0
周六福,黄金价格,2025-07-17,988.0
周六福,黄金价格,2025-07-18,967.0
周六福,黄金价格,2025-07-19,988.0
周六福,黄金价格,2025-07-21,988.0
周六福,黄金价格,2025-07-22,995.0
周六福,黄金价格,2025-07-23,1003.0
周六福,黄金价格,2025-07-24,996.0
周六福,黄金价格,2025-07-25,990.0
周六福,黄金价格,2025-07-26,990.0
周六福,黄金价格,2025-07-28,990.0
周六福,黄金价格,2025-07-29,978.0
周六福,黄金价格,2025-07-30,978.0
周六福,黄金价格,2025-07-31,978.0
周六福,黄金价格,2025-08-01,978.0
周六福,黄金价格,2025-08-02,978.0
周六福,黄金价格,2025-08-04,988.0
周六福,黄金价格,2025-08-05,988.0
周六福,黄金价格,2025-08-06,988.0
周六福,黄金价格,2025-08-07,988.0
周六福,黄金价格,2025-08-08,995.0
周六福,黄金价格,2025-08-09,995.0
周六福,黄金价格,2025-08-11,995.0
周六福,黄金价格,2025-08-12,988.0
周六福,黄金价格,2025-08-13,988.0
周六福,黄金价格,2025-08-14,988.0
周六福,黄金价格,2025-08-15,988.0
周六福,黄金价格,2025-08-16,988.0
周六福,黄金价格,2025-08-18,988.0
周六福,黄金价格,2025-08-19,988.0
周六福,黄金价格,2025-08-20,979.0
周六福,黄金价格,2025-08-21,985.0
周六福,黄金价格,2025-08-22,985.0
周六福,黄金价格,2025-08-23,985.0
周六福,黄金价格,2025-08-25,985.0
周六福,黄金价格,2025-08-26,985.0
周六福,黄金价格,2025-08-27,985.0
周六福,黄金价格,2025-08-28,991.0
周六福,黄金价格,2025-08-29,991.0
周六福,黄金价格,2025-08-30,1000.0
周六福,黄金价格,2025-09-01,1006.0
周六福,黄金价格,2025-09-02,1013.0
周六福,黄金价格,2025-09-03,1021.0
周六福,黄金价格,2025-09-04,1028.0
周六福,黄金价格,2025-09-05,1022.0
周六福,黄金价格,2025-09-06,1029.0
周六福,黄金价格,2025-09-08,1029.0
周六福,黄金价格,2025-09-09,1038.0
周六福,黄金价格,2025-09-10,1038.0
周六福,黄金价格,2025-09-11,1038.0
周六福,黄金价格,2025-09-12,1038.0
周六福,黄金价格,2025-09-13,1038.0
周六福,黄金价格,2025-09-15,1038.0
周六福,黄金价格,2025-09-16,1054.0
周六福,黄金价格,2025-09-17,1048.0
周六福,黄金价格,2025-09-18,1038.0
周六福,黄金价格,2025-09-19,1038.0
周六福,黄金价格,2025-09-20,1044.0
周六福,黄金价格,2025-09-22,1044.0
周六福,黄金价格,2025-09-23,1055.0
周六福,黄金价格,2025-09-24,1066.0
周六福,黄金价格,2025-09-25,1061.0
周六福,黄金价格,2025-09-26,1061.0
周六福,黄金价格,2025-09-29,1065.0
周六福,黄金价格,2025-09-30,1077.0
周六福,黄金价格,2025-10-01,1084.0
周六福,黄金价格,2025-10-02,1084.0
周六福,黄金价格,2025-10-03,1084.0
周六福,黄金价格,2025-10-04,1084.0
周六福,黄金价格,2025-10-06,1084.0
周六福,黄金价格,2025-10-07,1084.0
周六福,黄金价格,2025-10-08,1084.0
周六福,黄金价格,2025-10-09,1115.0
周六福,黄金价格,2025-10-10,1128.0
周六福,黄金价格,2025-10-11,1123.0
周六福,黄金价格,2025-10-13,1129.0
周六福,黄金价格,2025-10-14,1147.0
周六福,黄金价格,2025-10-15,1160.0
周六福,黄金价格,2025-10-16,1171.0
周六福,黄金价格,2025-10-17,1190.0
周六福,黄金价格,2025-10-18,1204.0
周六福,黄金价格,2025-10-20,1179.0
周六福,黄金价格,2025-10-21,1209.0
周六福,黄金价格,2025-10-22,1145.0
周六福,黄金价格,2025-10-23,1145.0
周六福,黄金价格,2025-10-24,1164.0
周六福,黄金价格,2025-10-25,1164.0
周六福,黄金价格,2025-10-27,1144.0
周六福,黄金价格,2025-10-28,1129.0
周六福,黄金价格,2025-10-29,1122.0
周六福,黄金价格,2025-10-30,1109.0
周六福,黄金价格,2025-10-31,1135.0
周六福,黄金价格,2025-11-01,1135.0
周六福,黄金价格,2025-11-03,1120.0
周六福,黄金价格,2025-11-04,1209.0
周六福,黄金价格,2025-11-05,1247.0
周六福,黄金价格,2025-11-06,1261.0
周六福,黄金价格,2025-11-07,1261.0
周六福,黄金价格,2025-11-08,1261.0
周六福,黄金价格,2025-11-10,1256.0
周六福,黄金价格,2025-11-11,1283.0
周六福,黄金价格,2025-11-12,1283.0
周六福,黄金价格,2025-11-13,1295.0
周六福,黄金价格,2025-11-14,1295.0
周六福,黄金价格,2025-11-15,1265.0
周六福,黄金价格,2025-11-17,1271.0
周六福,黄金价格,2025-11-18,1257.0
周六福,黄金价格,2025-11-19,1263.0
周六福,黄金价格,2025-11-20,1273.0
周六福,黄金价格,2025-11-21,1266.0
周六福,黄金价格,2025-11-22,1266.0
周六福,黄金价格,2025-11-24,1259.0
周六福,黄金价格,2025-11-25,1278.0
周六福,黄金价格,2025-11-26,1278.0
周六福,黄金价格,2025-11-27,1278.0
周六福,黄金价格,2025-11-28,1283.0
周六福,黄金价格,2025-11-29,1289.0
周六福,黄金价格,2025-12-01,1295.0
周六福,黄金价格,2025-12-02,1289.0
周六福,黄金价格,2025-12-03,1289.0
周六福,黄金价格,2025-12-04,1289.0
周六福,黄金价格,2025-12-05,1289.0
周六福,黄金价格,2025-12-06,1289.0
周六福,黄金价格,2025-12-08,1289.0
周六福,黄金价格,2025-12-09,1289.0
周六福,黄金价格,2025-12-10,1289.0
周六福,黄金价格,2025-12-11,1294.0
周六福,黄金价格,2025-12-12,1301.0
周六福,黄金价格,2025-12-13,1301.0
周六福,黄金价格,2025-12-15,1307.0
周六福,黄金价格,2025-12-16,1307.0
周六福,黄金价格,2025-12-17,1307.0
周六福,黄金价格,2025-12-18,1312.0
周六福,黄金价格,2025-12-19,1312.0
周六福,黄金价格,2025-12-20,1312.0
周六福,黄金价格,2025-12-22,1319.0
周六福,黄金价格,2025-12-23,1389.0
周六福,黄金价格,2025-12-24,1395.0
周六福,黄金价格,2025-12-25,1395.0
周六福,黄金价格,2025-12-26,1398.0
周六福,黄金价格,2025-12-27,1398.0
周六福,黄金价格,2025-12-29,1390.0
周六福,黄金价格,2025-12-30,1346.0
周六福,黄金价格,2025-12-31,1346.0
周六福,黄金价格,2026-01-01,1348.0
周六福,黄金价格,2026-01-02,1342.0
周六福,黄金价格,2026-01-03,1342.0
周六福,黄金价格,2026-01-05,1363.0
周六福,黄金价格,2026-01-06,1375.0
周六福,黄金价格,2026-01-07,1383.0
周六福,黄金价格,2026-01-08,1383.0
周六福,黄金价格,2026-01-09,1377.0
周六福,黄金价格,2026-01-10,1391.0
周六福,黄金价格,2026-01-12,1411.0
周六福,黄金价格,2026-01-13,1411.0
周六福,黄金价格,2026-01-14,1421.0
周六福,黄金价格,2026-01-15,1421.0
周六福,黄金价格,2026-01-16,1421.0
周六福,黄金价格,2026-01-17,1421.0
周六福,黄金价格,2026-01-19,1440.0
周六福,黄金价格,2026-01-20,1440.0
周六福,黄金价格,2026-01-21,1483.0
周六福,黄金价格,2026-01-22,1483.0
周六福,黄金价格,2026-01-23,1533.0
周六福,黄金价格,2026-01-26,1573.0
周六福,黄金价格,2026-01-27,1580.0
周六福,黄金价格,2026-01-28,1613.0
周六福,黄金价格,2026-01-29,1701.0
周六福,黄金价格,2026-01-30,1680.0
周六福,黄金价格,2026-01-31,1620.0
周六福,黄金价格,2026-02-02,1484.0
周六福,黄金价格,2026-02-03,1490.0
周六福,黄金价格,2026-02-04,1561.0
周六福,黄金价格,2026-02-05,1550.0
周六福,黄金价格,2026-02-06,1447.0
周六福,黄金价格,2026-02-07,1537.0
周六福,黄金价格,2026-02-09,1555.0
周六福,黄金价格,2026-02-10,1545.0
周六福,黄金价格,2026-02-11,1545.0
周六福,黄金价格,2026-02-12,1545.0
周六福,黄金价格,2026-02-13,1524.0
周六福,黄金价格,2026-02-14,1545.0
周六福,黄金价格,2026-02-16,1524.0
周六福,黄金价格,2026-02-17,1524.0
周六福,黄金价格,2026-02-18,1494.0
周六福,黄金价格,2026-02-19,1494.0
周六福,黄金价格,2026-02-20,1494.0
周六福,黄金价格,2026-02-21,1540.0
周六福,黄金价格,2026-02-23,1540.0
周六福,黄金价格,2026-02-24,1560.0
周六福,黄金价格,2026-02-25,1565.0
周六福,黄金价格,2026-02-26,1566.0
周六福,黄金价格,2026-02-27,1571.0
周六福,黄金价格,2026-02-28,1603.0
周六福,黄金价格,2026-03-02,1621.0
周六福,黄金价格,2026-03-03,1647.0
周六福,黄金价格,2026-03-04,1594.0
周六福,黄金价格,2026-03-05,1594.0
周六福,黄金价格,2026-03-06,1574.0
周六福,黄金价格,2026-03-07,1585.0
周六福,黄金价格,2026-03-09,1568.0
周六福,黄金价格,2026-03-10,1581.0
周六福,黄金价格,2026-03-11,1594.0
周六福,黄金价格,2026-03-12,1581.0
周六福,黄金价格,2026-03-13,1575.0
周六福,黄金价格,2026-03-14,1552.0
周六福,黄金价格,2026-03-16,1552.0
周六福,黄金价格,2026-03-17,1546.0
周六福,黄金价格,2026-03-18,1546.0
周六福,黄金价格,2026-03-19,1498.0
周六福,黄金价格,2026-03-20,1442.0
周六福,黄金价格,2026-03-21,1392.0
周六福,黄金价格,2026-03-23,1370.0
周六福,黄金价格,2026-03-24,1341.0
周六福,黄金价格,2026-03-25,1407.0
周六福,黄金价格,2026-03-26,1407.0
周六福,黄金价格,2026-03-27,1361.0
周六福,黄金价格,2026-03-28,1390.0
周六福,黄金价格,2026-03-30,1390.0
周六福,黄金价格,2026-03-31,1390.0
周六福,黄金价格,2026-04-01,1440.0
周六福,黄金价格,2026-04-02,1440.0
周六福,黄金价格,2026-04-03,1440.0
周六福,黄金价格,2026-04-04,1440.0
周六福,黄金价格,2026-04-06,1428.0
周六福,黄金价格,2026-04-07,1428.0
周六福,黄金价格,2026-04-08,1471.0
周六福,黄金价格,2026-04-09,1445.0
周六福,黄金价格,2026-04-10,1445.0
周六福,黄金价格,2026-04-11,1445.0
周六福,黄金价格,2026-04-13,1445.0
周六福,黄金价格,2026-04-14,1445.0
周六福,黄金价格,2026-04-15,1473.0
周六福,黄金价格,2026-04-16,1473.0
周六福,黄金价格,2026-04-17,1460.0
周六福,黄金价格,2026-04-18,1470.0
周六福,黄金价格,2026-04-20,1460.0
周六福,黄金价格,2026-04-21,1460.0
周六福,黄金价格,2026-04-22,1450.0
周六福,黄金价格,2026-04-23,1450.0
周六福,黄金价格,2026-04-24,1437.0
周六福,黄金价格,2026-04-25,1437.0
周六福,黄金价格,2026-04-27,1437.0
周六福,黄金价格,2026-04-28,1437.0
周六福,黄金价格,2026-04-29,1405.0
周六福,黄金价格,2026-04-30,1405.0
周六福,黄金价格,2026-05-01,1414.0
周六福,黄金价格,2026-05-02,1414.0
周六福,黄金价格,2026-05-04,1414.0
周六福,黄金价格,2026-05-05,1387.0
周六福,黄金价格,2026-05-06,1408.0
周六福,黄金价格,2026-05-07,1432.0
周六福,黄金价格,2026-05-08,1432.0
周六福,黄金价格,2026-05-09,1432.0
周六福,黄金价格,2026-05-11,1432.0
周六福,黄金价格,2026-05-12,1441.0
周六福,黄金价格,2026-05-13,1430.0
周六福,黄金价格,2026-05-14,1423.0
周六福,黄金价格,2026-05-15,1423.0
周六福,黄金价格,2026-05-16,1388.0
周六福,黄金价格,2026-05-18,1374.0
周六福,黄金价格,2026-05-19,1391.0
周六福,黄金价格,2026-05-20,1375.0
周六福,黄金价格,2026-05-21,1375.0
周六福,黄金价格,2026-05-22,1375.0
周六福,黄金价格,2026-05-23,1375.0
周六福,黄金价格,2026-05-25,1388.0
周六福,黄金价格,2026-05-26,1388.0
周六福,黄金价格,2026-05-27,1370.0
周六福,黄金价格,2026-05-28,1348.0
周六福,黄金价格,2026-05-29,1360.0
周六福,黄金价格,2026-05-30,1371.0
周六福,黄金价格,2026-06-01,1371.0
周六福,黄金价格,2026-06-02,1355.0
周六福,黄金价格,2026-06-03,1355.0
周六福,黄金价格,2026-06-04,1355.0
周六福,黄金价格,2026-06-05,1355.0
周六福,黄金价格,2026-06-06,1318.0
周六福,黄金价格,2026-06-08,1318.0
周六福,黄金价格,2026-06-09,1311.0
周六福,黄金价格,2026-06-10,1271.0
周六福,黄金价格,2026-06-11,1233.0
周六福,黄金价格,2026-06-12,1264.0
周六福,黄金价格,2026-06-13,1272.0
周六福,黄金价格,2026-06-15,1293.0
周六福,黄金价格,2026-06-16,1302.0
周六福,黄金价格,2026-06-17,1307.0
周六福,黄金价格,2026-06-18,1307.0
周六福,黄金价格,2026-06-19,1267.0
周六福,黄金价格,2026-06-20,1256.0
周六福,黄金价格,2026-06-22,1272.0
周六福,黄金价格,2026-06-23,1272.0
周六福,黄金价格,2026-06-24,1233.0
周六福,黄金价格,2026-06-25,1217.0
周六福,黄金价格,2026-06-26,1217.0
周六福,黄金价格,2026-06-27,1233.0
周六福,黄金价格,2026-06-29,1233.0
周六福,黄金价格,2026-06-30,1203.0
周六福,黄金价格,2026-07-01,1203.0
周六福,黄金价格,2026-07-02,1228.0
周六福,黄金价格,2026-07-03,1257.0
周六福,黄金价格,2026-07-04,1257.0
周六福,黄金价格,2026-07-06,1264.0
周六福,黄金价格,2026-07-07,1255.0
周六福,黄金价格,2026-07-08,1247.0
周六福,黄金价格,2026-07-09,1237.0
周六福,黄金价格,2026-07-10,1250.0
周六福,黄金价格,2026-07-11,1250.0
周六福,黄金价格,2026-07-13,1235.0
周六福,黄金价格,2026-07-14,1212.0
周六福,黄金价格,2026-07-15,1228.0
周六福,黄金价格,2026-07-16,1224.0
周六福,黄金价格,2026-07-17,1210.0
周六福,黄金价格,2026-07-18,1217.0
周六福,黄金价格,2026-07-20,1217.0
周六福,黄金价格,2026-07-21,1217.0
周六福,黄金价格,2026-07-22,1245.0
周六福,黄金价格,2026-07-23,1253.0
周六福,黄金价格,2026-07-24,1226.0
周六福,黄金价格,2026-07-25,1226.0
周六福,黄金价格,2026-07-27,1243.0
周六福,黄金价格,2026-07-28,1227.0
周六福,黄金价格,2026-07-29,1217.0
周六福,黄金价格,2026-07-30,1233.0
周六福,黄金价格,2026-07-31,1233.0
周六福,黄金价格,2026-08-01,1221.0
周六福,黄金价格,2026-08-03,1226.0
周六福,黄金价格,2026-08-04,1226.0
周六福,黄金价格,2026-08-05,1235.0
周六福,黄金价格,2026-08-06,1292.0
周六福,黄金价格,2026-08-07,1281.0
周六福,黄金价格,2026-08-08,1303.0
周六福,黄金价格,2026-08-10,1303.0
周六福,黄金价格,2026-08-11,1331.0
周六福,黄金价格,2026-08-12,1324.0
周六福,黄金价格,2026-08-13,1335.0
周六福,黄金价格,2026-08-14,1307.0
周六福,黄金价格,2026-08-15,1320.0
周六福,黄金价格,2026-08-17,1327.0
周六福,黄金价格,2026-08-18,1334.0
周六福,黄金价格,2026-08-19,1313.0
周六福,黄金价格,2026-08-20,1350.0
周六福,黄金价格,2026-08-21,1358.0
周六福,黄金价格,2026-08-22,1382.0
周六福,黄金价格,2026-08-24,1382.0
周六福,黄金价格,2026-08-25,1405.0
周六福,黄金价格,2026-08-26,1394.0
周六福,黄金价格,2026-08-27,1390.0
周六福,黄金价格,2026-08-28,1382.0
周六福,黄金价格,2026-08-29,1343.0
周六福,黄金价格,2026-08-31,1343.0
周六福,黄金价格,2026-09-01,1337.0
周六福,黄金价格,2026-09-02,1301.0
周六福,黄金价格,2026-09-03,1324.0
周六福,黄金价格,2026-09-04,1347.0
周六福,黄金价格,2026-09-05,1333.0
周六福,黄金价格,2026-09-07,1324.0
周六福,黄金价格,2026-09-08,1330.0
周六福,黄金价格,2026-09-09,1312.0
周六福,黄金价格,2026-09-10,1326.0
周六福,黄金价格,2026-09-11,1307.0
周六福,黄金价格,2026-09-12,1307.0
周六福,黄金价格,2026-09-14,1303.0
周六福,黄金价格,2026-09-15,1294.0
周六福,黄金价格,2026-09-16,1290.0
周六福,黄金价格,2026-09-17,1294.0
周六福,黄金价格,2026-09-18,1311.0
周六福,黄金价格,2026-09-19,1311.0
周大福,黄金价格,2024-09-19,753.0
周大福,黄金价格,2024-09-20,758.0
周大福,黄金价格,2024-09-21,767.0
周大福,黄金价格,2024-09-23,767.0
周大福,黄金价格,2024-09-24,767.0
周大福,黄金价格,2024-09-25,773.0
周大福,黄金价格,2024-09-26,773.0
周大福,黄金价格,2024-09-27,773.0
周大福,黄金价格,2024-09-28,773.0
周大福,黄金价格,2024-09-29,773.0
周大福,黄金价格,2024-09-30,773.0
周大福,黄金价格,2024-10-01,768.0
周大福,黄金价格,2024-10-02,773.0
周大福,黄金价格,2024-10-03,773.0
周大福,黄金价格,2024-10-04,773.0
周大福,黄金价格,2024-10-05,773.0
周大福,黄金价格,2024-10-06,773.0
周大福,黄金价格,2024-10-07,773.0
周大福,黄金价格,2024-10-08,773.0
周大福,黄金价格,2024-10-09,768.0
周大福,黄金价格,2024-10-10,768.0
周大福,黄金价格,2024-10-11,768.0
