投入,得分,任务
3.8971606,82.811201,简单
2.87996961,81.429244,简单
2.34395671,79.3804008,简单
3.12233885,80.6896989,简单
1.1845425,77.9308782,简单
1.94184995,78.7937484,简单
2.09753639,78.3256706,简单
2.33002887,79.7131394,简单
3.61098532,83.7617157,简单
3.57675012,82.0834108,简单
1.16442638,77.1921987,简单
1.31337618,77.5471127,简单
3.93264174,81.2752315,简单
2.30183809,80.1301878,简单
2.60225272,81.1775983,简单
3.13900991,82.2276465,简单
2.05580839,79.3392871,简单
8.27593696,57.3753253,困难
7.77241835,57.0251962,困难
8.24970434,58.9527407,困难
7.31596644,55.0369106,困难
7.73054554,57.7832897,困难
7.46972913,57.0454659,困难
6.36285819,54.5435128,困难
7.61475575,58.0514119,困难
8.55111656,58.3161185,困难
7.51159374,55.8677813,困难
8.56356517,59.58266,困难
7.4084153,56.8052799,困难
6.92262667,55.0097966,困难
7.84259908,57.5152035,困难
8.11677212,57.3898199,困难
6.06461941,56.6031815,困难
8.26390637,57.1657744,困难
8.56525809,58.4869136,困难
7.15970378,55.9582269,困难
7.62349582,55.7911148,困难
6.79941521,54.8316644,困难
8.774056,58.9783909,困难
7.96250923,59.0154237,困难
8.10381271,59.9340426,困难
8.46227366,59.961391,困难
6.02593178,54.0540613,困难
6.92402015,56.6820885,困难
6.98568916,55.4845635,困难
6.57765471,52.5220364,困难
8.54765636,60.4095818,困难
8.47016498,59.422611,困难
7.9848208,57.9623457,困难
8.74871095,59.2788312,困难
8.61274637,60.9675003,困难
6.27989547,53.1027379,困难
6.38645488,54.1113646,困难
7.3771296,57.6918246,困难
8.85159724,59.2281566,困难
7.67342863,57.2517287,困难
8.49358597,60.1468083,困难
8.64231485,58.696479,困难
7.24912647,56.7618967,困难
6.56449208,56.0986103,困难
6.92494456,55.5078839,困难
8.94919178,59.3672617,困难
7.63111945,56.0708765,困难
6.98462382,54.8210449,困难
6.54961565,54.6844403,困难
7.82750242,56.5424013,困难
6.71774805,54.7969499,困难
6.68998879,57.304067,困难
6.95783397,58.0659704,困难
7.86341864,57.0246101,困难
6.8560057,56.4800496,困难
7.69533833,56.6753225,困难
6.39604618,55.6136743,困难
6.39186782,55.5621865,困难
7.32210446,57.1116209,困难
6.88895402,55.7300487,困难
8.56977568,58.4718452,困难
8.71184921,59.6170853,困难
7.84593247,57.1598495,困难
8.69050014,59.3007503,困难
7.1514208,54.9006248,困难
6.52630629,54.172003,困难
6.20926368,53.0886091,困难
7.57490431,58.323383,困难
8.62233292,58.295225,困难
6.78203756,55.2523684,困难
6.6385869,53.7750331,困难
7.51586104,56.7137527,困难
6.70100107,54.1781316,困难
8.15262841,59.4175586,困难
8.29484207,58.0539595,困难
7.38040365,57.2445719,困难
6.53143443,55.9412809,困难
8.91080966,61.6448222,困难
7.59378027,56.3308743,困难
7.5079638,56.5720875,困难
7.49210557,58.469538,困难
7.42050533,57.1314294,困难
7.10246054,56.4238589,困难
8.85187443,58.4391664,困难
8.33308163,58.1847829,困难
7.1206895,56.8971323,困难
7.42550904,58.2341854,困难
6.10512569,55.6471241,困难
8.24427418,58.9770113,困难
7.32365674,55.9431337,困难
7.70614162,58.2536249,困难
7.65210009,56.6043861,困难
8.79045297,59.9823847,困难
7.83469494,57.910849,困难
7.28016315,57.971472,困难
8.97814947,60.7618032,困难
7.62337257,58.223677,困难
7.88635014,58.2466921,困难
7.58842616,58.1123467,困难
7.01835859,56.0752931,困难
7.61391747,56.4558718,困难
