班级,得分
甲班,75.9126791
甲班,58.7614604
甲班,73.447315
甲班,59.4770506
甲班,58.6703198
甲班,55.0551391
甲班,63.6213603
甲班,67.3090052
甲班,70.3219527
甲班,70.7911729
甲班,72.7415886
甲班,64.3429996
甲班,69.2472477
甲班,75.2154624
甲班,64.2776117
甲班,55.6109928
甲班,63.2620106
甲班,59.0316328
甲班,71.7167055
甲班,67.3742462
甲班,79.3103413
甲班,66.7016965
甲班,60.8565734
甲班,55.6146116
甲班,55.4950278
甲班,60.1303903
甲班,77.7113859
甲班,80.4886674
甲班,75.2042571
甲班,67.1858369
甲班,76.2545072
甲班,68.0465967
甲班,79.3659494
甲班,71.1456836
甲班,73.7016877
甲班,67.4382369
甲班,61.8645181
甲班,61.0043004
甲班,61.154392
甲班,82.3945733
甲班,61.5012972
甲班,79.3128176
甲班,61.6038676
甲班,63.0733629
甲班,70.1822644
甲班,62.2731435
甲班,73.5241491
甲班,71.4004005
甲班,65.7279552
甲班,63.5400128
甲班,68.2497877
甲班,66.7846254
甲班,67.2969368
甲班,64.2871252
甲班,81.6448732
甲班,79.9944392
甲班,67.1449029
甲班,81.7398634
甲班,68.7093436
甲班,51.0365291
甲班,68.7272816
甲班,64.1312753
甲班,61.1471198
甲班,58.3949892
甲班,68.702463
甲班,73.8072267
甲班,77.94911
甲班,68.6302628
甲班,67.4616892
甲班,68.9562481
甲班,54.435498
甲班,76.4772593
甲班,80.6944898
甲班,77.048167
甲班,61.526952
甲班,50.5403007
甲班,78.7572587
甲班,53.1953866
甲班,79.893109
甲班,65.293604
甲班,80.3791517
甲班,69.2448784
乙班,59.4691734
乙班,64.3084315
乙班,54.3943404
乙班,71.8286778
乙班,59.0936557
乙班,54.5844289
乙班,61.8094137
乙班,53.9986585
乙班,61.0572492
乙班,54.7297986
乙班,62.1079955
乙班,51.2035553
乙班,51.3538721
乙班,56.0904604
乙班,52.7552416
乙班,61.1683709
乙班,54.1923913
乙班,56.4717546
乙班,60.5765469
乙班,50.650268
乙班,55.813134
乙班,52.5042747
乙班,63.3681258
乙班,57.5110151
乙班,51.7037686
乙班,55.2638416
乙班,56.1927619
乙班,58.8245975
乙班,51.6909111
乙班,57.2572689
乙班,51.7622856
乙班,55.0651134
乙班,54.4617742
乙班,56.999226
乙班,54.8407877
乙班,54.5798566
乙班,56.4657744
乙班,50.3475877
乙班,45.5746422
乙班,60.0203478
乙班,59.3782977
乙班,53.4294101
乙班,52.4189517
乙班,53.0383785
乙班,49.8392631
乙班,55.9153734
乙班,57.8133299
乙班,55.3103567
乙班,58.6071503
乙班,56.823141
乙班,52.3294875
乙班,54.5082211
乙班,59.1627967
乙班,63.2466328
乙班,57.6051929
乙班,60.1201041
乙班,52.6285637
乙班,52.0914696
乙班,58.0739843
乙班,55.45726
乙班,65.3838171
乙班,60.125069
乙班,56.9993416
乙班,52.3419518
乙班,59.1209065
乙班,49.2262549
乙班,59.5574635
乙班,54.6670643
乙班,61.0667365
乙班,61.7776785
乙班,53.7056929
乙班,64.3617199
乙班,58.8560515
乙班,58.7091522
乙班,56.8371168
乙班,63.3207122
乙班,59.8416384
乙班,57.0359466
乙班,63.5644769
乙班,56.0991145
乙班,53.0311733
乙班,55.0973421
乙班,52.6584519
乙班,53.6660708
乙班,57.3491665
乙班,50.7347774
乙班,59.0579839
乙班,55.9802321
乙班,54.2988727
乙班,50.8683048
乙班,55.3894038
乙班,59.128446
乙班,52.7110509
乙班,60.311717
乙班,63.0475115
乙班,55.9836645
乙班,55.5356532
乙班,57.484542
乙班,51.661678
乙班,56.0042858
乙班,59.2441088
乙班,53.5102135
乙班,58.7508028
乙班,49.8826632
乙班,57.3729822
乙班,53.9307206
乙班,51.7546512
乙班,58.5485345
乙班,54.1060427
乙班,55.5183773
乙班,62.2065654
乙班,51.68909
乙班,54.4868861
乙班,50.0006623
乙班,62.3226467
乙班,53.0885285
乙班,56.0852363
乙班,55.7573801
乙班,51.6188509
乙班,47.2542994
乙班,76.7673703
乙班,90.2077971
乙班,80.3574097
乙班,79.1380025
乙班,85.2226878
乙班,78.8024289
乙班,85.4842915
乙班,81.624348
乙班,82.7685017
乙班,92.3588387
乙班,84.4526853
乙班,81.4657488
乙班,84.0956618
乙班,86.2785816
乙班,90.6258379
乙班,87.0167992
乙班,81.49005
乙班,83.7839643
乙班,84.7082415
乙班,84.3465494
乙班,89.9720764
乙班,78.1823517
乙班,81.0060183
乙班,88.9534975
乙班,89.8702579
乙班,87.7113343
乙班,85.9447279
乙班,75.4971167
乙班,88.0222697
乙班,85.4481014
乙班,82.0610585
乙班,76.663094
乙班,89.7305875
乙班,78.891147
乙班,83.0794597
乙班,83.4964751
乙班,85.071934
乙班,82.136551
乙班,88.4794402
乙班,87.7393229
乙班,78.2208552
乙班,89.8577034
乙班,84.9003952
乙班,85.450452
乙班,80.3401353
乙班,81.3894405
乙班,86.4134722
乙班,85.2453613
乙班,86.3079746
乙班,81.2209342
乙班,82.1891478
乙班,79.4605441
乙班,81.4015493
乙班,80.2631703
乙班,83.7285221
乙班,84.9269271
乙班,86.4445383
乙班,84.588766
乙班,87.9047638
乙班,77.2424302
乙班,76.4902652
乙班,81.7106967
乙班,83.8251724
乙班,81.0842655
乙班,82.1707694
乙班,86.8049515
乙班,88.3614133
乙班,86.8667083
乙班,88.2171394
乙班,93.6996035
乙班,84.5741981
乙班,77.1089001
乙班,86.1851827
乙班,81.727162
乙班,79.4602289
乙班,85.796752
乙班,85.7238302
乙班,78.9984816
乙班,82.6616177
乙班,87.7610025
乙班,81.3104468
乙班,83.0681636
乙班,88.2810672
乙班,88.4470766
乙班,93.3389003
乙班,81.3263818
乙班,85.510009
乙班,80.8552359
乙班,85.194069
乙班,86.8099746
乙班,83.4374116
乙班,83.6655346
乙班,75.5855576
乙班,80.8394025
乙班,82.8748362
乙班,84.8411944
乙班,76.0389929
乙班,85.8934097
乙班,90.7165822
乙班,91.5824275
乙班,79.4256104
乙班,87.1361513
乙班,80.6235283
乙班,86.8421524
乙班,81.7115009
乙班,84.04701
乙班,75.622354
乙班,88.5458531
乙班,90.6931534
乙班,91.7320238
乙班,86.8967475
乙班,84.3859691
乙班,81.5776744
乙班,76.8627112
乙班,79.514393
乙班,86.9398606
乙班,85.3467826
乙班,82.047278
乙班,85.1491564
乙班,82.2286371
