流量,收入,等待,评分
0.553029104,0.894111672,-0.618023687,0.321139828
-0.546884448,-0.122013943,0.632197775,0.713216206
-0.128867738,-0.509869649,0.231529103,0.079054475
3.42312939,3.0746197,-3.2063805,0.085759787
1.96510457,1.49086002,-1.46386004,-0.399829344
-0.984557915,-0.466800945,1.62075855,-0.0238648502
1.0749665,0.772054389,-0.504137162,-0.691928056
-1.59304363,-1.54441017,1.39286783,2.02835503
-1.14652192,-1.33421227,0.606173487,-1.06904195
-0.663802541,-0.954758302,2.53134453,-0.534761703
-0.875724045,-0.818248744,0.914992047,-1.95901486
-1.32791142,-0.801013448,0.508780104,-0.196395279
-0.371688186,-0.22050172,0.150160218,0.409504733
1.35939931,0.633486049,-0.0226463107,0.590878221
-0.421341023,0.339041938,0.297708908,1.37714909
-0.520142635,0.254315993,-0.163026117,-0.0561102531
2.15294313,2.51875006,-1.58583052,-0.974971361
-0.00915505763,-0.3795575,0.28275265,-0.318206128
0.682731915,0.542519648,-1.53406001,-0.735775232
-0.903350222,-0.433537261,0.339809663,2.8876226
0.706614574,0.776758373,-0.537100322,0.0191030116
0.526321634,0.944669068,-1.81183473,-0.358363594
1.56439908,0.817708772,-1.33640554,-0.0153601378
-1.5962522,-1.16943528,0.33834955,-0.760622835
-0.949013258,-0.232776525,0.815443098,3.64330533
0.218220079,0.488527582,0.441124191,1.14802053
-0.0386238219,-0.216765973,1.3255469,1.1644421
0.368064485,0.276504848,-0.0258671174,0.19218724
-0.524148371,0.464198086,0.446151156,-1.8068775
-0.49935087,-0.69464445,0.626034115,0.495839078
1.48291353,0.857298069,-1.61059884,0.167644266
1.73863934,0.95463853,-0.4506258,-0.518887225
0.0759429539,0.93165594,-0.356867227,0.624379917
-0.902447571,-1.15103589,0.838208115,0.411370259
-1.35304377,-0.580159223,1.19139387,0.00488483155
-0.692716377,-0.623962779,0.609138183,-0.672397171
1.3576133,1.53581999,-1.89275225,0.6500439
-1.39123378,-1.38877278,0.589268484,-0.184241493
-1.10056328,0.165116769,0.412921016,0.457158863
0.885441313,0.743888903,0.0217814739,-0.196699288
0.254403747,0.247290053,-0.797953946,-0.00582797152
-1.81573593,-1.92449316,0.513697883,0.486243475
-0.846306421,-0.386885463,1.13880788,-0.0498075754
1.50646501,1.11093579,-1.20753781,-1.80622227
0.698496088,0.811380062,-1.39092361,1.29947445
-0.380242489,-0.473103648,-0.125852113,0.614811569
1.65719233,1.75266093,-0.701995217,-1.15382541
1.13931324,0.782082424,-0.911827494,0.189492749
-0.222793509,-0.653077581,0.278665105,1.66303707
0.483989843,0.948680576,-0.224956355,-0.861486123
-0.292206829,-0.135735846,-0.629975901,-0.99920867
1.20249544,0.63018847,-0.220390336,0.390460127
0.4235331,0.977260342,-0.229802464,1.58734491
-0.0266077206,-0.252816798,-0.733836421,0.103009632
-0.393760715,0.0190965449,-0.171536505,0.653386315
-2.07209957,-2.49101566,0.2706294,0.0148432785
-0.217619098,0.455416389,-0.299255626,0.791936902
-0.574666967,-0.310400097,-0.594012719,-0.770728448
0.905671032,-0.132420076,-0.998775522,-0.346038649
-1.23914535,-0.93208097,0.537751673,-0.355351829
-0.352283548,0.439809221,0.171731347,0.969447068
-0.637148681,-1.07927572,1.72148216,-0.909025833
-0.677710248,-0.757421785,0.899241971,-1.18677136
-0.0428873767,0.366641514,-0.101366102,0.0795205708
-0.630169462,-0.629506415,0.726177442,0.512105919
0.713818184,0.668827162,-0.453630107,-0.835688442
-0.514805933,0.199761118,-0.488404311,-0.721855661
0.564731187,0.267851732,-0.37604509,-0.375445797
0.142712494,0.310440864,-0.24911857,0.114996724
-0.075007516,-0.619808659,-1.00986734,-0.909036757
-0.545406808,-0.0269719809,-0.222883343,0.379859725
-0.0889326047,-0.371106707,-0.270059599,-0.0243046213
0.463405335,0.243384168,-0.847691371,0.492512426
-0.711499269,-1.36934897,0.156887976,-2.11835625
-0.733544777,-0.347735683,0.236582268,-1.19613491
0.675042351,0.533372348,-0.211308328,-0.185349691
0.519041561,0.30963109,-1.19907861,1.50288529
0.234678358,0.797486021,-0.881174795,-0.397688513
-2.06168475,-2.3529272,1.31714432,-0.0251846063
1.59981882,2.50986032,-0.917187856,1.23137607
0.501030263,0.139297015,0.0637762473,0.750632651
0.792324821,-0.0127554187,-0.764607149,-0.411954538
1.12627676,1.33417384,-0.476218589,-0.450063613
1.5339627,1.59305056,-1.41260552,0.99406429
0.76281682,-0.956987274,-0.277486662,1.35039684
0.0513596418,-0.0398101176,0.834617513,-0.0579396244
-0.330394049,-0.187214739,0.893897617,0.161594182
-0.0464009767,0.361038766,0.506927343,0.413258442
-0.208324225,-0.812657665,1.1669149,3.17790864
0.494118186,-0.464204299,0.0341980087,-0.21175649
-1.02325264,-1.32308564,1.17066545,-1.7836168
0.763065421,0.898478806,-1.01338228,1.34951028
-0.0225698141,-0.0258891051,-0.570141041,1.00215628
-0.972846734,-1.01171922,0.91254676,2.19420462
0.28997254,0.506877289,-0.378553257,2.18332195
-0.227627948,-0.885614701,-0.0694512793,-0.152513326
0.373965621,-0.399926639,-0.344512247,1.11948664
0.224761662,0.457122464,0.0589782146,-0.00715024501
0.376612633,0.032321843,-0.336104009,0.74235401
-0.767626144,0.0680200923,0.896366248,-1.2782599
0.0912821419,0.749748874,-0.908076013,-1.23105518
-0.0743218526,0.763995271,0.212560812,0.492906763
-0.210249142,-0.583621407,-0.39848202,-0.481320856
-0.215756551,0.116979656,0.308970533,-0.265424036
0.165540072,-0.0289763769,0.593076545,0.645957814
-0.940486974,-1.05943664,0.662146638,1.09036299
0.472751515,0.498533783,-0.886605175,-0.968339493
0.821156852,0.837446624,-0.199180166,-1.4325978
-0.7657491,-0.163998287,-0.055303363,-0.546246233
1.99207522,1.26305868,-1.85109837,-0.51935386
1.28548926,0.492686002,-0.740830046,-0.274112289
-0.362701455,-1.07543125,0.649477422,0.796184468
-0.441162752,-0.674345302,0.735599953,0.543268565
0.637247227,0.135362382,0.286389433,0.345726083
0.471637063,1.0823111,-0.0183237245,-0.450349098
-1.67102768,-1.24190649,0.819316763,0.569996573
-0.900558967,-0.516209561,0.670375646,-0.669082574
-0.988420149,-0.91904855,-0.00403853032,1.00169363
0.122891128,0.117711953,-0.675647122,0.517875146
0.21811021,0.380004461,0.997613908,0.56895822
-0.317314926,0.384809662,-1.16063189,-0.527875075
-1.83490204,-2.45125165,1.45084767,0.626680048
0.528439929,-0.0756640072,-1.42144888,-0.467577793
