市场,代码,公司,主体性质,来源层,分析层级,评估结论,2026H1财务可用,游戏收入_亿元,游戏收入占比_%,说明
A股,002027.SZ,分众传媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002195.SZ,岩山科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002261.SZ,拓维信息,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002351.SZ,漫步者,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002354.SZ,天娱数科,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002526.SZ,山东矿机,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002571.SZ,德力股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,002577.SZ,雷柏科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300044.SZ,*ST赛为,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300081.SZ,ST恒信,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300133.SZ,华策影视,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300144.SZ,宋城演艺,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300242.SZ,佳云科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300250.SZ,初灵信息,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300251.SZ,光线传媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300264.SZ,佳创视讯,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300288.SZ,朗玛信息,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300307.SZ,慈星股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300413.SZ,芒果超媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300467.SZ,迅游科技,上市主体,88家板块关键词初筛,观察层-边缘,保留观察,是,,0.00,主业为网络加速（加速器）1.46亿，无游戏收入，属游戏周边服务
A股,300710.SZ,万隆光电,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300770.SZ,新媒股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300846.SZ,首都在线,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,300857.SZ,协创数据,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,301302.SZ,华如科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,301503.SZ,智迪科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600037.SH,歌华有线,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600060.SH,海信视像,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600173.SH,卧龙新能,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600198.SH,大唐电信,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600226.SH,亨通股份,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600234.SH,科新发展,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600358.SH,国旅联合,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600373.SH,中文传媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600556.SH,天下秀,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600633.SH,浙数文化,上市主体,88家板块关键词初筛,主样本-重要,纳入主样本,是,,0.00,按行业口径在线游戏运营业务5.62亿（边锋网络）
A股,600637.SH,东方明珠,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600880.SH,博瑞传播,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600941.SH,中国移动,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,600986.SH,浙文互联,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,601360.SH,三六零,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,601588.SH,北辰实业,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,601801.SH,皖新传媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,601928.SH,凤凰传媒,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,0.00,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,603000.SH,人民网,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,603258.SH,电魂网络,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,,,纯游戏公司；主营构成未按产品拆分，仅披露境内1.76亿/境外0.07亿
A股,603444.SH,吉比特,上市主体,88家板块关键词初筛,主样本-核心,纳入主样本,是,,,纯游戏公司；主营构成未按产品拆分，仅披露境内31.20亿/境外6.07亿
A股,603466.SH,风语筑,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,920190.SZ,雷神科技,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
A股,920212.SZ,智新电子,上市主体,88家板块关键词初筛,初筛排除,不纳入统计,是,,,板块关键词命中，但2026H1按产品口径未识别出可量化游戏收入
港股,00700.HK,腾讯控股,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,综合平台
港股,09999.HK,网易,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,游戏为主
港股,03888.HK,金山软件,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,游戏+办公
港股,00777.HK,网龙,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,游戏+教育
港股,09626.HK,哔哩哔哩-W,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,内容平台
港股,09911.HK,赤子城科技,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,社交+游戏
港股,00136.HK,中国儒意,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,影视+游戏
港股,02400.HK,心动公司,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,游戏为主
港股,00799.HK,IGG,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,00302.HK,中手游,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,09990.HK,祖龙娱乐,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,01119.HK,创梦天地,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,09890.HK,贪玩,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,02660.HK,禅游科技,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,02458.HK,望尘科技控股,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,06820.HK,友谊时光,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,02100.HK,百奥家庭互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,00434.HK,博雅互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,01022.HK,飞鱼科技,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,03798.HK,家乡互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,06633.HK,青瓷游戏,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,00797.HK,第七大道,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,06860.HK,指尖悦动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,01980.HK,天鸽互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,00484.HK,云游控股,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,00082.HK,疯狂体育,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,08267.HK,蓝港互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,02022.HK,游莱互动,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,01909.HK,火岩控股,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
港股,06899.HK,联众,上市主体,港股游戏相关公司池,跨市场跟踪-待披露,保留跟踪,否,,,游戏相关主体；半年报延迟或停牌，暂缺可比数据
港股,01961.HK,多牛科技,上市主体,港股游戏相关公司池,跨市场跟踪-待披露,保留跟踪,否,,,游戏相关主体；半年报延迟或停牌，暂缺可比数据
港股,08282.HK,智傲控股,上市主体,港股游戏相关公司池,跨市场跟踪-已披露,保留跟踪,是,,,纯游戏
美股,SOHU,搜狐,上市主体,美股补充层,跨市场跟踪-已披露,保留跟踪,是,16.14,86.84,2026H1总收入2.77亿美元、在线游戏收入2.41亿美元；按USD/CNY 6.6995折算
新三板,872801.NQ,智明星通,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,中文传媒控股子公司；跨层汇总时防止重复
非上市业务主体,母体：000917.SZ 电广传媒,久之润,非上市子公司,外部81家公司名录,主体映射层,映射母体、不独立计数,不适用,,,电广传媒全资子公司；截图使用子公司游戏收入与利润
新三板,870702.NQ,点触科技,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,创新层挂牌公司
新三板,837014.NQ,塔人网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,873180.NQ,勇仕网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,836333.NQ,像素软件,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
非上市业务主体,关联方：600173.SH 卧龙新能源,君海网络,非上市联营企业,外部81家公司名录,主体映射层,映射母体、不独立计数,不适用,,,卧龙新能源持股并在半年报单列经营数据
新三板,837011.NQ,极致互动,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,870140.NQ,人人游戏,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,834195.NQ,华清飞扬,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,836014.NQ,掌游天下,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,833765.NQ,爱扑网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,837685.NQ,淘金互动,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,836002.NQ,乐蜀网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,挂牌公司，正式表述不写作A/H上市公司
非上市业务主体,母体：300044.SZ *ST赛为,开心人信息,非上市子公司,外部81家公司名录,主体映射层,映射母体、不独立计数,不适用,,,截图使用子公司游戏业务数据
新三板,870208.NQ,手游天下,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,835471.NQ,星天网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,曾用简称/公司名存在变更，建立别名映射
新三板,833976.NQ,新游网络,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
新三板,834712.NQ,掌上明珠,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,综艺股份控股子公司；跨层汇总时防止重复
新三板,839038.NQ,深海软件,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,2026年被实施风险警示，简称ST深海
新三板,835067.NQ,墨麟股份,新三板挂牌主体,外部81家公司名录,观察层-新三板,保留观察,未采集,,,补入新三板观察层
