城市ID,区域,人均可支配收入万元,人均线上消费额万元,常住人口万人,物流成本指数,线上渗透率
C0103,东部,7.89,7.726,128.0,2.655,0.7116
C0104,东部,11.385,11.182,139.0,2.072,0.9204
C0105,东部,8.303,8.396,162.0,2.43,0.7189
C0106,东部,10.705,10.254,35.0,1.84,0.8629
C0107,东部,7.804,7.416,169.0,2.545,0.7219
C0108,东部,7.707,7.568,85.0,2.726,0.6748
C0109,东部,4.81,5.235,174.0,2.312,0.588
C0110,东部,10.07,9.854,126.0,2.421,0.8481
C0111,东部,8.92,8.365,124.0,2.236,0.7182
C0112,东部,10.657,10.669,62.0,1.825,0.8085
C0113,东部,10.599,10.537,133.0,2.362,0.8347
C0114,东部,8.22,8.104,89.0,2.068,0.7428
C0115,东部,9.188,9.157,34.0,2.743,0.7365
C0116,东部,5.889,6.417,124.0,2.653,0.5739
C0117,东部,8.227,8.243,236.0,1.824,0.6721
C0118,东部,5.951,6.336,63.0,2.229,0.5938
C0119,东部,6.474,6.58,148.0,2.841,0.702
C0120,中部,7.732,9.126,368.0,2.462,0.6788
C0121,中部,5.004,6.23,60.0,3.295,0.5648
C0122,中部,3.855,5.64,123.0,2.527,0.4621
C0123,中部,5.47,6.728,181.0,3.292,0.6347
C0124,中部,2.926,5.222,51.0,2.983,0.435
C0125,中部,5.149,6.392,130.0,2.774,0.5619
C0126,中部,7.277,8.121,131.0,2.04,0.6882
C0127,中部,6.628,7.797,61.0,2.851,0.6793
C0128,中部,3.18,4.632,197.0,2.946,0.437
C0129,中部,5.92,7.063,111.0,2.706,0.6478
C0130,中部,5.816,6.419,40.0,2.714,0.5865
C0131,中部,4.949,6.37,261.0,2.981,0.5554
C0132,中部,4.76,6.797,181.0,3.304,0.5825
C0133,中部,2.257,4.301,168.0,3.126,0.3916
C0134,中部,5.71,7.174,90.0,2.469,0.5959
C0135,中部,4.882,6.883,56.0,2.37,0.5637
C0136,中部,6.545,7.654,182.0,3.291,0.6377
C0137,中部,3.481,5.111,154.0,2.601,0.4573
C0138,中部,4.93,6.836,110.0,2.981,0.6135
C0139,中部,5.802,6.794,52.0,2.734,0.6742
C0140,中部,2.816,4.215,34.0,2.863,0.4285
C0141,中部,5.64,6.697,82.0,2.89,0.5819
C0142,中部,2.592,4.568,83.0,3.213,0.443
C0143,中部,4.326,5.093,78.0,3.402,0.5465
C0144,中部,5.362,6.77,47.0,3.086,0.554
C0145,中部,3.239,5.395,75.0,2.766,0.5119
C0146,中部,6.756,7.629,163.0,2.65,0.6704
C0147,中部,6.233,7.661,81.0,2.68,0.6162
C0148,中部,4.787,5.984,59.0,3.28,0.5719
C0149,中部,6.59,7.785,228.0,2.293,0.5841
C0150,中部,3.772,5.666,135.0,3.663,0.4485
C0151,中部,6.146,7.384,134.0,3.072,0.5546
C0152,中部,5.885,7.101,46.0,3.275,0.6498
C0153,中部,4.467,5.24,68.0,3.083,0.5472
C0154,中部,4.924,6.363,81.0,3.082,0.5843
C0155,中部,6.192,7.009,253.0,2.225,0.5963
C0156,中部,4.067,5.748,40.0,2.851,0.4783
C0157,中部,3.209,4.768,135.0,2.832,0.4968
C0158,中部,6.241,7.68,228.0,2.803,0.6564
C0159,中部,4.907,6.816,236.0,2.321,0.6207
C0160,中部,6.762,8.044,266.0,3.235,0.6936
C0161,中部,6.057,7.212,40.0,3.299,0.6035
C0162,中部,6.073,6.798,217.0,2.877,0.624
C0163,中部,6.453,7.355,215.0,2.952,0.6419
C0164,中部,6.787,7.65,65.0,3.112,0.7009
C0165,中部,6.285,7.42,244.0,2.081,0.58
C0166,中部,6.415,7.405,109.0,2.183,0.6521
C0167,中部,4.291,5.77,201.0,3.022,0.5163
C0168,中部,4.788,5.964,268.0,3.045,0.551
C0169,中部,7.223,8.325,236.0,2.863,0.6615
C0170,中部,3.903,5.443,121.0,3.614,0.4662
C0171,中部,3.991,5.43,77.0,2.924,0.4953
C0172,中部,3.668,5.417,169.0,2.983,0.4366
C0173,中部,5.724,6.936,102.0,3.063,0.5361
C0174,中部,5.508,7.619,81.0,3.16,0.5948
C0175,中部,3.75,5.073,173.0,2.977,0.5234
C0176,中部,4.793,5.512,72.0,3.042,0.5894
C0177,中部,4.69,6.381,40.0,1.923,0.5749
C0178,中部,4.703,6.153,131.0,3.596,0.5626
C0179,中部,5.059,6.606,48.0,3.185,0.5608
C0180,中部,4.668,6.215,38.0,2.9,0.5474
C0181,中部,4.685,5.565,72.0,2.682,0.544
C0182,中部,4.394,5.762,39.0,2.94,0.5165
C0183,中部,1.6,3.751,76.0,3.345,0.3739
C0184,中部,4.531,6.366,24.0,2.662,0.4933
C0185,中部,3.807,4.871,202.0,3.056,0.4813
C0186,中部,3.622,4.99,157.0,2.01,0.4796
C0187,中部,6.547,7.464,187.0,3.184,0.6219
C0188,中部,3.798,5.122,51.0,2.865,0.4613
C0189,中部,6.693,8.201,34.0,2.244,0.6562
C0190,中部,6.397,7.487,101.0,2.602,0.624
C0191,中部,4.522,6.174,128.0,3.585,0.4719
C0192,中部,5.234,5.858,80.0,2.733,0.5745
C0193,中部,5.235,6.523,87.0,2.211,0.6062
C0194,中部,5.947,7.414,168.0,2.713,0.6289
C0195,中部,4.15,5.825,108.0,2.809,0.5054
C0196,中部,4.467,5.653,106.0,2.709,0.4996
C0197,中部,7.998,8.756,158.0,2.578,0.6701
C0198,中部,3.85,4.956,62.0,2.262,0.4718
C0199,中部,4.183,5.66,155.0,2.552,0.5561
C0200,中部,6.73,7.911,255.0,2.485,0.5979
C0201,中部,4.356,6.331,41.0,2.806,0.4995
C0202,中部,5.622,7.004,64.0,2.761,0.6416
C0203,中部,7.466,8.875,237.0,2.602,0.6535
C0204,中部,4.492,6.185,227.0,2.993,0.4685
C0205,中部,5.909,6.684,20.0,3.199,0.5539
C0206,中部,5.598,7.118,95.0,2.962,0.5532
C0207,中部,2.097,3.892,244.0,2.96,0.4312
C0208,中部,2.596,4.282,254.0,2.331,0.5354
C0209,中部,6.067,7.323,63.0,3.291,0.6596
C0210,中部,6.45,7.951,208.0,2.616,0.6056
C0211,中部,4.114,6.108,70.0,3.157,0.5455
C0212,中部,3.599,4.911,56.0,3.669,0.4978
C0213,中部,4.774,6.429,165.0,2.69,0.5908
C0214,中部,4.211,5.861,144.0,2.987,0.4859
C0215,中部,3.878,5.29,86.0,2.375,0.4748
C0216,中部,5.164,6.592,582.0,2.812,0.534
C0217,中部,6.096,7.241,87.0,3.054,0.6491
C0218,中部,4.684,6.626,49.0,2.406,0.5672
C0219,中部,5.558,6.784,179.0,2.516,0.5988
C0220,西部,4.074,6.324,71.0,3.658,0.4479
C0221,西部,4.049,6.594,86.0,2.624,0.5619
C0222,西部,4.99,6.515,55.0,2.836,0.5573
C0223,西部,4.879,6.923,101.0,3.242,0.5994
C0224,西部,3.279,6.245,60.0,3.355,0.5288
C0225,西部,2.851,5.782,63.0,3.746,0.4428
C0226,西部,4.194,6.495,62.0,2.812,0.5711
C0227,西部,4.118,6.749,112.0,2.182,0.4941
C0228,西部,4.952,6.855,88.0,2.477,0.6072
C0229,西部,3.939,6.482,24.0,3.073,0.5127
C0230,西部,4.69,6.899,125.0,2.786,0.5789
C0231,西部,3.407,6.03,69.0,3.223,0.4087
C0232,西部,2.996,5.635,147.0,3.335,0.4541
C0233,西部,4.556,7.281,88.0,3.136,0.5242
C0234,西部,2.66,5.286,98.0,2.678,0.4098
C0235,西部,3.554,5.614,76.0,3.253,0.4593
C0236,西部,6.217,8.288,266.0,2.632,0.6104
C0237,西部,2.582,5.412,53.0,3.581,0.4188
C0238,西部,4.682,7.047,243.0,2.751,0.5703
C0239,西部,4.146,6.609,47.0,3.169,0.5356
C0240,西部,2.632,5.262,91.0,2.898,0.4375
C0241,西部,1.6,4.165,193.0,3.073,0.3851
C0242,西部,4.106,6.496,100.0,3.21,0.5571
C0243,西部,1.6,4.998,128.0,3.761,0.3375
C0244,西部,4.556,6.854,170.0,2.946,0.5424
C0245,西部,3.572,5.587,185.0,2.667,0.5307
C0246,西部,3.18,5.657,106.0,3.283,0.4863
C0247,西部,3.321,5.995,37.0,3.248,0.4744
C0248,西部,4.396,6.531,248.0,2.562,0.5338
C0249,西部,4.591,7.145,63.0,2.98,0.5435
C0250,西部,2.851,5.76,34.0,2.897,0.4493
C0251,西部,2.306,5.232,261.0,3.194,0.4097
C0252,西部,4.18,6.618,80.0,3.13,0.538
C0253,西部,1.889,5.327,77.0,2.972,0.3842
C0254,西部,3.946,6.636,113.0,2.619,0.5406
C0255,西部,2.818,5.845,157.0,2.97,0.4398
C0256,西部,3.979,6.379,155.0,2.988,0.4537
C0257,西部,2.585,5.678,88.0,3.178,0.4569
C0258,西部,4.313,7.041,88.0,2.652,0.4772
C0259,西部,3.619,6.376,131.0,2.863,0.4884
C0260,西部,3.674,6.442,70.0,2.971,0.4609
C0261,西部,5.93,8.038,76.0,2.917,0.6024
C0262,西部,3.057,6.097,65.0,2.54,0.4396
C0263,西部,3.186,5.648,109.0,3.0,0.4787
C0264,西部,2.672,5.628,55.0,3.373,0.4059
C0265,西部,3.622,5.875,74.0,2.557,0.533
C0266,西部,4.884,7.183,88.0,2.699,0.5777
C0267,西部,5.2,7.118,124.0,3.187,0.5468
C0268,西部,3.215,6.04,86.0,2.94,0.4838
C0269,西部,5.146,7.023,50.0,2.63,0.5218
C0270,西部,2.865,5.346,163.0,2.923,0.4733
C0271,西部,2.1,4.969,140.0,3.324,0.4335
C0272,西部,2.691,5.23,132.0,2.728,0.402
C0273,西部,2.625,5.572,80.0,2.876,0.476
C0274,西部,4.261,6.6,44.0,2.896,0.5714
C0275,西部,4.018,6.545,93.0,3.015,0.4793
C0276,西部,5.524,7.64,163.0,3.097,0.5923
C0277,西部,3.127,6.191,154.0,3.096,0.4455
C0278,西部,2.783,5.709,79.0,3.098,0.4384
C0279,西部,4.874,7.634,119.0,3.476,0.5514
C0280,西部,1.757,4.812,98.0,3.637,0.3228
C0281,西部,3.004,5.458,60.0,3.443,0.456
C0282,西部,5.374,7.539,140.0,3.363,0.5713
C0283,西部,4.143,7.056,94.0,2.862,0.5025
C0284,西部,2.254,5.404,25.0,2.479,0.3777
C0285,西部,3.44,6.269,95.0,3.428,0.4327
C0286,西部,5.572,7.622,79.0,2.746,0.6091
C0287,西部,3.594,5.862,83.0,2.854,0.4777
C0288,西部,2.633,5.305,69.0,2.901,0.4612
C0289,西部,3.4,6.488,50.0,3.353,0.4658
C0290,西部,5.044,7.709,66.0,2.841,0.5636
C0291,西部,4.944,7.383,253.0,2.256,0.5377
C0292,西部,4.287,6.802,87.0,3.1,0.4824
C0293,西部,4.575,6.713,118.0,3.425,0.5238
C0294,西部,5.125,7.269,302.0,3.087,0.5443
C0295,西部,4.699,7.032,65.0,2.874,0.5164
C0296,西部,4.259,6.283,67.0,2.833,0.4714
C0297,西部,2.789,5.918,74.0,3.483,0.4686
C0298,西部,3.356,5.998,53.0,2.931,0.5304
C0299,西部,3.017,6.184,262.0,2.927,0.4675
