用户ID,平台,设备档位,单次使用时长秒,周会话次数,是否付费
U000118,iOS,中端,1946,10,0
U000119,安卓,低端,286,10,0
U000120,iOS,中端,734,8,0
U000121,安卓,高端,3305,5,0
U000122,iOS,高端,111,5,0
U000123,安卓,低端,245,4,0
U000124,iOS,高端,1298,9,0
U000125,iOS,低端,356,9,0
U000126,安卓,中端,93,4,0
U000127,安卓,中端,222,6,0
U000128,iOS,中端,817,7,0
U000129,安卓,中端,104,4,0
U000130,安卓,低端,206,4,0
U000131,安卓,中端,119,8,0
U000132,iOS,低端,443,11,1
U000133,安卓,低端,703,6,0
U000134,iOS,高端,96,6,0
U000135,安卓,低端,120,12,0
U000136,安卓,中端,1218,8,0
U000137,安卓,低端,5,2,0
U000138,安卓,中端,426,11,0
U000139,安卓,中端,89,5,0
U000140,iOS,中端,2926,8,0
U000141,安卓,中端,134,3,0
U000142,安卓,低端,16,2,0
U000143,安卓,高端,45,5,0
U000144,iOS,高端,390,4,0
U000145,iOS,中端,614,5,1
U000146,iOS,中端,97,5,0
U000147,安卓,高端,302,4,0
U000148,安卓,中端,100,5,0
U000149,安卓,中端,108,5,0
U000150,安卓,高端,283,3,0
U000151,iOS,低端,472,10,0
U000152,iOS,中端,410,7,0
U000153,安卓,低端,543,8,0
U000154,安卓,中端,576,7,0
U000155,iOS,高端,311,11,0
U000156,安卓,中端,157,7,0
U000157,iOS,高端,188,6,0
U000158,安卓,低端,78,5,0
U000159,安卓,低端,1978,4,0
U000160,iOS,中端,309,7,0
U000161,iOS,低端,859,7,0
U000162,安卓,中端,50,7,0
U000163,安卓,中端,93,5,0
U000164,安卓,中端,3472,4,0
U000165,安卓,低端,240,7,0
U000166,安卓,高端,311,10,0
U000167,安卓,低端,149,4,0
U000168,安卓,中端,203,4,0
U000169,安卓,低端,191,3,0
U000170,iOS,中端,188,7,0
U000171,安卓,低端,444,7,0
U000172,iOS,中端,110,5,0
U000173,安卓,中端,388,7,0
U000174,安卓,中端,589,5,0
U000175,安卓,中端,117,6,0
U000176,安卓,低端,357,3,0
U000177,安卓,高端,653,3,0
U000178,安卓,中端,824,11,0
U000179,iOS,高端,87,11,0
U000180,安卓,低端,547,4,0
U000181,iOS,低端,545,9,0
U000182,安卓,中端,171,6,0
U000183,iOS,高端,202000,8,0
U000184,安卓,低端,75,4,0
U000185,iOS,中端,528,11,0
U000186,安卓,低端,5115,2,0
U000187,安卓,低端,765,4,0
U000188,安卓,低端,251,5,0
U000189,安卓,中端,9167,5,0
U000190,安卓,低端,317,11,0
U000191,安卓,中端,275,7,0
U000192,iOS,低端,1333,7,0
U000193,安卓,中端,82,7,1
U000194,iOS,中端,1479,8,0
U000195,iOS,中端,159,9,0
U000196,安卓,中端,316,3,0
U000197,安卓,中端,2220,6,0
U000198,iOS,中端,1006,6,0
U000199,iOS,高端,441,10,0
U000200,安卓,低端,1046,4,0
U000201,安卓,低端,1068,3,0
U000202,安卓,高端,105,4,0
U000203,iOS,中端,43,9,0
U000204,安卓,中端,603,2,0
U000205,iOS,中端,751,13,0
U000206,安卓,中端,19291,2,0
U000207,安卓,低端,203,5,0
U000208,安卓,中端,944,3,0
U000209,安卓,中端,150,12,0
U000210,安卓,低端,626,5,0
U000211,安卓,低端,36,4,0
U000212,安卓,中端,898,5,0
U000213,安卓,中端,21,2,0
U000214,安卓,高端,682,5,0
U000215,安卓,中端,210,3,0
U000216,安卓,中端,154,6,0
U000217,iOS,低端,861,11,0
U000218,安卓,中端,292,6,0
U000219,安卓,中端,507,6,0
U000220,安卓,低端,128,14,0
U000221,iOS,高端,111,5,0
U000222,iOS,中端,1312,6,0
U000223,iOS,低端,1644,8,0
U000224,iOS,高端,358,4,0
U000225,iOS,中端,245,5,0
U000226,安卓,中端,278,5,0
U000227,iOS,中端,1073,4,0
U000228,安卓,低端,60,5,0
U000229,iOS,中端,258,6,0
U000230,安卓,高端,14,9,1
U000231,安卓,低端,523,7,0
U000232,安卓,低端,350,4,0
U000233,安卓,高端,63,3,0
U000234,安卓,低端,451,7,0
U000235,安卓,高端,337,8,0
U000236,安卓,中端,702,4,0
U000237,安卓,中端,105,5,0
U000238,安卓,低端,159,3,0
U000239,安卓,高端,102,5,0
U000240,iOS,中端,545,4,0
U000241,安卓,低端,181,3,1
U000242,iOS,高端,106,10,1
U000243,iOS,低端,120,6,0
U000244,iOS,中端,626,6,0
U000245,安卓,低端,379,3,0
U000246,安卓,低端,1339,9,0
U000247,安卓,高端,1053,6,0
U000248,安卓,高端,177,7,0
U000249,iOS,中端,479,8,0
U000250,iOS,中端,517,8,0
U000251,安卓,低端,393,6,0
U000252,iOS,中端,123,2,0
U000253,iOS,高端,493,7,0
U000254,iOS,中端,247,12,0
U000255,iOS,高端,723,13,0
U000256,安卓,低端,80,6,1
U000257,安卓,中端,562,3,0
U000258,iOS,高端,114,14,0
U000259,安卓,中端,92,3,0
U000260,iOS,高端,544,6,0
U000261,安卓,低端,108,5,0
U000262,iOS,低端,127,7,0
U000263,安卓,中端,55,4,0
U000264,安卓,低端,93,7,0
U000265,安卓,中端,621,5,0
U000266,安卓,中端,2024,5,0
U000267,安卓,低端,1481,7,0
U000268,安卓,高端,207,9,0
U000269,安卓,中端,170,10,0
U000270,安卓,高端,525,8,0
U000271,安卓,高端,297,4,0
U000272,安卓,低端,61,9,0
U000273,安卓,中端,1574,7,0
U000274,安卓,中端,3226,5,0
U000275,安卓,低端,15,4,0
U000276,安卓,低端,62,8,0
U000277,安卓,中端,110,7,0
U000278,安卓,中端,59,3,0
U000279,iOS,中端,274,7,0
U000280,安卓,中端,244,4,0
U000281,安卓,低端,355,6,0
U000282,安卓,中端,34,9,0
U000283,安卓,中端,259,1,0
U000284,安卓,中端,777,2,0
U000285,iOS,中端,797,11,0
U000286,iOS,高端,502,6,0
U000287,iOS,中端,273,3,0
U000288,安卓,中端,34,4,0
U000289,iOS,低端,4721,5,0
U000290,安卓,中端,59,7,0
U000291,iOS,低端,611,12,0
U000292,安卓,低端,1405,9,0
U000293,安卓,中端,417,9,0
U000294,安卓,中端,477,4,0
U000295,iOS,中端,819,7,0
U000296,安卓,中端,177,1,0
U000297,安卓,中端,63,8,0
U000298,安卓,低端,1109,4,0
U000299,安卓,中端,478,8,0
U000300,安卓,中端,271,3,0
U000301,安卓,高端,309,3,0
U000302,安卓,高端,62,8,0
U000303,安卓,中端,37,4,0
U000304,安卓,高端,231,8,0
U000305,iOS,中端,156,4,0
U000306,安卓,中端,319,7,0
U000307,iOS,高端,672,5,0
U000308,安卓,低端,162,6,0
U000309,安卓,低端,1946,4,0
U000310,安卓,中端,305,2,0
U000311,安卓,中端,959,5,0
U000312,安卓,低端,158,5,0
U000313,安卓,低端,821,6,0
U000314,安卓,中端,79,4,0
U000315,安卓,中端,28,3,0
U000316,iOS,高端,271,7,0
U000317,安卓,低端,56,8,0
U000318,iOS,高端,78,8,0
U000319,安卓,中端,1169,5,0
U000320,安卓,中端,15,3,0
U000321,iOS,高端,391,5,0
U000322,iOS,高端,88,8,0
U000323,安卓,中端,120,9,0
U000324,安卓,中端,46,5,0
U000325,iOS,低端,270,11,0
U000326,安卓,低端,571,6,0
U000327,安卓,中端,116,5,0
U000328,iOS,低端,92,11,0
U000329,安卓,中端,168,5,0
U000330,iOS,中端,657,5,0
U000331,安卓,低端,409,4,0
U000332,安卓,中端,1151,6,0
U000333,安卓,中端,33,8,0
U000334,iOS,中端,322,9,0
U000335,安卓,中端,717,4,0
U000336,安卓,中端,31,7,0
U000337,安卓,中端,97,6,0
U000338,iOS,中端,1244,8,0
U000339,安卓,低端,115,4,0
U000340,安卓,中端,22,8,0
U000341,iOS,低端,227,5,0
U000342,iOS,中端,215,6,0
U000343,安卓,低端,890,6,0
U000344,iOS,高端,386,6,0
U000345,iOS,中端,483,8,1
U000346,安卓,低端,2088,5,0
U000347,安卓,低端,71,7,0
U000348,安卓,低端,109,11,0
U000349,安卓,低端,29,5,0
U000350,iOS,高端,286,4,0
U000351,安卓,低端,925,3,0
U000352,安卓,中端,155,9,0
U000353,安卓,中端,17,5,0
U000354,安卓,中端,283,6,0
U000355,安卓,中端,30,7,0
U000356,安卓,高端,55,4,0
U000357,安卓,高端,129,6,0
U000358,安卓,中端,46,7,0
U000359,安卓,低端,226,4,0
U000360,iOS,中端,190,9,0
U000361,安卓,低端,44,4,0
U000362,安卓,高端,420,7,0
U000363,安卓,低端,26,6,0
U000364,iOS,高端,165,4,0
U000365,安卓,中端,654,4,0
U000366,安卓,低端,135,8,0
U000367,安卓,中端,58,5,1
U000368,安卓,低端,507,7,0
U000369,安卓,中端,203,6,0
U000370,安卓,低端,548,5,0
U000371,安卓,中端,166,6,0
U000372,安卓,高端,558,5,0
U000373,安卓,中端,109000,3,0
U000374,安卓,中端,56,6,0
U000375,iOS,低端,420,4,0
U000376,安卓,低端,133,8,0
U000377,安卓,中端,358,6,0
U000378,安卓,高端,101,5,0
U000379,iOS,低端,470,9,0
U000380,安卓,高端,318,4,1
U000381,安卓,低端,1113,6,0
U000382,iOS,低端,206,7,0
U000383,安卓,中端,558,9,0
U000384,安卓,低端,58,4,0
U000385,安卓,低端,275,10,0
U000386,安卓,中端,75,8,0
U000387,iOS,中端,86,8,0
U000388,iOS,中端,193,8,0
U000389,iOS,低端,322,10,0
U000390,安卓,中端,165,5,0
U000391,iOS,高端,1940,5,0
U000392,安卓,高端,329,11,0
U000393,安卓,中端,146,12,0
U000394,安卓,低端,78,7,0
U000395,iOS,高端,640,3,0
U000396,iOS,中端,298,7,0
U000397,iOS,中端,270,4,0
U000398,安卓,中端,191,8,0
U000399,安卓,中端,346,7,0
U000400,安卓,中端,1233,7,0
U000401,安卓,高端,149,4,0
U000402,安卓,高端,246,7,0
U000403,安卓,中端,437,4,0
U000404,iOS,中端,1199,10,0
U000405,安卓,低端,110,5,0
U000406,iOS,中端,246,6,0
U000407,安卓,中端,129,6,0
U000408,iOS,中端,590,11,0
U000409,安卓,中端,133,3,0
U000410,安卓,低端,199,4,0
U000411,安卓,中端,93,3,0
U000412,安卓,中端,154,8,0
U000413,安卓,低端,319,6,0
U000414,安卓,中端,162,3,0
U000415,安卓,低端,3774,4,0
U000416,安卓,低端,677,3,0
U000417,iOS,中端,672,4,0
U000418,iOS,中端,1982,5,0
U000419,安卓,中端,314,7,0
U000420,iOS,中端,388,12,0
U000421,安卓,中端,104,8,0
U000422,安卓,中端,199,7,0
U000423,安卓,高端,1370,13,1
U000424,安卓,中端,61,5,0
U000425,安卓,低端,40,8,0
U000426,安卓,低端,363,5,0
U000427,安卓,低端,122,7,0
U000428,iOS,低端,222,9,0
U000429,安卓,低端,2912,4,0
U000430,iOS,中端,396,19,0
U000431,安卓,中端,281,4,0
U000432,安卓,中端,41,5,0
U000433,安卓,中端,1278,3,1
U000434,安卓,高端,2168,6,0
U000435,安卓,高端,218,7,0
U000436,安卓,低端,1753,5,0
U000437,iOS,高端,61,9,0
U000438,安卓,中端,109,5,0
U000439,安卓,中端,361,3,0
U000440,iOS,高端,517,10,1
U000441,安卓,低端,482,4,0
U000442,安卓,中端,397,5,0
U000443,安卓,高端,3049,6,0
U000444,安卓,中端,147,3,0
U000445,安卓,低端,157,8,0
U000446,安卓,中端,91,7,0
U000447,安卓,中端,242,3,0
U000448,安卓,低端,116,1,0
U000449,安卓,中端,1474,6,1
U000450,安卓,低端,166,5,0
U000451,安卓,低端,618,4,0
U000452,安卓,中端,715,11,0
U000453,安卓,低端,978,11,0
U000454,安卓,低端,147,4,0
U000455,iOS,中端,193,7,0
U000456,安卓,低端,135,3,0
U000457,安卓,中端,137,4,1
U000458,安卓,低端,66,3,0
U000459,iOS,中端,724,6,0
U000460,安卓,中端,28,7,0
U000461,iOS,中端,688,7,0
U000462,安卓,高端,2227,2,0
U000463,安卓,低端,210,9,0
U000464,安卓,中端,600,5,1
U000465,iOS,中端,35,11,0
U000466,iOS,中端,985,8,0
U000467,安卓,高端,733,3,0
U000468,安卓,中端,176,12,0
U000469,iOS,中端,702,7,0
U000470,安卓,高端,85,5,0
U000471,iOS,低端,503,5,0
U000472,安卓,高端,14,8,0
U000473,安卓,低端,990,6,0
U000474,安卓,中端,488,7,0
U000475,iOS,中端,987,6,0
U000476,iOS,中端,262,6,0
U000477,iOS,中端,2363,12,0
U000478,安卓,低端,176,2,0
U000479,安卓,中端,381,9,0
U000480,iOS,高端,351,10,0
U000481,安卓,高端,199,2,0
U000482,安卓,中端,144,6,0
U000483,安卓,中端,29,3,0
U000484,iOS,中端,961,7,0
U000485,安卓,低端,158,5,0
U000486,iOS,高端,1494,11,0
U000487,安卓,低端,165,5,0
U000488,iOS,中端,115,7,0
U000489,iOS,中端,5491,16,0
U000490,iOS,低端,956,5,1
U000491,安卓,中端,158,10,0
U000492,安卓,中端,155,7,0
U000493,安卓,低端,416,3,0
U000494,安卓,低端,1509,9,0
U000495,安卓,中端,1391,8,0
U000496,安卓,高端,130,6,1
U000497,安卓,中端,93,9,0
U000498,iOS,中端,315,9,0
U000499,安卓,低端,336,7,0
U000500,安卓,低端,76,6,0
U000501,安卓,高端,194,6,0
U000502,安卓,低端,59,7,0
U000503,安卓,高端,185,6,0
U000504,iOS,高端,70,8,0
U000505,安卓,低端,106,6,0
U000506,iOS,低端,51,7,0
U000507,iOS,中端,873,12,0
U000508,安卓,中端,526,7,0
U000509,安卓,中端,1041,6,0
U000510,安卓,低端,746,9,0
U000511,iOS,高端,89,6,0
U000512,安卓,低端,377,8,0
U000513,iOS,中端,762,6,0
U000514,安卓,低端,1677,7,0
U000515,安卓,中端,393,5,0
U000516,iOS,中端,143,7,0
U000517,安卓,高端,333,7,0
U000518,iOS,中端,117,8,0
U000519,安卓,低端,154,3,0
U000520,iOS,低端,1631,7,0
U000521,iOS,低端,281,3,0
U000522,iOS,中端,608,4,0
U000523,安卓,低端,100,5,0
U000524,iOS,中端,99,1,0
U000525,安卓,中端,125,6,0
U000526,安卓,中端,860,7,0
U000527,安卓,中端,479,6,0
U000528,安卓,中端,1214,4,0
U000529,安卓,中端,135,4,0
U000530,安卓,高端,2565,6,0
U000531,安卓,低端,1978,4,0
U000532,iOS,高端,169,8,0
U000533,安卓,中端,388,5,0
U000534,iOS,中端,382,7,1
U000535,iOS,高端,244,6,0
U000536,iOS,低端,902,13,0
U000537,iOS,中端,796,15,0
U000538,安卓,低端,370,3,0
U000539,安卓,中端,323,4,0
U000540,iOS,中端,560,6,0
U000541,iOS,高端,84,6,0
U000542,iOS,中端,732,9,0
U000543,安卓,低端,1037,5,0
U000544,安卓,高端,120,8,0
U000545,iOS,中端,353,10,0
U000546,iOS,中端,215,7,0
U000547,安卓,低端,372,5,0
U000548,安卓,中端,190,6,0
U000549,安卓,中端,86,4,0
U000550,iOS,中端,602,5,0
U000551,安卓,中端,91,5,1
U000552,安卓,低端,249,6,0
U000553,iOS,中端,736,7,0
U000554,iOS,高端,523,13,0
U000555,安卓,低端,1373,6,0
U000556,iOS,中端,419,5,0
U000557,iOS,高端,275,2,0
U000558,安卓,高端,354,6,0
U000559,安卓,中端,108,7,0
U000560,安卓,中端,318,5,0
U000561,iOS,中端,436,6,0
U000562,安卓,低端,258,5,0
U000563,安卓,中端,1544,7,0
U000564,iOS,中端,590,10,0
U000565,安卓,低端,165,8,0
U000566,安卓,高端,984,6,0
U000567,安卓,高端,29,2,0
U000568,安卓,中端,26,5,0
U000569,安卓,低端,570,9,0
U000570,安卓,中端,401,9,0
U000571,安卓,低端,126,4,0
U000572,安卓,低端,263,1,0
U000573,iOS,中端,93,5,0
U000574,安卓,中端,510,4,0
U000575,iOS,中端,322,5,0
U000576,安卓,低端,36,4,0
U000577,安卓,中端,226,5,0
U000578,iOS,中端,26,2,0
U000579,安卓,低端,13,5,0
U000580,安卓,低端,237,4,0
U000581,安卓,低端,275,6,0
U000582,安卓,低端,95,4,0
U000583,iOS,中端,1537,8,1
U000584,iOS,高端,1027,8,0
U000585,安卓,低端,1606,7,0
U000586,安卓,低端,1545,7,0
U000587,安卓,高端,38,8,0
U000588,安卓,中端,482,3,1
U000589,iOS,高端,930,7,0
U000590,安卓,高端,771,3,0
U000591,iOS,中端,711,16,0
U000592,安卓,中端,36,5,0
U000593,安卓,中端,608,7,0
U000594,安卓,低端,420,5,0
U000595,安卓,低端,53,8,0
U000596,安卓,高端,52,6,0
U000597,安卓,低端,261,5,0
U000598,安卓,中端,342,6,0
U000599,安卓,中端,102,5,0
U000600,iOS,中端,485,8,0
U000601,安卓,中端,26,4,0
U000602,安卓,中端,162,6,0
U000603,iOS,中端,136,7,0
U000604,安卓,中端,34,4,0
U000605,安卓,中端,707,6,0
U000606,iOS,高端,287,7,0
U000607,安卓,低端,1703,5,0
U000608,安卓,高端,747,3,0
U000609,安卓,低端,380,8,0
U000610,安卓,高端,281,7,0
U000611,iOS,中端,132,8,0
U000612,iOS,低端,184,8,0
U000613,iOS,高端,284,2,0
U000614,安卓,中端,120,4,0
U000615,安卓,低端,418,6,0
U000616,安卓,低端,383,7,0
U000617,iOS,中端,254,11,0
U000618,iOS,中端,539,6,0
U000619,iOS,高端,167,5,0
U000620,iOS,中端,753,7,1
U000621,iOS,高端,99,4,0
U000622,安卓,中端,43,3,0
U000623,安卓,中端,1509000,8,0
U000624,安卓,低端,577,2,0
U000625,安卓,低端,17,6,0
U000626,安卓,低端,1283,4,0
U000627,安卓,中端,55,9,0
U000628,安卓,中端,280,8,0
U000629,安卓,低端,502,7,0
U000630,iOS,中端,439,6,0
U000631,iOS,中端,125,8,0
U000632,安卓,中端,1146,10,0
U000633,iOS,低端,23,6,0
U000634,iOS,低端,676,6,0
U000635,安卓,高端,210,11,0
U000636,安卓,低端,615,6,0
U000637,iOS,中端,529,7,0
U000638,安卓,低端,36,5,0
U000639,安卓,中端,339,6,0
U000640,安卓,中端,131,8,0
U000641,安卓,低端,171,3,0
U000642,安卓,中端,186,4,0
U000643,安卓,中端,87,3,0
U000644,安卓,低端,277,11,0
U000645,iOS,中端,141,7,0
U000646,iOS,低端,122,7,0
U000647,安卓,高端,180,6,0
U000648,iOS,中端,678,5,0
U000649,iOS,中端,201,7,0
U000650,iOS,中端,1193,2,0
U000651,安卓,中端,433,4,0
U000652,iOS,低端,100,9,1
U000653,安卓,中端,93,5,0
U000654,安卓,中端,796,5,0
U000655,iOS,中端,127,4,0
U000656,iOS,中端,688,7,0
U000657,安卓,中端,412,7,0
U000658,安卓,中端,275,3,0
U000659,iOS,中端,320,6,0
U000660,安卓,中端,270,6,0
U000661,安卓,低端,105,7,0
U000662,安卓,高端,129,5,0
U000663,iOS,高端,62,4,0
U000664,安卓,中端,364,9,0
U000665,安卓,中端,75,9,0
U000666,安卓,高端,79,4,0
U000667,iOS,中端,441,6,0
U000668,安卓,中端,4731,7,1
U000669,安卓,高端,1019,4,0
U000670,iOS,高端,513,6,0
U000671,安卓,高端,4241,6,0
U000672,iOS,中端,301,5,0
U000673,安卓,中端,64,5,0
U000674,iOS,中端,660,2,0
U000675,安卓,高端,631,7,0
U000676,安卓,高端,181,10,0
U000677,安卓,低端,91,3,0
U000678,iOS,高端,325,3,0
U000679,安卓,高端,708,7,0
U000680,安卓,低端,94,6,0
U000681,iOS,中端,133,9,0
U000682,安卓,低端,250,6,0
U000683,安卓,中端,439,5,0
U000684,安卓,中端,400,4,0
U000685,安卓,低端,56,8,0
U000686,安卓,中端,92,5,0
U000687,安卓,中端,90,6,0
U000688,安卓,中端,2224,9,0
U000689,安卓,中端,133,4,0
U000690,安卓,中端,149,5,1
U000691,安卓,中端,121,2,0
U000692,安卓,低端,722,4,0
U000693,安卓,高端,39,4,0
U000694,安卓,低端,144,9,0
U000695,iOS,高端,214,6,0
U000696,安卓,低端,218,4,0
U000697,安卓,中端,1322,9,0
U000698,安卓,高端,464,6,0
U000699,安卓,中端,540,8,0
U000700,安卓,高端,62,5,0
U000701,安卓,中端,202,2,0
U000702,iOS,中端,359,10,0
U000703,安卓,低端,1137,10,0
U000704,iOS,高端,844,6,0
U000705,iOS,中端,642,11,0
U000706,安卓,低端,212,6,0
U000707,iOS,高端,458,6,0
U000708,安卓,低端,95,6,0
U000709,安卓,低端,141,5,0
U000710,安卓,中端,323,4,0
U000711,安卓,中端,142,9,0
U000712,iOS,中端,159,7,0
U000713,iOS,中端,218,8,0
U000714,安卓,中端,440,2,0
U000715,iOS,高端,677,9,0
U000716,安卓,高端,313,6,0
U000717,安卓,高端,1080,8,0
U000718,安卓,低端,135,6,0
U000719,iOS,高端,129,7,0
U000720,安卓,低端,280,5,0
U000721,iOS,中端,498,3,0
U000722,安卓,中端,361,6,0
U000723,安卓,低端,69,3,0
U000724,安卓,中端,57,10,1
U000725,安卓,低端,70,5,0
U000726,安卓,中端,619,7,0
U000727,安卓,低端,111,5,0
U000728,iOS,中端,2511,8,0
U000729,安卓,低端,27,6,0
U000730,安卓,中端,1539,8,1
U000731,iOS,低端,205,3,0
U000732,安卓,中端,89,4,0
U000733,安卓,中端,713,5,0
U000734,安卓,低端,176,8,0
U000735,安卓,低端,59,4,0
U000736,安卓,中端,7,2,0
U000737,安卓,低端,234,7,0
U000738,安卓,高端,423,7,0
U000739,iOS,中端,975,6,0
U000740,安卓,中端,1165,8,0
U000741,iOS,中端,131,9,0
U000742,iOS,高端,479,8,0
U000743,iOS,高端,184,10,0
U000744,iOS,中端,85,7,0
U000745,安卓,中端,180,10,0
U000746,iOS,高端,78,4,1
U000747,安卓,高端,350,6,0
U000748,iOS,高端,175,6,0
U000749,iOS,中端,3040,7,0
U000750,iOS,中端,267,7,0
U000751,iOS,高端,484,7,0
U000752,iOS,中端,75,4,0
U000753,安卓,中端,466,8,0
U000754,安卓,低端,56,4,0
U000755,iOS,高端,658,7,0
U000756,安卓,低端,60,2,0
U000757,iOS,中端,344,5,1
U000758,安卓,低端,355,5,0
U000759,安卓,低端,131,6,0
U000760,安卓,低端,98,3,0
U000761,安卓,中端,57,3,0
U000762,安卓,低端,408,8,0
U000763,安卓,高端,36,3,0
U000764,安卓,低端,1543,7,0
U000765,安卓,中端,2412,8,0
U000766,iOS,高端,927,13,0
U000767,安卓,中端,90,7,0
U000768,iOS,高端,200,7,0
U000769,iOS,高端,727,5,0
U000770,安卓,低端,178,3,0
U000771,iOS,中端,155,7,0
U000772,iOS,中端,439,10,0
U000773,安卓,高端,136,5,0
U000774,安卓,高端,233,6,0
U000775,安卓,高端,108,6,0
U000776,iOS,中端,154,8,0
U000777,iOS,中端,256,6,1
U000778,iOS,高端,1249,9,0
U000779,安卓,低端,85,9,0
U000780,安卓,低端,1687,7,0
U000781,iOS,中端,126,8,0
U000782,安卓,中端,848,5,0
U000783,iOS,高端,307,6,0
U000784,iOS,中端,169,5,0
U000785,安卓,低端,24,10,0
U000786,安卓,低端,1153,3,0
U000787,iOS,高端,204,9,0
U000788,安卓,高端,112,5,0
U000789,iOS,中端,147,14,0
U000790,iOS,中端,205,8,0
U000791,安卓,高端,534,6,0
U000792,安卓,中端,11,5,1
U000793,iOS,中端,5056,9,0
U000794,安卓,中端,109,6,0
U000795,安卓,中端,946,7,0
U000796,安卓,低端,144,4,0
U000797,iOS,中端,1838,6,0
U000798,安卓,中端,55,11,0
U000799,安卓,低端,453,7,0
U000800,安卓,高端,455,8,0
U000801,iOS,低端,199,7,0
U000802,安卓,低端,587,5,0
U000803,安卓,中端,613,6,0
U000804,安卓,中端,66,8,0
U000805,安卓,低端,20,4,0
U000806,安卓,中端,7,8,0
U000807,iOS,中端,792,4,0
U000808,安卓,中端,256,6,0
U000809,安卓,高端,453,6,0
U000810,安卓,高端,1224,5,0
U000811,安卓,高端,143,5,0
U000812,iOS,中端,915,5,0
