user_id,recency_days,frequency_90d,monetary_90d,cluster
191,39,1,95.57,1
192,20,12,2264.2,3
193,6,2,345.3,2
194,3,15,2084.24,0
195,18,9,1005.5,3
196,38,2,150.38,1
197,5,3,128.5,2
198,4,3,199.32,2
199,16,15,1243.3,3
200,7,2,99.38,2
201,76,1,105.35,1
202,47,2,93.7,1
203,5,2,221.27,2
204,43,1,115.81,1
205,31,1,204.16,1
206,6,12,2005.44,0
207,56,1,63.55,1
208,19,12,1417.23,3
209,35,2,92.64,1
210,21,18,1906.58,3
211,4,2,178.0,2
212,58,1,67.15,1
213,4,2,263.18,2
214,39,1,113.07,1
215,6,11,1922.1,0
216,24,19,1059.09,3
217,24,10,1317.76,3
218,28,13,1608.79,3
219,25,11,1842.77,3
220,4,13,1535.63,0
221,28,14,1659.09,3
222,47,1,78.43,1
223,5,3,193.43,2
224,61,1,75.1,1
225,20,16,1718.23,3
226,50,1,86.38,1
227,4,3,213.61,2
228,7,19,1343.15,0
229,45,1,95.26,1
230,46,1,93.56,1
231,3,18,1460.6,0
232,22,15,1324.6,3
233,32,15,930.08,3
234,3,14,1360.41,0
235,17,19,1218.36,3
236,6,15,1230.66,0
237,24,14,1718.5,3
238,4,13,2011.95,0
239,25,15,751.91,3
240,4,3,233.12,2
241,52,1,65.08,1
242,20,15,1014.87,3
243,5,15,1741.02,0
244,55,1,91.96,1
245,68,1,132.86,1
246,5,2,287.31,2
247,89,1,64.48,1
248,3,3,239.07,2
249,3,3,336.96,2
250,3,2,257.75,2
251,37,1,110.28,1
252,33,14,1282.04,3
253,3,16,1691.16,0
254,45,2,71.57,1
255,28,19,1709.61,3
256,4,2,270.85,2
257,40,19,1431.29,3
258,43,1,81.83,1
259,34,1,74.67,1
260,5,17,1909.73,0
261,29,13,1784.73,3
262,53,1,159.14,1
263,4,2,239.59,2
264,36,20,1115.28,3
265,5,20,1652.09,0
266,39,1,133.14,1
267,21,15,1201.05,3
268,3,1,250.22,2
269,4,4,276.68,2
270,44,2,115.73,1
271,43,2,101.75,1
272,50,1,141.51,1
273,40,18,1014.65,3
274,7,3,227.19,2
275,24,1,108.84,1
276,5,17,1336.98,0
277,65,1,96.12,1
278,59,1,88.17,1
279,42,16,1244.55,3
280,5,4,170.57,2
281,63,1,98.59,1
282,28,15,1990.82,3
283,4,2,246.77,2
284,4,13,1892.09,0
285,17,19,1302.06,3
286,38,1,93.29,1
287,7,15,1301.29,0
288,36,23,1538.02,3
289,3,3,259.11,2
290,19,26,1275.95,3
291,48,15,1679.42,3
292,22,19,778.36,3
293,5,16,1473.21,0
294,3,19,1253.96,0
295,23,16,1212.79,3
296,5,24,1835.91,0
297,33,1,163.12,1
298,59,2,105.56,1
299,4,15,1094.81,0
300,7,15,1593.46,0
301,6,17,1185.55,0
302,18,15,1321.92,3
303,21,20,1383.92,3
304,43,1,123.66,1
305,4,2,199.04,2
306,31,15,1379.17,3
307,47,1,93.81,1
308,6,14,1154.71,0
309,5,4,197.19,2
310,39,14,816.72,3
311,31,16,1543.19,3
312,37,1,108.66,1
313,6,10,1599.81,0
314,24,16,2118.81,3
315,4,18,2617.0,0
316,56,1,115.92,1
317,6,3,227.01,2
318,21,13,2197.52,3
319,50,1,185.01,1
320,16,18,776.32,3
321,4,18,1907.58,0
322,3,12,1652.04,0
323,62,1,87.73,1
324,6,2,244.06,2
325,3,24,1251.96,0
326,55,1,56.24,1
327,4,17,1640.0,0
328,44,1,77.78,1
329,55,1,97.48,1
330,5,17,2322.94,0
331,5,2,172.01,2
332,36,1,113.77,1
333,56,1,100.98,1
334,39,1,105.87,1
335,4,24,1207.91,0
336,27,22,2042.79,3
337,3,2,284.87,2
338,5,3,331.04,2
339,41,1,113.81,1
340,6,3,193.89,2
341,41,13,658.61,3
342,38,1,61.02,1
343,29,22,714.85,3
344,53,1,89.06,1
345,30,17,1805.91,3
346,84,2,72.25,1
347,39,1,94.23,1
348,7,15,1460.09,0
349,58,1,162.11,1
350,59,1,114.79,1
351,63,1,81.07,1
352,56,1,96.53,1
353,26,11,817.15,3
354,3,15,1627.02,0
355,7,16,2230.39,0
356,43,21,980.43,3
357,40,1,102.49,1
358,4,2,154.68,2
359,6,4,124.5,2
360,24,14,2249.04,3
361,3,11,1287.24,0
362,42,2,96.7,1
363,39,24,689.83,3
364,3,14,1920.64,0
365,4,3,212.86,2
366,17,10,869.7,3
367,30,1,99.82,1
368,36,1,72.03,1
369,23,20,1906.42,3
370,30,12,1143.49,3
371,33,16,1194.96,3
372,21,18,1666.51,3
373,27,13,871.75,3
374,8,12,1027.77,0
375,6,3,227.94,2
376,3,2,439.87,2
377,3,3,216.8,2
378,18,1,87.88,1
379,6,16,2069.29,0
380,43,1,152.43,1
381,54,1,65.09,1
382,4,2,232.06,2
383,5,3,274.12,2
384,35,19,1008.87,3
385,36,16,1205.5,3
386,3,11,1037.97,0
387,6,15,1116.37,0
388,47,1,104.5,1
389,65,1,116.77,1
390,6,2,316.63,2
391,52,1,82.78,1
392,20,10,1279.53,3
393,60,1,56.29,1
394,3,3,303.55,2
395,5,3,208.16,2
396,4,11,1590.33,0
397,3,4,226.06,2
398,33,17,1491.99,3
399,25,16,1386.99,3
400,64,1,90.16,1
401,41,1,118.35,1
402,38,11,1097.61,3
403,55,1,87.18,1
404,3,19,1013.38,0
405,18,19,1445.75,3
406,50,1,89.19,1
407,42,2,128.01,1
408,21,18,1328.63,3
409,5,3,313.97,2
410,5,13,2579.97,0
411,20,23,1603.98,3
412,6,16,1199.83,0
413,4,4,217.6,2
414,48,1,82.7,1
415,4,2,338.6,2
416,4,17,1459.81,0
417,3,16,1495.23,0
418,4,15,2123.91,0
419,3,10,1555.84,0
420,61,1,69.98,1
421,27,22,1194.79,3
422,10,10,1199.22,0
423,4,12,1501.28,0
424,17,24,872.02,3
425,32,2,98.8,1
426,5,13,1252.52,0
427,9,16,2210.92,0
428,4,16,1988.76,0
429,46,1,77.51,1
430,5,9,1064.55,0
431,28,9,1199.64,3
432,4,16,1852.48,0
433,5,2,330.43,2
434,5,11,856.33,0
435,3,23,2342.3,0
436,2,1,235.59,2
437,48,1,210.31,1
438,35,1,50.97,1
439,56,1,106.29,1
440,4,20,1801.22,0
441,30,22,1019.95,3
442,32,11,1718.3,3
443,20,16,1392.44,3
444,4,18,853.83,0
445,51,1,109.74,1
446,6,3,216.9,2
447,4,4,259.35,2
448,5,14,1176.99,0
449,5,20,1051.75,0
450,65,1,80.98,1
451,23,21,1235.97,3
452,16,19,1294.46,3
453,34,1,123.01,1
454,3,23,780.71,0
455,4,20,2375.41,0
456,30,19,1973.43,3
457,53,1,123.31,1
458,5,2,191.44,2
459,67,1,129.78,1
460,3,16,1821.23,0
461,54,2,104.34,1
462,24,11,1550.0,3
463,6,8,1108.24,0
464,20,15,807.73,3
465,3,16,1934.25,0
466,4,4,233.79,2
467,26,11,1290.86,3
468,4,13,1858.61,0
469,26,20,1454.02,3
470,5,2,218.21,2
471,3,20,2178.18,0
472,4,5,338.09,2
473,21,13,1145.79,3
474,4,20,1684.33,0
475,22,15,1345.66,3
476,31,1,67.5,1
477,3,17,1118.01,0
478,56,1,98.51,1
479,4,12,1293.42,0
480,2,12,1290.73,0
481,26,1,63.09,1
482,4,15,2194.79,0
483,5,2,215.74,2
484,27,1,142.89,1
485,8,5,334.78,2
486,2,3,139.15,2
487,26,15,1023.74,3
488,23,13,1799.29,3
489,47,1,173.08,1
490,7,14,1606.41,0
491,37,1,102.04,1
492,71,1,69.48,1
493,72,1,181.27,1
494,23,15,1570.4,3
495,4,1,232.67,2
496,3,16,998.09,0
497,8,2,241.85,2
498,7,13,1584.55,0
499,22,12,1013.28,3
500,30,18,1005.99,3
501,23,15,1552.92,3
502,4,17,1677.49,0
503,5,3,193.45,2
504,52,1,92.11,1
505,4,15,2939.65,0
506,20,12,1643.12,3
507,25,18,962.5,3
508,7,18,1745.68,0
509,36,14,1386.9,3
510,51,1,164.63,1
511,20,13,1357.01,3
512,3,16,1169.42,0
513,46,1,94.19,1
514,5,12,2540.03,0
515,57,1,108.51,1
516,4,15,1374.01,0
517,57,3,68.38,1
518,6,3,168.63,2
519,3,2,219.85,2
520,6,2,152.78,2
521,5,17,2749.71,0
522,35,14,979.29,3
523,4,5,203.58,2
524,46,2,69.62,1
525,20,20,1190.87,3
526,6,4,332.84,2
527,56,1,79.9,1
528,2,1,297.8,2
529,4,3,167.8,2
530,35,2,82.37,1
531,4,11,939.71,0
532,40,1,64.83,1
533,51,2,124.97,1
534,5,18,1491.71,0
535,5,3,406.68,2
536,4,4,178.67,2
537,4,9,1912.48,0
538,33,13,751.42,3
539,24,17,1167.07,3
540,51,1,91.17,1
541,50,1,133.21,1
542,3,17,1518.84,0
543,4,22,1549.83,0
544,8,2,364.72,2
545,21,15,1652.33,3
546,4,2,216.19,2
547,21,20,1362.87,3
548,4,35,2034.31,0
549,4,4,168.45,2
550,4,18,1539.61,0
551,6,12,1337.44,0
552,16,15,1209.89,3
553,31,27,1118.12,3
554,53,1,86.39,1
555,4,16,1674.03,0
556,5,14,2208.59,0
557,4,2,179.01,2
558,3,12,1663.46,0
559,31,20,1133.49,3
560,20,13,1170.41,3
561,42,2,83.72,1
562,45,1,116.64,1
563,3,18,939.98,0
564,29,14,999.88,3
565,48,2,152.76,1
566,5,19,1414.11,0
567,24,16,1445.53,3
568,4,3,210.54,2
569,55,1,176.34,1
570,33,17,1606.7,3
571,3,3,239.05,2
572,50,1,108.97,1
573,5,21,1622.7,0
574,4,3,216.66,2
575,7,3,193.93,2
576,6,10,1380.62,0
577,5,2,331.83,2
578,3,14,1407.52,0
579,51,1,203.32,1
580,35,1,73.0,1
581,4,3,299.41,2
582,5,2,381.99,2
583,50,1,54.57,1
584,50,1,77.8,1
585,18,10,1532.85,3
586,4,18,1577.53,0
587,24,17,1989.89,3
588,5,21,1075.06,0
589,5,3,226.94,2
590,34,12,1367.26,3
591,75,1,113.79,1
592,4,3,326.35,2
593,6,4,187.62,2
594,5,21,1651.43,0
595,4,5,238.05,2
596,8,17,739.35,0
597,48,1,89.75,1
598,19,15,1477.22,3
599,4,5,151.06,2
600,34,1,105.02,1
601,44,1,60.64,1
602,4,3,271.01,2
603,19,15,1476.63,3
604,29,22,1647.54,3
605,2,11,1907.46,0
606,3,3,271.43,2
607,29,21,1619.24,3
608,4,13,1393.52,0
609,3,17,1239.56,0
610,3,19,1255.46,0
611,4,15,1234.11,0
612,4,4,187.77,2
613,6,1,266.98,2
614,3,13,1511.84,0
615,20,20,1289.41,3
616,6,5,272.07,2
617,5,2,176.07,2
618,3,4,252.38,2
619,87,1,130.47,1
620,50,2,91.76,1
621,3,4,202.0,2
622,38,1,91.02,1
623,41,1,120.92,1
624,29,17,1016.14,3
625,4,2,192.58,2
626,5,14,1582.17,0
627,4,18,1427.07,0
628,4,15,1905.27,0
629,21,12,1415.2,3
630,4,17,1123.09,0
631,48,1,79.0,1
632,4,2,170.19,2
633,42,22,1022.87,3
634,18,10,1768.94,3
635,3,3,217.09,2
636,46,1,81.26,1
637,19,9,774.68,3
638,24,18,1034.52,3
639,4,22,787.76,0
640,24,17,1282.33,3
641,54,1,107.79,1
642,28,17,889.96,3
643,38,1,111.04,1
644,32,17,992.3,3
645,51,1,78.8,1
646,56,1,89.81,1
647,50,1,112.74,1
648,4,21,1637.67,0
649,33,12,1474.36,3
650,5,3,281.23,2
651,4,5,173.83,2
652,4,19,1852.46,0
653,3,2,252.87,2
654,5,14,1655.74,0
655,5,3,271.73,2
656,31,17,1774.61,3
657,5,4,269.09,2
658,29,13,1827.21,3
659,37,1,123.97,1
660,6,3,368.32,2
661,7,16,1522.63,0
662,4,3,219.26,2
663,4,3,239.1,2
664,5,15,1439.64,0
665,4,2,183.75,2
666,53,1,100.02,1
667,46,1,53.08,1
668,6,3,337.35,2
669,55,1,99.31,1
670,4,3,325.24,2
671,80,2,79.99,1
672,57,1,80.67,1
673,27,13,1506.07,3
674,20,12,672.34,3
675,34,13,1620.72,3
676,28,2,73.97,1
677,2,20,1453.08,0
678,38,1,154.17,1
679,3,4,295.98,2
680,28,19,1031.58,3
681,47,12,1617.27,3
682,47,1,47.8,1
683,4,3,181.74,2
684,2,3,240.86,2
685,40,1,187.32,1
686,4,2,284.58,2
687,3,3,303.43,2
688,30,15,1787.08,3
689,5,2,264.48,2
690,8,18,2210.45,0
691,67,1,106.66,1
692,6,15,1176.96,0
693,3,18,1221.46,0
694,5,3,165.52,2
695,17,12,1418.14,3
696,4,2,247.69,2
697,5,15,1791.54,0
698,4,15,1912.15,0
699,5,12,2472.23,0
700,40,1,68.78,1
701,39,12,1264.79,3
702,47,2,62.56,1
703,24,16,1424.4,3
704,24,13,1245.08,3
705,49,1,129.47,1
706,22,17,448.14,3
707,27,10,1603.86,3
708,5,15,1898.51,0
709,24,11,1148.62,3
710,3,12,1058.3,0
711,36,2,119.27,1
712,5,2,119.26,2
713,36,16,1390.15,3
714,21,12,1003.85,3
715,26,14,904.99,3
716,5,14,2041.46,0
717,6,16,1465.45,0
718,38,2,105.17,1
719,65,1,91.94,1
720,6,2,253.41,2
721,4,2,209.7,2
722,6,3,342.81,2
723,8,16,1440.08,0
724,7,9,1088.75,0
725,6,2,289.89,2
726,29,13,1185.47,3
727,5,19,1161.98,0
728,6,14,1633.96,0
729,4,2,250.07,2
730,7,17,1348.23,0
731,31,21,1489.34,3
732,26,22,1069.27,3
733,32,11,827.55,3
734,14,15,1157.12,3
735,16,17,1376.39,3
736,3,32,1137.34,0
737,23,13,1245.91,3
738,21,17,813.47,3
739,4,5,113.87,2
740,5,5,186.3,2
741,84,1,97.88,1
742,4,4,200.67,2
743,5,5,293.68,2
744,44,1,138.51,1
745,6,12,1976.62,0
746,6,19,2048.02,0
747,4,3,200.24,2
748,4,2,150.97,2
749,36,19,1516.41,3
750,54,1,93.96,1
751,25,14,1128.32,3
752,39,11,2559.58,3
753,38,17,868.76,3
754,48,1,98.62,1
755,33,13,1530.81,3
756,3,2,165.84,2
757,5,4,271.13,2
758,22,10,726.04,3
759,5,18,2188.85,0
760,24,18,1271.18,3
761,41,1,107.64,1
762,3,12,1614.09,0
763,6,3,123.99,2
764,4,21,2220.7,0
765,26,24,1024.27,3
766,30,21,1687.01,3
767,75,1,113.14,1
768,24,24,1443.37,3
769,5,11,1514.54,0
770,4,24,1539.28,0
771,7,3,322.31,2
772,5,3,310.98,2
773,33,11,784.12,3
774,6,13,3744.53,0
775,4,15,1510.76,0
776,3,2,212.25,2
777,3,16,2319.84,0
778,3,11,1832.52,0
779,34,16,737.59,3
780,27,17,1600.04,3
781,27,14,543.98,3
782,42,1,86.79,1
783,5,17,924.35,0
784,36,1,85.31,1
785,4,2,210.58,2
786,16,13,1185.73,3
787,28,10,998.92,3
788,4,14,1181.82,0
789,26,19,1571.9,3
790,4,3,164.22,2
791,27,19,901.85,3
792,4,5,213.06,2
793,3,3,255.59,2
794,55,1,77.68,1
795,4,14,1724.42,0
796,50,2,140.12,1
797,34,1,116.1,1
798,5,2,159.77,2
799,5,2,190.64,2
800,42,1,111.58,1
801,4,24,1313.41,0
802,3,13,1242.72,0
803,4,10,1285.53,0
804,23,13,1279.61,3
805,3,3,143.18,2
806,40,1,91.75,1
807,3,19,2665.3,0
808,36,1,90.33,1
809,22,17,1742.88,3
810,34,1,67.09,1
811,3,3,248.56,2
812,39,1,85.7,1
813,2,2,319.7,2
814,26,1,95.17,1
815,35,10,1136.36,3
816,5,13,1631.24,0
817,38,14,862.69,3
818,14,20,1180.04,3
819,24,12,1174.76,3
820,3,19,2062.96,0
821,5,1,233.51,2
822,5,2,268.57,2
823,43,2,126.02,1
824,9,2,188.18,2
825,6,3,240.42,2
826,32,2,69.03,1
827,47,2,64.1,1
828,4,17,1580.07,0
829,22,16,1195.11,3
830,25,19,1540.82,3
831,49,2,90.41,1
832,46,1,130.4,1
833,27,25,931.8,3
834,66,2,93.21,1
835,7,15,1466.46,0
836,37,1,80.47,1
837,6,12,1263.32,0
838,7,4,251.7,2
839,33,17,1087.27,3
840,29,11,1701.08,3
841,20,16,997.23,3
842,23,16,769.39,3
843,24,22,1133.19,3
844,5,3,179.39,2
845,35,11,2147.23,3
846,4,3,191.91,2
847,4,3,140.97,2
848,4,3,170.36,2
849,5,15,2073.78,0
850,20,20,1404.29,3
851,7,3,183.44,2
852,6,14,1632.1,0
853,8,3,221.22,2
854,5,18,1305.38,0
855,8,14,2638.23,0
856,7,12,1502.62,0
857,20,19,1335.18,3
858,30,13,1324.88,3
859,5,17,1534.5,0
860,3,1,262.53,2
861,3,16,1798.62,0
862,3,3,156.77,2
863,4,19,1563.47,0
864,7,2,301.03,2
865,4,12,831.09,0
866,4,2,303.0,2
867,31,18,1209.14,3
868,8,3,254.52,2
869,48,2,50.24,1
870,4,2,180.01,2
871,25,27,2111.0,3
872,33,25,711.92,3
873,55,1,106.5,1
874,4,15,1918.94,0
875,53,1,78.34,1
876,4,16,1244.14,0
877,4,1,212.59,2
878,2,12,1851.56,0
879,3,3,311.68,2
880,37,1,108.06,1
881,31,1,77.25,1
882,4,26,1694.98,0
883,32,13,1780.48,3
884,4,10,854.94,0
885,7,3,340.62,2
886,24,15,1845.49,3
887,5,14,1139.71,0
888,23,1,121.26,1
889,73,1,97.85,1
890,5,17,1330.26,0
891,3,10,1791.79,0
892,5,15,2060.15,0
893,4,2,221.23,2
894,4,10,1677.31,0
895,28,17,1459.52,3
896,58,1,182.09,1
897,27,14,1359.77,3
898,45,1,164.64,1
899,61,1,171.41,1
900,5,16,1610.81,0
901,58,1,71.72,1
902,4,3,543.22,2
903,6,3,173.2,2
904,48,2,135.13,1
905,60,1,52.63,1
906,60,1,118.61,1
907,48,1,93.13,1
908,43,11,866.71,3
909,50,1,99.57,1
910,26,12,1469.76,3
911,30,23,1491.11,3
912,8,13,881.18,0
913,47,1,50.91,1
914,4,19,1422.74,0
915,6,2,193.69,2
916,22,16,1035.54,3
917,4,18,1696.71,0
918,3,3,200.63,2
919,6,14,2097.77,0
920,5,2,234.95,2
921,79,1,110.52,1
922,5,12,1109.05,0
923,40,1,113.56,1
924,48,1,121.52,1
925,3,3,189.3,2
926,39,1,134.68,1
927,5,2,180.95,2
928,35,21,1135.31,3
929,4,13,1266.95,0
930,57,3,98.56,1
931,25,12,991.7,3
932,47,1,144.45,1
933,2,13,1477.09,0
934,3,3,166.4,2
935,7,2,131.86,2
936,4,14,1117.37,0
937,52,1,86.43,1
938,51,1,196.92,1
939,5,1,214.86,2
940,21,22,950.38,3
941,6,2,168.49,2
942,53,2,90.86,1
943,5,2,228.5,2
944,44,1,103.96,1
945,4,2,313.51,2
946,3,3,103.08,2
947,51,1,142.43,1
948,39,1,106.75,1
949,5,4,157.76,2
950,55,1,71.12,1
951,5,3,445.06,2
952,7,3,204.63,2
953,48,1,53.45,1
954,5,1,211.8,2
955,52,1,126.05,1
956,5,2,131.09,2
957,5,15,1051.81,0
958,3,20,1675.7,0
959,4,10,856.79,0
960,40,1,81.5,1
961,6,13,1717.89,0
962,25,22,1177.24,3
963,3,4,192.1,2
964,5,27,1816.5,0
965,4,13,2026.96,0
966,4,3,213.52,2
967,19,14,1901.49,3
968,7,12,2601.96,0
969,5,21,1349.87,0
970,28,15,758.84,3
971,4,3,365.79,2
972,5,3,366.26,2
973,4,17,1628.94,0
974,52,1,91.09,1
975,22,17,752.39,3
976,5,17,1198.83,0
977,43,1,64.61,1
978,43,1,69.09,1
979,4,2,370.05,2
980,33,1,77.11,1
981,2,13,1132.2,0
982,4,2,229.36,2
983,4,4,186.26,2
984,4,12,1365.25,0
985,5,16,1701.01,0
986,3,3,280.01,2
987,4,15,1435.01,0
988,34,1,144.39,1
989,31,11,1164.41,3
990,40,11,1486.25,3
991,3,13,2146.0,0
992,23,17,773.26,3
993,59,1,60.72,1
994,49,2,100.39,1
995,4,4,159.41,2
996,5,19,1048.27,0
997,5,3,271.88,2
998,47,15,912.33,3
999,6,18,1242.25,0
