方案 A,方案 B,方案 C
38.59793041124747,42.571089167657256,36.38206977297207
39.392744146097314,34.7630347413221,50.23264362837619
50.44512441040111,44.267732955716966,60.227772399353555
33.214543424338665,50.027286032755185,49.397408550533264
37.56752121655332,33.7146256065562,56.75712250624155
34.81704796655698,44.421950615200075,43.646566386766146
32.08638021960296,42.551564721388914,62.341833081698894
25.01950382220618,47.11945995888972,40.805932436164255
44.84730845087327,27.56581434813465,31.199790333188385
26.560527495130955,49.7517269419595,33.612289622266516
42.94726058671125,34.90065705509442,41.525806806428534
49.056309031871415,30.417946304586557,44.447357927854725
21.83933881526616,53.88469153943622,69.27491362894614
40.738253131745445,44.73733164387392,37.948678312124905
35.234032200463005,49.440518455029846,45.01981412921125
34.491269694567286,24.071179193046984,48.798294156114416
40.64579463197145,29.70960534426562,53.94691753264776
33.68554547665861,53.75645237260996,53.17414914232726
40.56290391350731,66.87813550196131,31.98726800950875
33.98693357604167,56.9390781795543,40.94178608313995
52.69709910723071,32.521797516995555,48.149864690116566
29.005747989719055,29.25340508513238,51.477761252191954
40.29104913697669,39.349715990437176,37.09693338992309
35.316035178326786,38.077616856611286,60.63639648167757
46.43166601192222,31.979938644801152,35.10911786393875
21.154046563644812,36.566543427750815,56.19837072603929
36.90178788801968,55.60801802533926,51.09113047166453
43.05114003427513,37.49754091712844,50.73447457377305
24.60645609076269,43.91005040344597,25.38134000256305
29.274587820392423,29.569923768678063,47.016399036762294
42.13786961662578,41.682710629102516,37.43333618762156
46.6701699408583,41.02100342054373,52.49852311997492
30.33811338980113,64.74176369110221,42.94694423125328
24.280643207139477,46.1037663424948,45.09258298006218
37.34975146033911,55.479735677605376,41.45350931885061
17.490142625844307,29.389315844568266,37.18821116984473
38.568903891278374,45.55044504948271,47.242302546489725
35.23164391448111,32.37015511050647,28.575105747166162
28.143793349184087,48.53779390323236,50.78723298441845
27.172742262654303,32.06108937543769,31.98824775940016
40.84728720609052,35.65348923554332,48.043576727157685
40.03309431925883,41.05650914119614,59.809721745888005
45.413911326870036,48.89047887690744,60.41125257562439
44.792680790909365,43.97048608602958,64.63891310210384
14.701212053507668,40.4727774073828,56.05386808337715
40.2562483352717,39.24904119436372,44.05109453030794
22.044962357994482,63.95496734510716,37.174327001446656
36.943788834899784,48.990325671508565,35.85587995786055
36.17135944976425,24.677097218569077,37.878213685101386
49.391785008773226,49.441559986315895,31.52858595813892
50.88622486117406,58.439696404017916,33.68564610164199
36.082421790048215,37.75724375365985,53.20404160066868
27.172881005478175,46.71745095288695,55.51971653493737
31.39650305318974,44.88542704530407,55.13885289600809
46.519800031779674,41.19929913147769,48.57618755538882
37.85767483302191,46.92266927718617,50.591649242126444
26.109071641002227,39.34462502941067,52.53868427671014
36.72178848877126,39.198557382620955,48.1803575095616
35.75297684187823,38.546551691582295,55.20524029365041
45.37286098943149,48.99452203729704,41.99647726035966
38.576466051311904,37.5637930145855,60.296248792978716
31.197258105591914,39.25061284979109,34.06831054254634
33.54475859577703,35.8581490810256,53.381849198114956
37.304684365261,42.38915040167168,53.98949871110521
39.27646564523478,36.1379601177683,53.10117219299015
31.80998307942524,42.2852888026354,51.891031390950445
31.00887733036725,38.6386370715384,56.111317950615714
31.447613764440014,57.19749019378303,45.40908786539597
38.94759357656497,34.22836362603526,36.40736768126137
38.43004411684333,41.4575954555013,50.2656428827542
30.305248211524173,39.2391401159211,37.67508252112151
32.918502268015516,49.10245706991389,43.28291361996704
34.86479986806452,24.493044612147678,51.14763548404158
42.22003854497518,25.029949384957945,53.7849203830556
44.561357620613904,50.468634949129736,44.084642208088894
11.532240909705116,31.22586056833948,56.80402779271283
36.088820043586125,35.84717383282754,57.8308788987967
21.58330040989479,26.10626413090197,49.498716643804
26.152401672244554,40.11769046015638,52.09135699524737
27.52129906346035,44.76148999670442,37.59134876807161
31.8746852938635,65.29570792980125,57.313506214287116
28.09039669342775,34.48906506571169,48.23352269574168
27.026382198117663,21.576307250942513,51.35147396392998
35.12551738841315,40.86044738033478,50.598524035491806
31.425298347690525,44.46329680963109,36.84623171848319
37.85186548437827,39.563369563301,46.67549044221313
40.32572330752129,46.00563869860656,43.775660856961906
17.833375779125742,27.98391508055125,45.61792601720467
34.86721786211095,30.350988507744074,59.53830313069125
45.204915049995414,41.817606607469685,60.68075706302936
35.51392133733117,47.19766648668612,42.58225396198217
30.65220614380892,39.976692851563584,52.94754512611291
24.846126691267035,43.520154393759626,69.39176176899872
22.683384992127294,31.745472748674032,43.84864257509328
19.85583025413632,45.937805756178406,34.10204897656348
24.483520573430226,34.6955449473244,42.2943028919897
31.94448765874396,40.391006441543176,49.33183226707696
28.903052622594853,47.22482916582624,28.13950510297133
28.583182968063404,41.99892698600481,63.80366878990246
38.52347978286556,29.71588044169691,40.264657075802695
