user_id,recency_days,frequency_90d,monetary_90d
109,20,14,1234.66
110,4,4,222.06
111,29,16,1141.75
112,32,20,3002.89
113,3,4,287.41
114,9,3,242.69
115,3,3,181.09
116,4,4,351.03
117,36,12,1473.91
118,34,18,1231.44
119,68,2,117.92
120,6,20,2140.32
121,5,15,1533.35
122,86,1,86.78
123,31,13,1043.59
124,5,3,252.31
125,22,14,1043.62
126,26,14,1014.59
127,26,14,1515.08
128,4,2,206.44
129,8,13,2777.12
130,5,15,1724.27
131,18,17,1514.16
132,27,1,103.96
133,5,4,167.53
134,37,1,72.86
135,5,4,304.88
136,31,1,113.03
137,3,2,208.18
138,48,1,167.72
139,4,2,213.35
140,35,1,99.77
141,25,17,719.97
142,30,16,1248.24
143,15,17,837.08
144,5,10,1120.7
145,4,4,121.64
146,4,3,201.04
147,3,3,283.4
148,35,1,75.13
149,39,11,1179.13
150,9,3,191.1
151,5,14,1218.83
152,4,18,3192.91
153,25,13,1124.22
154,7,15,1917.24
155,4,2,194.98
156,34,18,1039.41
157,6,14,1406.66
158,5,3,230.93
159,19,11,1025.53
160,23,16,1258.55
161,5,14,671.27
162,4,3,154.61
163,4,12,1133.24
164,7,11,1544.47
165,33,1,121.03
166,72,1,49.1
167,4,21,1026.76
168,50,1,94.83
169,7,18,1768.41
170,6,10,2255.84
171,37,1,83.95
172,29,19,973.74
173,29,19,1533.95
174,5,3,134.31
175,29,20,802.59
176,5,3,228.69
177,5,3,208.93
178,3,15,2118.18
179,12,11,1616.48
180,37,13,1130.19
181,62,1,72.0
182,40,1,79.36
183,50,1,95.27
184,3,2,349.53
185,4,3,271.1
186,3,12,1909.89
187,6,4,182.94
188,3,17,1274.32
189,6,12,1187.29
190,26,1,75.21
191,39,1,95.57
192,20,12,2264.2
193,6,2,345.3
194,3,15,2084.24
195,18,9,1005.5
196,38,2,150.38
197,5,3,128.5
198,4,3,199.32
199,16,15,1243.3
200,7,2,99.38
201,76,1,105.35
202,47,2,93.7
203,5,2,221.27
204,43,1,115.81
205,31,1,204.16
206,6,12,2005.44
207,56,1,63.55
208,19,12,1417.23
209,35,2,92.64
210,21,18,1906.58
211,4,2,178.0
212,58,1,67.15
213,4,2,263.18
214,39,1,113.07
215,6,11,1922.1
216,24,19,1059.09
217,24,10,1317.76
218,28,13,1608.79
219,25,11,1842.77
220,4,13,1535.63
221,28,14,1659.09
222,47,1,78.43
223,5,3,193.43
224,61,1,75.1
225,20,16,1718.23
226,50,1,86.38
227,4,3,213.61
228,7,19,1343.15
229,45,1,95.26
230,46,1,93.56
231,3,18,1460.6
232,22,15,1324.6
233,32,15,930.08
234,3,14,1360.41
235,17,19,1218.36
236,6,15,1230.66
237,24,14,1718.5
238,4,13,2011.95
239,25,15,751.91
240,4,3,233.12
241,52,1,65.08
242,20,15,1014.87
243,5,15,1741.02
244,55,1,91.96
245,68,1,132.86
246,5,2,287.31
247,89,1,64.48
248,3,3,239.07
249,3,3,336.96
250,3,2,257.75
251,37,1,110.28
252,33,14,1282.04
253,3,16,1691.16
254,45,2,71.57
255,28,19,1709.61
256,4,2,270.85
257,40,19,1431.29
258,43,1,81.83
259,34,1,74.67
260,5,17,1909.73
261,29,13,1784.73
262,53,1,159.14
263,4,2,239.59
264,36,20,1115.28
265,5,20,1652.09
266,39,1,133.14
267,21,15,1201.05
268,3,1,250.22
269,4,4,276.68
270,44,2,115.73
271,43,2,101.75
272,50,1,141.51
273,40,18,1014.65
274,7,3,227.19
275,24,1,108.84
276,5,17,1336.98
277,65,1,96.12
278,59,1,88.17
279,42,16,1244.55
280,5,4,170.57
281,63,1,98.59
282,28,15,1990.82
283,4,2,246.77
284,4,13,1892.09
285,17,19,1302.06
286,38,1,93.29
287,7,15,1301.29
288,36,23,1538.02
289,3,3,259.11
290,19,26,1275.95
291,48,15,1679.42
292,22,19,778.36
293,5,16,1473.21
294,3,19,1253.96
295,23,16,1212.79
296,5,24,1835.91
297,33,1,163.12
298,59,2,105.56
299,4,15,1094.81
300,7,15,1593.46
301,6,17,1185.55
302,18,15,1321.92
303,21,20,1383.92
304,43,1,123.66
305,4,2,199.04
306,31,15,1379.17
307,47,1,93.81
308,6,14,1154.71
309,5,4,197.19
310,39,14,816.72
311,31,16,1543.19
312,37,1,108.66
313,6,10,1599.81
314,24,16,2118.81
315,4,18,2617.0
316,56,1,115.92
317,6,3,227.01
318,21,13,2197.52
319,50,1,185.01
320,16,18,776.32
321,4,18,1907.58
322,3,12,1652.04
323,62,1,87.73
324,6,2,244.06
325,3,24,1251.96
326,55,1,56.24
327,4,17,1640.0
328,44,1,77.78
329,55,1,97.48
330,5,17,2322.94
331,5,2,172.01
332,36,1,113.77
333,56,1,100.98
334,39,1,105.87
335,4,24,1207.91
336,27,22,2042.79
337,3,2,284.87
338,5,3,331.04
339,41,1,113.81
340,6,3,193.89
341,41,13,658.61
342,38,1,61.02
343,29,22,714.85
344,53,1,89.06
345,30,17,1805.91
346,84,2,72.25
347,39,1,94.23
348,7,15,1460.09
349,58,1,162.11
350,59,1,114.79
351,63,1,81.07
352,56,1,96.53
353,26,11,817.15
354,3,15,1627.02
355,7,16,2230.39
356,43,21,980.43
357,40,1,102.49
358,4,2,154.68
359,6,4,124.5
360,24,14,2249.04
361,3,11,1287.24
362,42,2,96.7
363,39,24,689.83
364,3,14,1920.64
365,4,3,212.86
366,17,10,869.7
367,30,1,99.82
368,36,1,72.03
369,23,20,1906.42
370,30,12,1143.49
371,33,16,1194.96
372,21,18,1666.51
373,27,13,871.75
374,8,12,1027.77
375,6,3,227.94
376,3,2,439.87
377,3,3,216.8
378,18,1,87.88
379,6,16,2069.29
380,43,1,152.43
381,54,1,65.09
382,4,2,232.06
383,5,3,274.12
384,35,19,1008.87
385,36,16,1205.5
386,3,11,1037.97
387,6,15,1116.37
388,47,1,104.5
389,65,1,116.77
390,6,2,316.63
391,52,1,82.78
392,20,10,1279.53
393,60,1,56.29
394,3,3,303.55
395,5,3,208.16
396,4,11,1590.33
397,3,4,226.06
398,33,17,1491.99
399,25,16,1386.99
400,64,1,90.16
401,41,1,118.35
402,38,11,1097.61
403,55,1,87.18
404,3,19,1013.38
405,18,19,1445.75
406,50,1,89.19
407,42,2,128.01
408,21,18,1328.63
409,5,3,313.97
410,5,13,2579.97
411,20,23,1603.98
412,6,16,1199.83
413,4,4,217.6
414,48,1,82.7
415,4,2,338.6
416,4,17,1459.81
417,3,16,1495.23
418,4,15,2123.91
419,3,10,1555.84
420,61,1,69.98
421,27,22,1194.79
422,10,10,1199.22
423,4,12,1501.28
424,17,24,872.02
425,32,2,98.8
426,5,13,1252.52
427,9,16,2210.92
428,4,16,1988.76
429,46,1,77.51
430,5,9,1064.55
431,28,9,1199.64
432,4,16,1852.48
433,5,2,330.43
434,5,11,856.33
435,3,23,2342.3
436,2,1,235.59
437,48,1,210.31
438,35,1,50.97
439,56,1,106.29
440,4,20,1801.22
441,30,22,1019.95
442,32,11,1718.3
443,20,16,1392.44
444,4,18,853.83
445,51,1,109.74
446,6,3,216.9
447,4,4,259.35
448,5,14,1176.99
449,5,20,1051.75
450,65,1,80.98
451,23,21,1235.97
452,16,19,1294.46
453,34,1,123.01
454,3,23,780.71
455,4,20,2375.41
456,30,19,1973.43
457,53,1,123.31
458,5,2,191.44
459,67,1,129.78
460,3,16,1821.23
461,54,2,104.34
462,24,11,1550.0
463,6,8,1108.24
464,20,15,807.73
465,3,16,1934.25
466,4,4,233.79
467,26,11,1290.86
468,4,13,1858.61
469,26,20,1454.02
470,5,2,218.21
471,3,20,2178.18
472,4,5,338.09
473,21,13,1145.79
474,4,20,1684.33
475,22,15,1345.66
476,31,1,67.5
477,3,17,1118.01
478,56,1,98.51
479,4,12,1293.42
480,2,12,1290.73
481,26,1,63.09
482,4,15,2194.79
483,5,2,215.74
484,27,1,142.89
485,8,5,334.78
486,2,3,139.15
487,26,15,1023.74
488,23,13,1799.29
489,47,1,173.08
490,7,14,1606.41
491,37,1,102.04
492,71,1,69.48
493,72,1,181.27
494,23,15,1570.4
495,4,1,232.67
496,3,16,998.09
497,8,2,241.85
498,7,13,1584.55
499,22,12,1013.28
500,30,18,1005.99
501,23,15,1552.92
502,4,17,1677.49
503,5,3,193.45
504,52,1,92.11
505,4,15,2939.65
506,20,12,1643.12
507,25,18,962.5
508,7,18,1745.68
509,36,14,1386.9
510,51,1,164.63
511,20,13,1357.01
512,3,16,1169.42
513,46,1,94.19
514,5,12,2540.03
515,57,1,108.51
516,4,15,1374.01
517,57,3,68.38
518,6,3,168.63
519,3,2,219.85
520,6,2,152.78
521,5,17,2749.71
522,35,14,979.29
523,4,5,203.58
524,46,2,69.62
525,20,20,1190.87
526,6,4,332.84
527,56,1,79.9
528,2,1,297.8
529,4,3,167.8
530,35,2,82.37
531,4,11,939.71
532,40,1,64.83
533,51,2,124.97
534,5,18,1491.71
535,5,3,406.68
536,4,4,178.67
537,4,9,1912.48
538,33,13,751.42
539,24,17,1167.07
540,51,1,91.17
541,50,1,133.21
542,3,17,1518.84
543,4,22,1549.83
544,8,2,364.72
545,21,15,1652.33
546,4,2,216.19
547,21,20,1362.87
548,4,35,2034.31
549,4,4,168.45
550,4,18,1539.61
551,6,12,1337.44
552,16,15,1209.89
553,31,27,1118.12
554,53,1,86.39
555,4,16,1674.03
556,5,14,2208.59
557,4,2,179.01
558,3,12,1663.46
559,31,20,1133.49
560,20,13,1170.41
561,42,2,83.72
562,45,1,116.64
563,3,18,939.98
564,29,14,999.88
565,48,2,152.76
566,5,19,1414.11
567,24,16,1445.53
568,4,3,210.54
569,55,1,176.34
570,33,17,1606.7
571,3,3,239.05
572,50,1,108.97
573,5,21,1622.7
574,4,3,216.66
575,7,3,193.93
576,6,10,1380.62
577,5,2,331.83
578,3,14,1407.52
579,51,1,203.32
580,35,1,73.0
581,4,3,299.41
582,5,2,381.99
583,50,1,54.57
584,50,1,77.8
585,18,10,1532.85
586,4,18,1577.53
587,24,17,1989.89
588,5,21,1075.06
589,5,3,226.94
590,34,12,1367.26
591,75,1,113.79
592,4,3,326.35
593,6,4,187.62
594,5,21,1651.43
595,4,5,238.05
596,8,17,739.35
597,48,1,89.75
598,19,15,1477.22
599,4,5,151.06
600,34,1,105.02
601,44,1,60.64
602,4,3,271.01
603,19,15,1476.63
604,29,22,1647.54
605,2,11,1907.46
606,3,3,271.43
607,29,21,1619.24
608,4,13,1393.52
609,3,17,1239.56
610,3,19,1255.46
611,4,15,1234.11
612,4,4,187.77
613,6,1,266.98
614,3,13,1511.84
615,20,20,1289.41
616,6,5,272.07
617,5,2,176.07
618,3,4,252.38
619,87,1,130.47
620,50,2,91.76
621,3,4,202.0
622,38,1,91.02
623,41,1,120.92
624,29,17,1016.14
625,4,2,192.58
626,5,14,1582.17
627,4,18,1427.07
628,4,15,1905.27
629,21,12,1415.2
630,4,17,1123.09
631,48,1,79.0
632,4,2,170.19
633,42,22,1022.87
634,18,10,1768.94
635,3,3,217.09
636,46,1,81.26
637,19,9,774.68
638,24,18,1034.52
639,4,22,787.76
640,24,17,1282.33
641,54,1,107.79
642,28,17,889.96
643,38,1,111.04
644,32,17,992.3
645,51,1,78.8
646,56,1,89.81
647,50,1,112.74
648,4,21,1637.67
649,33,12,1474.36
650,5,3,281.23
651,4,5,173.83
652,4,19,1852.46
653,3,2,252.87
654,5,14,1655.74
655,5,3,271.73
656,31,17,1774.61
657,5,4,269.09
658,29,13,1827.21
659,37,1,123.97
660,6,3,368.32
661,7,16,1522.63
662,4,3,219.26
663,4,3,239.1
664,5,15,1439.64
665,4,2,183.75
666,53,1,100.02
667,46,1,53.08
668,6,3,337.35
669,55,1,99.31
670,4,3,325.24
671,80,2,79.99
672,57,1,80.67
673,27,13,1506.07
674,20,12,672.34
675,34,13,1620.72
676,28,2,73.97
677,2,20,1453.08
678,38,1,154.17
679,3,4,295.98
680,28,19,1031.58
681,47,12,1617.27
682,47,1,47.8
683,4,3,181.74
684,2,3,240.86
685,40,1,187.32
686,4,2,284.58
687,3,3,303.43
688,30,15,1787.08
689,5,2,264.48
690,8,18,2210.45
691,67,1,106.66
692,6,15,1176.96
693,3,18,1221.46
694,5,3,165.52
695,17,12,1418.14
696,4,2,247.69
697,5,15,1791.54
698,4,15,1912.15
699,5,12,2472.23
700,40,1,68.78
701,39,12,1264.79
702,47,2,62.56
703,24,16,1424.4
704,24,13,1245.08
705,49,1,129.47
706,22,17,448.14
707,27,10,1603.86
708,5,15,1898.51
709,24,11,1148.62
710,3,12,1058.3
711,36,2,119.27
712,5,2,119.26
713,36,16,1390.15
714,21,12,1003.85
715,26,14,904.99
716,5,14,2041.46
717,6,16,1465.45
718,38,2,105.17
719,65,1,91.94
720,6,2,253.41
721,4,2,209.7
722,6,3,342.81
723,8,16,1440.08
724,7,9,1088.75
725,6,2,289.89
726,29,13,1185.47
727,5,19,1161.98
728,6,14,1633.96
729,4,2,250.07
730,7,17,1348.23
731,31,21,1489.34
732,26,22,1069.27
733,32,11,827.55
734,14,15,1157.12
735,16,17,1376.39
736,3,32,1137.34
737,23,13,1245.91
738,21,17,813.47
739,4,5,113.87
740,5,5,186.3
741,84,1,97.88
742,4,4,200.67
743,5,5,293.68
744,44,1,138.51
745,6,12,1976.62
746,6,19,2048.02
747,4,3,200.24
748,4,2,150.97
749,36,19,1516.41
750,54,1,93.96
751,25,14,1128.32
752,39,11,2559.58
753,38,17,868.76
754,48,1,98.62
755,33,13,1530.81
756,3,2,165.84
757,5,4,271.13
758,22,10,726.04
759,5,18,2188.85
760,24,18,1271.18
761,41,1,107.64
762,3,12,1614.09
763,6,3,123.99
764,4,21,2220.7
765,26,24,1024.27
766,30,21,1687.01
767,75,1,113.14
768,24,24,1443.37
769,5,11,1514.54
770,4,24,1539.28
771,7,3,322.31
772,5,3,310.98
773,33,11,784.12
774,6,13,3744.53
775,4,15,1510.76
776,3,2,212.25
777,3,16,2319.84
778,3,11,1832.52
779,34,16,737.59
780,27,17,1600.04
781,27,14,543.98
782,42,1,86.79
783,5,17,924.35
784,36,1,85.31
785,4,2,210.58
786,16,13,1185.73
787,28,10,998.92
788,4,14,1181.82
789,26,19,1571.9
790,4,3,164.22
791,27,19,901.85
792,4,5,213.06
793,3,3,255.59
794,55,1,77.68
795,4,14,1724.42
796,50,2,140.12
797,34,1,116.1
798,5,2,159.77
799,5,2,190.64
800,42,1,111.58
801,4,24,1313.41
802,3,13,1242.72
803,4,10,1285.53
804,23,13,1279.61
805,3,3,143.18
806,40,1,91.75
807,3,19,2665.3
808,36,1,90.33
809,22,17,1742.88
810,34,1,67.09
811,3,3,248.56
812,39,1,85.7
813,2,2,319.7
814,26,1,95.17
815,35,10,1136.36
816,5,13,1631.24
817,38,14,862.69
818,14,20,1180.04
819,24,12,1174.76
820,3,19,2062.96
821,5,1,233.51
822,5,2,268.57
823,43,2,126.02
824,9,2,188.18
825,6,3,240.42
826,32,2,69.03
827,47,2,64.1
828,4,17,1580.07
829,22,16,1195.11
830,25,19,1540.82
831,49,2,90.41
832,46,1,130.4
833,27,25,931.8
834,66,2,93.21
835,7,15,1466.46
836,37,1,80.47
837,6,12,1263.32
838,7,4,251.7
839,33,17,1087.27
840,29,11,1701.08
841,20,16,997.23
842,23,16,769.39
843,24,22,1133.19
844,5,3,179.39
845,35,11,2147.23
846,4,3,191.91
847,4,3,140.97
848,4,3,170.36
849,5,15,2073.78
850,20,20,1404.29
851,7,3,183.44
852,6,14,1632.1
853,8,3,221.22
854,5,18,1305.38
855,8,14,2638.23
856,7,12,1502.62
857,20,19,1335.18
858,30,13,1324.88
859,5,17,1534.5
860,3,1,262.53
861,3,16,1798.62
862,3,3,156.77
863,4,19,1563.47
864,7,2,301.03
865,4,12,831.09
866,4,2,303.0
867,31,18,1209.14
868,8,3,254.52
869,48,2,50.24
870,4,2,180.01
871,25,27,2111.0
872,33,25,711.92
873,55,1,106.5
874,4,15,1918.94
875,53,1,78.34
876,4,16,1244.14
877,4,1,212.59
878,2,12,1851.56
879,3,3,311.68
880,37,1,108.06
881,31,1,77.25
882,4,26,1694.98
883,32,13,1780.48
884,4,10,854.94
885,7,3,340.62
886,24,15,1845.49
887,5,14,1139.71
888,23,1,121.26
889,73,1,97.85
890,5,17,1330.26
891,3,10,1791.79
892,5,15,2060.15
893,4,2,221.23
894,4,10,1677.31
895,28,17,1459.52
896,58,1,182.09
897,27,14,1359.77
898,45,1,164.64
899,61,1,171.41
900,5,16,1610.81
901,58,1,71.72
902,4,3,543.22
903,6,3,173.2
904,48,2,135.13
905,60,1,52.63
906,60,1,118.61
907,48,1,93.13
908,43,11,866.71
909,50,1,99.57
910,26,12,1469.76
911,30,23,1491.11
912,8,13,881.18
913,47,1,50.91
914,4,19,1422.74
915,6,2,193.69
916,22,16,1035.54
917,4,18,1696.71
918,3,3,200.63
919,6,14,2097.77
920,5,2,234.95
921,79,1,110.52
922,5,12,1109.05
923,40,1,113.56
924,48,1,121.52
925,3,3,189.3
926,39,1,134.68
927,5,2,180.95
928,35,21,1135.31
929,4,13,1266.95
930,57,3,98.56
931,25,12,991.7
932,47,1,144.45
933,2,13,1477.09
934,3,3,166.4
935,7,2,131.86
936,4,14,1117.37
937,52,1,86.43
938,51,1,196.92
939,5,1,214.86
940,21,22,950.38
941,6,2,168.49
942,53,2,90.86
943,5,2,228.5
944,44,1,103.96
945,4,2,313.51
946,3,3,103.08
947,51,1,142.43
948,39,1,106.75
949,5,4,157.76
950,55,1,71.12
951,5,3,445.06
952,7,3,204.63
953,48,1,53.45
954,5,1,211.8
955,52,1,126.05
956,5,2,131.09
957,5,15,1051.81
958,3,20,1675.7
959,4,10,856.79
960,40,1,81.5
961,6,13,1717.89
962,25,22,1177.24
963,3,4,192.1
964,5,27,1816.5
965,4,13,2026.96
966,4,3,213.52
967,19,14,1901.49
968,7,12,2601.96
969,5,21,1349.87
970,28,15,758.84
971,4,3,365.79
972,5,3,366.26
973,4,17,1628.94
974,52,1,91.09
975,22,17,752.39
976,5,17,1198.83
977,43,1,64.61
978,43,1,69.09
979,4,2,370.05
980,33,1,77.11
981,2,13,1132.2
982,4,2,229.36
983,4,4,186.26
984,4,12,1365.25
985,5,16,1701.01
986,3,3,280.01
987,4,15,1435.01
988,34,1,144.39
989,31,11,1164.41
990,40,11,1486.25
991,3,13,2146.0
992,23,17,773.26
993,59,1,60.72
994,49,2,100.39
995,4,4,159.41
996,5,19,1048.27
997,5,3,271.88
998,47,15,912.33
999,6,18,1242.25
