user_id,spend_30d,orders_30d,active_days_30d,spend_next30d
183,387.74,4,12,594.79
184,157.28,2,21,468.04
185,216.25,5,14,584.4
186,338.53,7,25,717.13
187,332.37,4,28,734.32
188,616.07,5,21,832.72
189,609.88,2,17,762.36
190,163.9,4,1,196.2
191,193.86,3,4,295.65
192,551.88,3,29,741.97
193,420.46,4,6,627.99
194,563.93,5,25,708.66
195,175.21,4,22,469.61
196,324.28,2,5,460.03
197,320.52,3,18,510.04
198,966.76,5,30,1066.53
199,61.12,2,8,317.1
200,295.06,3,2,344.33
201,460.19,9,7,824.4
202,700.82,5,23,886.79
203,538.7,3,1,468.05
204,522.02,4,11,585.35
205,697.91,6,28,926.2
206,303.56,6,29,673.42
207,191.08,7,26,590.28
208,709.08,3,27,752.06
209,584.03,5,15,671.68
210,372.23,5,30,792.73
211,297.44,8,25,685.63
212,608.4,3,2,571.04
213,657.62,1,27,881.07
214,627.69,4,1,742.26
215,712.1,4,30,867.99
216,297.71,5,20,505.5
217,503.47,2,17,670.88
218,125.81,3,26,635.63
219,365.43,3,7,394.68
220,509.17,6,4,605.22
221,274.62,4,26,502.59
222,254.22,2,9,182.2
223,731.23,2,10,752.5
224,236.42,3,19,488.42
225,169.58,8,27,651.62
226,299.24,3,1,321.88
227,324.91,6,16,492.24
228,854.46,4,12,827.24
229,457.95,3,26,581.84
230,265.36,5,3,548.9
231,600.41,5,9,638.06
232,235.65,2,2,239.68
233,121.52,2,2,303.73
234,372.06,2,6,400.29
235,353.7,7,5,535.76
236,1168.85,2,25,1073.57
237,893.52,5,26,879.17
238,336.82,4,21,643.25
239,847.39,3,29,925.0
240,291.44,2,9,397.57
241,219.43,2,9,441.98
242,340.18,2,3,385.75
243,680.63,2,28,750.72
244,523.76,1,17,610.5
245,205.64,5,29,661.22
246,574.78,8,12,725.07
247,1005.67,3,21,879.71
248,156.62,4,7,359.27
249,376.95,7,12,627.16
250,744.18,5,4,691.1
251,307.23,3,29,415.82
252,400.12,5,13,595.26
253,249.08,6,4,543.57
254,216.84,4,10,392.88
255,165.48,3,11,363.89
256,525.05,3,8,726.85
257,140.01,2,5,194.69
258,212.87,4,4,238.63
259,1141.27,4,29,1028.81
260,629.86,5,29,800.73
261,913.46,7,13,987.18
262,221.98,8,1,480.08
263,652.34,2,21,794.92
264,676.67,4,5,763.8
265,353.94,2,21,421.42
266,400.66,5,23,620.41
267,228.43,5,18,623.86
268,329.49,5,2,472.59
269,761.95,4,6,753.86
270,313.38,2,24,545.67
271,457.95,5,26,740.19
272,571.59,6,13,617.01
273,449.91,6,29,780.35
274,345.48,7,4,606.15
275,351.09,8,6,710.9
276,440.02,5,27,812.83
277,224.59,3,15,537.65
278,102.65,3,24,368.28
279,626.01,3,5,657.28
280,457.1,2,2,430.94
281,271.84,1,21,382.81
282,549.06,2,28,641.74
283,888.8,5,15,901.34
284,258.31,6,3,427.53
285,631.99,3,10,684.91
286,679.43,5,26,885.36
287,515.76,3,2,769.95
288,242.65,5,8,463.86
289,202.78,1,19,273.33
290,335.42,1,6,437.28
291,878.86,4,28,1158.12
292,727.37,5,6,868.53
293,286.73,4,5,539.18
294,1389.25,5,24,1216.49
295,1015.59,3,1,792.15
296,260.9,4,27,335.86
297,342.98,3,1,489.04
298,380.98,5,6,514.71
299,483.13,2,5,646.61
300,251.03,5,25,620.78
301,384.17,4,13,619.51
302,772.37,2,15,666.49
303,234.44,2,25,451.83
304,606.6,4,1,729.69
305,622.09,4,28,858.43
306,393.79,4,10,806.92
307,412.2,7,15,691.21
308,227.57,2,16,283.08
309,442.26,3,11,473.09
310,136.78,2,15,402.9
311,1488.04,5,30,1385.0
312,504.41,2,13,613.83
313,780.1,2,3,750.18
314,430.54,6,2,478.77
315,746.27,4,3,679.2
316,596.21,3,13,642.0
317,425.15,6,29,750.39
318,99.19,3,27,540.11
319,652.2,5,30,829.15
320,446.63,5,28,761.04
321,851.97,3,16,886.24
322,333.77,6,28,822.05
323,259.59,3,18,539.85
324,1077.48,5,28,1036.09
325,405.66,4,20,767.72
326,436.62,3,18,588.01
327,735.34,6,23,1112.08
328,524.09,6,23,760.69
329,397.49,3,5,374.63
330,498.18,2,14,595.57
331,291.33,6,30,696.47
332,321.81,3,8,603.83
333,478.08,2,26,633.91
334,121.22,6,5,270.61
335,404.99,3,9,600.31
336,533.07,3,30,736.86
337,742.29,4,2,847.08
338,417.41,2,21,405.97
339,263.74,3,18,523.26
340,213.81,3,7,361.49
341,887.32,3,26,971.24
342,531.09,3,21,691.71
343,808.74,4,4,719.38
344,103.1,6,6,249.18
345,734.57,3,20,683.66
346,353.75,4,14,697.03
347,464.91,3,19,623.42
348,461.78,2,28,578.24
349,143.5,6,15,559.21
350,296.17,5,5,642.27
351,158.98,4,1,434.06
352,327.73,6,22,788.93
353,330.86,3,10,514.45
354,724.86,4,29,858.51
355,594.63,5,2,691.44
356,366.19,6,29,575.13
357,142.99,5,14,570.09
358,455.87,4,8,612.19
359,67.45,2,23,252.29
360,764.29,5,4,609.61
361,314.7,7,17,645.7
362,287.0,3,20,540.41
363,393.15,4,18,557.39
364,1160.76,4,4,926.77
365,258.3,7,16,671.85
366,550.81,2,23,723.81
367,451.77,4,14,651.14
368,245.61,4,14,550.68
369,493.05,4,4,470.33
370,358.44,6,26,550.23
371,50.98,4,15,347.14
372,766.49,3,30,718.97
373,473.48,3,8,720.66
374,708.48,1,14,571.72
375,187.2,4,1,293.87
376,170.1,6,3,485.93
377,779.44,5,5,748.88
378,184.14,3,21,481.1
379,331.87,5,17,658.73
380,696.01,2,10,712.81
381,787.01,3,23,871.28
382,543.84,3,16,554.99
383,544.17,6,21,755.6
384,998.57,6,24,914.87
385,611.84,3,22,679.53
386,179.3,4,7,422.6
387,954.28,4,21,924.02
388,83.77,4,6,214.74
389,85.85,5,13,283.09
390,580.7,6,19,621.45
391,388.79,1,13,412.83
392,727.09,5,30,1052.53
393,859.87,2,24,855.05
394,440.12,6,17,722.3
395,423.4,1,2,348.49
396,669.31,5,3,585.09
397,583.37,4,21,703.7
398,653.12,5,22,958.98
399,430.09,1,6,360.98
400,246.44,3,5,307.91
401,483.47,3,17,718.11
402,124.62,3,8,401.64
403,501.25,3,27,803.01
404,414.42,8,22,738.11
405,327.16,5,1,451.76
406,737.96,2,3,594.36
407,683.03,4,1,589.53
408,307.37,3,21,447.62
409,397.97,3,25,698.99
410,237.99,1,11,285.24
411,275.1,5,25,565.45
412,560.25,3,24,801.58
413,381.57,3,5,708.51
414,491.27,5,28,693.26
415,159.93,6,15,465.65
416,337.77,5,29,619.9
417,263.64,5,13,518.23
418,427.61,2,10,218.6
419,417.81,2,12,669.8
420,275.85,2,6,438.6
421,431.42,4,7,481.2
422,213.23,3,1,338.95
423,368.49,4,26,665.73
424,708.61,2,12,770.98
425,802.07,4,21,992.09
426,211.53,5,27,413.39
427,487.88,2,23,533.98
428,299.76,4,1,528.56
429,434.74,5,9,482.5
430,815.21,2,9,647.97
431,321.18,4,21,558.38
432,263.3,5,22,558.59
433,524.51,4,25,841.9
434,384.41,4,17,522.97
435,287.35,4,12,570.09
436,332.37,2,24,563.26
437,564.83,2,2,612.37
438,863.3,4,14,937.8
439,1048.87,9,15,1133.52
440,326.48,1,21,606.65
441,883.02,8,22,917.61
442,294.74,4,10,450.33
443,29.37,4,16,338.88
444,523.57,4,13,645.09
445,104.47,3,13,347.5
446,290.76,3,4,412.72
447,65.53,3,16,332.13
448,195.26,5,27,584.87
449,305.77,1,20,547.56
450,228.84,4,24,684.39
451,389.52,3,12,439.32
452,455.7,4,16,601.67
453,508.45,5,23,827.88
454,591.2,2,15,700.97
455,894.58,3,23,1048.0
456,478.03,3,7,583.81
457,258.81,2,17,285.81
458,504.55,5,5,602.24
459,247.21,4,1,457.51
460,549.7,3,6,538.47
461,418.89,6,16,521.83
462,660.48,3,11,538.02
463,639.32,2,13,573.85
464,873.88,2,18,868.39
465,581.13,4,8,616.55
466,153.42,3,20,352.42
467,820.25,5,2,693.18
468,106.04,1,11,302.2
469,319.36,7,29,672.95
470,142.84,3,12,393.47
471,334.22,4,16,607.45
472,369.79,5,18,691.19
473,575.61,3,4,627.74
474,452.77,5,17,621.16
475,302.0,4,20,403.99
476,152.73,3,22,380.45
477,1275.0,5,14,1205.66
478,154.56,5,5,372.2
479,250.79,3,23,402.5
480,660.82,4,19,793.51
481,290.02,3,11,535.7
482,961.62,5,7,949.44
483,1445.14,4,8,1241.97
484,300.12,7,12,636.83
485,674.36,2,11,796.55
486,79.67,1,5,253.42
487,924.68,7,6,1100.37
488,269.54,1,29,354.69
489,911.92,6,9,1031.01
490,305.51,4,17,491.41
491,1255.48,2,23,1260.34
492,374.56,6,22,599.96
493,343.03,6,7,527.77
494,168.7,1,23,392.91
495,83.09,4,13,290.0
496,636.89,6,28,845.89
497,996.8,3,14,1098.86
498,288.52,5,12,602.39
499,458.79,3,13,625.82
500,322.23,7,30,814.01
501,334.36,3,27,492.48
502,583.53,5,20,698.11
503,284.49,5,16,439.46
504,653.3,6,24,928.1
505,147.44,5,4,375.07
506,827.73,5,30,919.22
507,684.97,2,27,676.26
508,270.56,7,14,670.19
509,696.78,5,1,914.57
510,182.93,2,21,395.34
511,218.11,8,10,466.98
512,533.52,6,5,591.28
513,1122.53,6,4,1011.09
514,446.97,3,1,380.02
515,361.77,4,24,636.9
516,621.43,4,3,684.11
517,204.66,2,29,433.77
518,954.04,7,7,1018.43
519,392.51,4,15,612.02
520,180.66,3,19,446.06
521,808.53,4,28,1051.25
522,333.71,3,7,440.31
523,483.48,2,9,465.8
524,1079.72,4,9,951.53
525,521.69,4,21,631.71
526,644.24,3,6,644.1
527,274.32,5,24,707.82
528,271.89,4,17,297.12
529,271.89,3,6,426.48
530,1180.57,7,16,1199.68
531,300.58,5,17,618.42
532,207.58,4,4,409.75
533,210.68,6,17,402.86
534,436.58,4,15,684.69
535,341.95,2,4,377.31
536,253.46,3,23,459.56
537,216.07,4,9,397.32
538,375.5,4,28,650.38
539,1121.82,5,5,1032.32
540,146.36,4,26,470.83
541,265.12,4,20,589.13
542,549.75,4,30,862.93
543,436.16,3,9,493.67
544,567.7,5,12,751.99
545,428.91,5,30,679.13
546,472.04,3,27,608.22
547,754.76,5,29,789.05
548,446.78,3,21,673.57
549,479.92,3,19,660.91
550,771.76,2,23,886.64
551,366.24,4,30,684.58
552,104.24,6,22,518.11
553,609.09,3,3,568.16
554,528.26,7,19,867.04
555,135.37,2,8,312.09
556,561.31,4,3,694.97
557,136.08,2,18,460.77
558,793.88,3,8,660.23
559,273.95,8,26,763.31
560,63.89,2,30,414.2
561,334.13,3,30,618.5
562,68.51,3,5,275.24
563,297.64,2,10,369.63
564,693.22,2,22,740.37
565,172.96,2,24,444.0
566,244.93,4,26,468.12
567,377.33,5,16,491.18
568,99.67,2,5,181.34
569,396.22,4,16,458.63
570,124.64,5,15,452.4
571,141.14,3,13,511.88
572,606.11,7,9,818.73
573,680.19,3,10,707.35
574,946.73,5,5,880.04
575,124.97,2,6,299.61
576,214.2,5,21,600.42
577,591.53,2,11,616.75
578,462.26,3,5,461.48
579,412.79,7,3,686.65
580,97.91,3,16,488.07
581,280.45,3,25,511.97
582,223.27,4,6,445.34
583,262.53,7,19,558.94
584,759.44,5,7,708.62
585,703.47,5,22,1025.63
586,875.59,5,2,800.08
587,464.11,5,10,619.47
588,412.74,4,2,611.48
589,298.81,2,11,423.36
590,89.21,1,29,347.13
591,271.47,2,26,469.75
592,355.66,2,12,489.4
593,862.04,3,11,789.64
594,220.22,3,30,492.37
595,448.97,5,8,415.96
596,113.96,3,10,282.88
597,206.52,2,29,659.13
598,285.64,4,16,403.82
599,268.41,3,18,653.36
600,139.47,3,20,371.42
601,736.01,2,30,860.85
602,426.53,4,24,707.86
603,426.47,5,8,546.82
604,347.51,2,1,347.81
605,737.11,3,16,796.8
606,637.52,5,9,509.13
607,77.02,6,10,312.26
608,82.44,2,6,241.5
609,368.49,3,5,448.95
610,384.36,2,21,553.46
611,659.53,2,27,758.44
612,490.82,5,15,731.37
613,528.52,5,22,833.37
614,422.06,3,29,740.3
615,497.69,3,12,633.78
616,358.5,3,8,501.32
617,419.29,4,17,543.4
618,429.18,5,24,763.26
619,945.1,5,29,1145.61
620,321.34,4,4,399.38
621,479.05,4,17,721.25
622,160.1,6,20,555.88
623,445.44,6,12,705.04
624,279.66,2,16,354.02
625,333.8,4,16,447.86
626,917.42,6,19,962.53
627,982.35,3,16,794.06
628,275.21,3,26,379.29
629,1147.53,4,22,1258.5
630,591.18,4,2,635.48
631,571.45,2,16,576.68
632,254.23,3,5,375.35
633,348.51,5,13,533.44
634,443.05,4,20,637.12
635,107.81,3,6,254.47
636,339.85,4,14,538.32
637,628.69,4,13,644.36
638,612.79,2,29,663.99
639,1392.62,4,12,1151.34
640,558.02,4,21,662.72
641,228.34,5,22,634.67
642,369.07,7,10,632.53
643,383.9,2,26,544.98
644,700.52,7,23,817.25
645,767.47,3,25,893.14
646,215.81,4,23,459.0
647,453.08,3,29,606.72
648,721.8,2,24,805.94
649,209.16,3,13,297.84
650,818.99,5,26,946.24
651,253.2,7,11,578.47
652,449.53,4,8,533.36
653,400.62,8,24,714.42
654,408.97,2,14,497.82
655,318.03,5,9,465.24
656,568.51,2,8,595.23
657,494.12,3,20,572.14
658,361.14,3,18,385.15
659,678.56,4,20,698.78
660,128.05,7,9,394.16
661,377.11,10,16,694.97
662,260.7,2,9,533.23
663,229.58,4,26,664.9
664,564.39,5,30,827.48
665,626.0,5,22,835.02
666,132.07,3,15,383.07
667,503.68,4,25,806.65
668,329.31,5,24,620.57
669,608.9,3,18,602.42
670,669.37,8,25,952.62
671,519.26,6,3,608.02
672,428.46,3,27,606.14
673,549.37,5,18,724.86
674,666.02,6,23,837.51
675,888.09,8,3,785.3
676,935.3,2,21,1007.17
677,1068.91,1,29,1119.79
678,310.23,2,11,572.71
679,387.2,5,16,665.36
680,612.77,6,8,760.67
681,1025.22,4,15,1021.98
682,569.92,6,26,872.55
683,419.68,6,18,620.9
684,691.04,4,26,887.73
685,83.14,5,21,422.34
686,605.51,4,16,596.64
687,385.81,4,18,549.15
688,313.78,5,23,562.58
689,371.81,7,13,669.47
690,643.08,1,4,547.14
691,591.85,4,15,539.8
692,326.88,6,23,489.91
693,264.23,2,5,433.42
694,197.22,4,5,341.96
695,408.33,3,14,475.55
696,469.09,4,11,584.11
697,645.07,2,26,675.81
698,127.8,2,2,162.33
699,819.23,5,29,1042.39
700,642.37,3,5,661.26
701,1018.01,7,20,1221.12
702,715.86,8,3,923.85
703,321.25,4,19,675.49
704,454.88,2,5,495.57
705,239.59,5,28,470.45
706,136.48,2,17,345.65
707,503.32,5,13,716.67
708,543.88,1,4,551.24
709,1002.16,5,26,1020.26
710,835.92,3,6,881.44
711,462.28,4,7,593.91
712,1612.24,2,1,1277.52
713,671.33,4,14,723.8
714,675.29,4,15,647.8
715,918.18,9,5,1145.04
716,251.12,2,1,411.36
717,652.26,4,30,830.88
718,170.13,5,12,609.39
719,489.89,3,21,674.68
720,190.21,2,13,211.03
721,308.63,4,15,514.09
722,766.01,9,30,1009.55
723,963.36,3,5,736.09
724,454.13,6,11,612.58
725,274.07,5,28,553.86
726,279.26,4,17,583.68
727,439.73,3,3,612.65
728,265.33,6,2,463.8
729,681.34,2,22,693.8
730,311.86,3,25,615.69
731,247.21,4,15,436.74
732,403.58,4,4,454.55
733,114.21,3,11,259.98
734,163.38,5,14,301.73
735,233.92,3,30,515.98
736,776.42,4,2,853.32
737,458.93,2,3,500.66
738,197.59,4,16,420.89
739,124.16,4,9,468.28
740,463.68,2,1,503.26
741,161.87,8,13,521.24
742,594.26,1,22,563.48
743,249.25,3,26,669.74
744,764.58,5,1,815.84
745,680.11,4,13,768.65
746,223.9,5,13,596.31
747,917.44,3,13,895.09
748,453.29,4,23,720.25
749,640.17,3,13,769.88
750,326.29,3,16,483.46
751,504.55,2,6,426.16
752,1175.35,7,2,1023.72
753,211.0,3,30,575.98
754,702.7,4,29,820.37
755,476.25,2,9,535.37
756,350.42,3,29,558.22
757,593.95,4,20,802.81
758,61.78,6,8,521.81
759,293.34,3,18,398.7
760,682.01,3,28,817.45
761,888.95,1,23,891.55
762,146.64,3,13,399.03
763,889.98,5,26,959.64
764,518.4,1,28,592.95
765,493.15,5,6,647.63
766,519.79,5,11,539.86
767,571.74,2,12,577.59
768,416.03,5,6,592.79
769,614.67,3,28,860.67
770,154.97,5,2,319.43
771,127.08,3,14,303.9
772,135.17,5,25,632.13
773,941.37,5,1,859.93
774,1338.94,5,28,1381.37
775,201.69,5,17,553.2
776,254.98,3,10,307.05
777,293.55,1,18,520.56
778,599.63,1,18,624.89
779,601.62,2,8,628.88
780,160.99,4,3,291.67
781,1150.8,2,4,947.55
782,345.67,3,14,671.48
783,779.72,4,29,681.41
784,814.64,4,29,1029.3
785,694.34,5,13,727.86
786,177.27,3,4,429.2
787,553.88,6,13,800.44
788,629.58,5,23,883.79
789,746.33,4,25,937.49
790,251.1,7,2,556.37
791,1182.04,1,1,908.69
792,226.06,1,20,463.36
793,278.35,3,15,517.61
794,243.37,4,8,437.74
795,424.7,4,7,591.62
796,237.21,4,11,494.47
797,708.58,6,29,1077.02
798,221.8,4,6,364.39
799,364.39,1,3,226.28
800,322.8,6,8,497.29
801,72.59,2,27,343.18
802,905.93,5,3,887.65
803,123.11,7,16,659.43
804,1234.05,2,7,1053.57
805,279.48,4,9,387.4
806,415.5,2,1,495.35
807,456.72,6,20,726.84
808,582.68,5,22,767.87
809,626.25,2,17,497.11
810,800.61,2,29,916.27
811,85.31,5,18,409.31
812,382.48,6,27,644.68
813,515.01,3,3,421.63
814,349.03,3,13,496.88
815,500.74,3,1,596.82
816,300.9,8,23,676.54
817,329.77,4,8,346.25
818,411.41,4,5,636.73
819,387.5,2,29,567.67
820,940.0,2,3,840.31
821,536.75,1,27,638.44
822,564.96,4,24,748.98
823,498.0,5,30,846.59
824,220.56,2,23,491.41
825,643.74,5,24,720.69
826,102.84,6,12,396.29
827,899.89,7,21,1028.08
828,512.58,3,10,491.17
829,781.43,4,19,841.53
830,575.98,4,2,620.14
831,910.08,1,8,589.59
832,746.32,3,21,829.53
833,557.35,4,22,786.23
834,389.19,3,16,649.69
835,302.02,2,2,169.18
836,665.25,6,2,775.28
837,155.58,2,19,337.04
838,407.41,2,16,405.84
839,738.99,5,18,930.83
840,39.06,7,19,397.42
841,147.24,4,22,494.56
842,453.58,4,4,568.78
843,249.72,3,12,435.76
844,495.9,4,8,415.62
845,730.34,6,22,886.41
846,756.14,5,18,804.71
847,547.67,3,13,622.17
848,1114.97,3,27,785.33
849,460.89,2,9,587.59
850,505.81,4,26,554.56
851,281.35,7,7,518.74
852,483.71,7,24,773.02
853,441.22,2,16,538.29
854,198.39,4,18,496.02
855,560.52,3,28,671.66
856,163.72,6,5,408.75
857,725.48,6,25,1090.38
858,645.56,2,8,586.99
859,196.43,5,9,376.05
860,438.52,4,13,655.66
861,668.24,2,29,668.71
862,406.93,4,6,545.18
863,446.43,8,10,693.6
864,903.78,5,30,983.24
865,670.17,3,11,617.12
866,621.91,7,19,800.86
867,307.07,3,16,538.42
868,897.61,4,22,1130.83
869,447.62,1,23,582.43
870,372.64,4,29,634.36
871,245.08,5,21,485.32
872,212.26,3,9,323.39
873,242.15,4,16,507.82
874,476.32,3,26,556.69
875,458.12,3,2,588.95
876,532.25,5,24,845.87
877,763.82,2,18,780.49
878,363.61,5,3,369.1
879,807.19,4,25,847.75
880,344.54,1,23,390.23
881,192.99,4,7,439.35
882,896.05,7,23,1169.48
883,638.07,4,23,824.75
884,215.2,4,7,295.73
885,277.71,3,23,687.44
886,177.91,1,20,335.89
887,727.7,6,21,823.97
888,560.37,5,5,804.89
889,168.81,6,24,498.47
890,1020.01,3,22,1033.81
891,302.74,1,16,331.03
892,141.18,7,6,302.29
893,211.0,1,9,313.05
894,205.83,2,22,508.02
895,582.69,1,5,464.2
896,515.12,8,14,851.24
897,291.37,1,12,287.87
898,376.84,8,10,747.72
899,407.58,5,21,724.68
900,480.06,5,17,770.08
901,800.81,4,19,886.01
902,706.07,6,7,670.61
903,187.46,3,25,400.87
904,302.64,3,4,381.22
905,294.85,2,10,233.33
906,588.59,4,16,774.95
907,484.32,5,4,576.71
908,379.03,3,13,416.35
909,357.95,6,7,564.71
910,533.55,3,17,767.22
911,181.61,3,19,423.15
912,492.46,3,1,377.03
913,234.53,2,13,443.98
914,505.54,5,23,745.81
915,327.7,2,21,536.38
916,117.93,3,18,425.23
917,186.02,2,24,367.21
918,177.4,3,28,583.96
919,596.86,6,15,673.94
920,729.83,3,2,741.35
921,820.19,7,2,777.47
922,516.19,5,3,527.37
923,466.54,2,10,625.8
924,298.44,4,15,539.81
925,206.13,4,17,455.38
926,532.9,5,11,643.87
927,1188.98,9,10,1138.04
928,293.88,5,10,465.57
929,620.41,1,3,541.55
930,341.03,8,21,728.5
931,350.31,3,6,321.28
932,477.65,6,21,652.4
933,274.13,1,27,344.0
934,301.53,8,3,702.11
935,723.72,1,2,542.78
936,307.36,5,10,642.72
937,584.07,6,11,720.44
938,1242.94,5,21,1251.17
939,430.9,4,25,573.1
940,224.78,3,4,211.51
941,472.79,3,21,734.97
942,369.84,2,14,485.58
943,268.84,5,1,461.81
944,257.81,3,22,562.45
945,875.81,3,10,891.05
946,199.34,4,30,594.73
947,148.4,8,27,640.71
948,942.58,4,9,918.8
949,221.0,2,22,372.73
950,451.96,2,8,398.62
951,476.81,2,22,746.94
952,213.12,3,18,309.13
953,935.72,3,9,890.77
954,1112.68,3,7,955.75
955,463.1,7,4,522.6
956,374.61,1,15,248.29
957,281.49,2,4,405.49
958,290.54,5,8,443.61
959,193.68,5,26,581.92
960,515.01,2,25,704.87
961,387.99,5,23,753.26
962,831.43,3,4,787.82
963,1005.72,1,12,937.09
964,319.97,5,26,705.31
965,384.55,6,7,651.68
966,676.02,5,6,742.32
967,517.26,5,27,765.46
968,724.25,3,20,865.91
969,718.85,4,20,776.81
970,406.19,3,24,614.61
971,369.94,5,19,489.88
972,699.88,6,25,1073.45
973,1548.07,4,5,1158.43
974,393.0,4,9,602.15
975,311.62,2,24,441.55
976,907.61,7,8,1093.9
977,446.56,7,17,839.99
978,405.94,1,29,481.0
979,629.57,4,5,610.08
980,552.47,2,30,866.76
981,916.92,4,7,800.11
982,578.5,3,25,828.32
983,222.32,4,16,431.55
984,404.55,5,24,827.23
985,351.69,5,25,436.83
986,278.62,3,29,632.4
